Question	Which is considered a nonrenewable resource?	question
Answer	oil	answer
0	oil is a nonrenewable resource	gold
1	fossil fuels are a nonrenewable resource	nongold
2	natural gas is a nonrenewable resource	nongold
3	renewable is the opposite of nonrenewable	nongold
4	oil is a kind of fossil fuel	nongold
5	a fossil fuel is a kind of natural resource	nongold
6	fossil fuels are a kind of energy resource	nongold
7	nonrenewable resources forming occurs over a period of 300000000 years which is considered a  very long time to a human	nongold
8	a nonrenewable resource is limited in supply	nongold
9	an inexhaustible resource is a kind of renewable resource	nongold
10	oil is a kind of energy resource	nongold
11	natural gas is a kind of fossil fuel	nongold
12	a renewable resource is a kind of natural resource	nongold
13	petroleum is a kind of fossil fuel	nongold
14	a renewable resource is a kind of naturally replaced resource	nongold
15	recycling resources; nonrenewable resources has a  positive impact on the environment; conservation of those resources	nongold
16	alternative fuel is usually a renewable resource	nongold
17	nonrenewable resources will eventually be depleted	nongold
18	a biofuel is a kind of alternative energy resource	nongold
19	biogas means biofuel	nongold
20	fossil fuels have high potential energy	nongold
21	oil is a kind of substance; matter	nongold
22	coal is a nonrenewable resource	nongold
23	fossil fuel contains chemical energy	nongold
24	if use of a nonrenewable resources increases then the nonrenewable resource will be depleted	nongold
25	solar energy is a renewable; inexhaustible resource	nongold
26	renewable resources are replenished more quickly than they are used	nongold
27	producing renewable electric energy requires renewable resources	nongold
28	if something is a raw material in a process then that something is required for that process	nongold
29	coal is a kind of fossil fuel	nongold
30	biofuel is a kind of fuel	nongold
31	to be used for something means to be required by that something	nongold
32	a source of something emits; produces; generates; provides that something	nongold
33	wind is a renewable; inexhaustible resource	nongold
34	if something is a raw material then that something comes directly from a source	nongold
35	oil is a source of energy	nongold
36	to conserve means to not change	nongold
37	An example of conservation is not using fossil fuel	nongold
38	if something is powered by something else then that something requires a source of that something else	nongold
39	answering questions requires information	nongold
40	metal is a nonrenewable resource	nongold
41	a renewable resource can be replaced	nongold
42	solar power means solar energy	nongold
43	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
44	renewable resources are often available for many years	nongold
45	plastic is a nonrenewable resource	nongold
46	emit means produce	nongold
47	renewable resources can be used over again	nongold
48	an energy source is a kind of resource	nongold
49	to be formed by is similar to being produced by	nongold
50	a renewable resource can be renewed	nongold
51	an object; material; substance comes from that object or material's source	nongold
52	hydropower is a kind of alternative energy resource	nongold
53	minerals are a nonrenewable resource	nongold
54	as the use of renewable resources use of renewable resources increases , use of nonrenewable resources will decrease	nongold
55	a supply of something is a source of that something	nongold
56	make means produce	nongold
57	aluminum is a nonrenewable resource	nongold
58	if something causes a process then that something is required for that process	nongold
59	affected means changed	nongold
60	greatest means largest; highest; most amount of something	nongold
61	a producer is a kind of living thing	nongold
62	to depend on; to rely on; to need means to require	nongold
63	fuel supply is a kind of resource	nongold
64	if something; an invention; a discovery is invented; discovered then that something; that invention; that discovery can be used	nongold
65	to provide something means to be the source of that something	nongold
66	the supply of an inexhaustible resource does not change over a long period of time	nongold
67	plants are a kind of resource	nongold
68	vegetable oil is a renewable resource	nongold
69	resources sometimes are used for energy	nongold
70	making something requires resources	nongold
71	providing something means making;delivering something	nongold
72	can be means able to be	nongold
73	producing is a kind of process	nongold
74	to produce means to provide	nongold
75	provide is similar to give; make	nongold
76	plants are a source of biofuel	nongold
77	high is similar to increase	nongold
78	no longer means used to be	nongold
79	vegetable oil is a kind of fuel	nongold
80	biofuel is used to produce electricity by burning	nongold
81	to add means to increase	nongold
82	water is a renewable resource	nongold
83	converting is similar to producing	nongold
84	if something transfers something else then that something is a source of something else	nongold
85	a type is synonymous with a kind	nongold
86	a source of something supplies that something	nongold
87	high-quality means positive	nongold
88	where something  comes from is a source of that something	nongold
89	if something requires something else then that something requires a source of that something else	nongold
90	to create means to make	nongold
91	oil is a kind of liquid	nongold
92	oil is a kind of liquid	nongold
93	person is synonymous with human	nongold
94	temperature is a measure of heat energy	nongold
95	uranium is a kind of energy resource	nongold
96	best means most positive	nongold
97	products are formed; are produced; are created	nongold
98	petroleum is a source of raw material for the production of plastics	nongold
99	the potential energy in fossil fuels mostly are converted into thermal energy	nongold
