Question	Which would best aid a scientist in discovering how Earth may have changed over time?	question
Answer	discovering a fossil of a seashell in a wooded area	answer
0	a seashell is sometimes a part of a water animal	nongold
1	a seashell is a kind of object	nongold
2	ocean shell means seashell	nongold
3	forest is synonymous with wooded area	nongold
4	An example of a change in the Earth is an ocean becoming a wooded area	gold
5	fossil fuels; fossils are formed from dead organisms over time	nongold
6	to help; to benefit means to be of use	nongold
7	helping means to assist in a change	nongold
8	to help means to aid	nongold
9	fossil means preserved remains of ancient organisms	nongold
10	seashell is insoluble in water	nongold
11	to be used  for something means to help to do that something	nongold
12	helping something has a  positive impact on that something	nongold
13	a seashell is a part of a crab	gold
14	a scientist is a kind of human	nongold
15	if fossils of a water animal or plant are found in a place then that place used to be covered by water in the past	gold
16	requiring is similar to needing help	nongold
17	best means most positive	nongold
18	a living thing is a kind of object	nongold
19	if fossils of an animal or plant are found in a place then that animal or plant used to live in that place	gold
20	an environment means an area	nongold
21	an aquatic animal is a kind of animal	nongold
22	place means area	nongold
23	plants can be fossilized	nongold
24	a shell is a kind of fossil	nongold
25	to enable is to help	nongold
26	conclusions can be drawn about changes in organisms over time by determining the age of fossils of those organisms	nongold
27	area is similar to location	nongold
28	an ocean is a kind of body of water	gold
29	to discover means to make a discovery	nongold
30	to discover means to find	nongold
31	fossil fuels; fossils forming occurs over a period of 300000000 years which is considered a  very long time to a human	nongold
32	prehistoric means before 300000000 years ago	nongold
33	ancient means a long time in the past	nongold
34	a forest contains  lots of plants; trees	nongold
35	a body of water is a kind of environment	nongold
36	preserved means from the past; from long ago	nongold
37	sea means ocean	nongold
38	a reptile is a kind of animal	nongold
39	help means advantage	nongold
40	Earth is a kind of planet	nongold
41	an animal is a kind of living thing	nongold
42	if something used to be in the past then that something  has changed	nongold
43	a forest is a kind of environment	nongold
44	aquatic animals; plants live in bodies of water	nongold
45	being buried under soil and mud changes dead plant matter; dead animal matter into oil; natural gas through extreme heat and pressure at the bottom of the sea over a long period of time	nongold
46	if something; an invention; a discovery is invented; discovered then that something; that invention; that discovery can be used	nongold
47	if something required by something else is in a place then that something else may be in that place	nongold
48	discovering something usually requires seeing that something	nongold
49	woodland means forest	nongold
50	aquatic animal means water animal	nongold
51	good means positive	nongold
52	to make something easier means to help	nongold
53	if a fossil is of an organism that cannot be identified then that organism is probably extinct	nongold
54	an environment is a kind of place	nongold
55	shells can be fossilized	nongold
56	studying fossils is used to learn about organisms from long ago	nongold
57	a plant is a kind of living thing	nongold
58	to be helpful means to help to do	nongold
59	found in means existing in	nongold
60	marine is similar to water	nongold
61	a coastal area is a kind of environment	nongold
62	a body of water contains water	nongold
63	An example of an environment is a forest; a river; a grassland; an ocean	nongold
64	if a living thing requires something then that something has a positive impact on that living thing	nongold
65	an object is made of its parts	nongold
66	an increase is a kind of change	nongold
67	surroundings means environment	nongold
68	if fossils of an organism change depending on the level in which they were found then that species of organism changed over time	nongold
69	an animal is a kind of organism	nongold
70	a human is a kind of animal	nongold
71	to depend on; to rely on; to need means to require	nongold
72	being buried under soil and mud changes dead vegetation; dead plant matter into peat through extreme heat and pressure in a swamp over a long period of time	nongold
73	better means good	nongold
74	place is synonymous with location	nongold
75	no longer means used to be	nongold
76	a body of water is a source of water	nongold
77	once-living means dead	nongold
78	if something is a part of something then that something can be found in that something	nongold
79	environments changing can cause layers of rock that are near each other or on top of each other to have different amounts of fossils; different kinds of rock	nongold
80	to turn means to change	nongold
81	an organism is a living thing	nongold
82	variable means able to change	nongold
83	fossils are formed when layers of sediment cover the remains of organisms over time	nongold
84	material means substance	nongold
85	water is a part of an environment	nongold
86	helping means something can be done; completed more easily; better	nongold
87	coral is a kind of aquatic animal	nongold
88	to try means to make an effort	nongold
89	an event is a kind of action	nongold
90	a deep sea animal is a kind of marine organism	nongold
91	becoming is similar to changing	nongold
92	area; space is a kind of resource	nongold
93	oceans contains most of  earth's water	nongold
94	organisms lived in the water when they first appeared on Earth	nongold
95	a structure of something is synonymous with a part of that something	nongold
96	high is similar to increase	nongold
97	events occur at a specific place; at a specific time; with a specific frequency	nongold
98	change is a kind of process	nongold
99	a landform is a kind of object	nongold
