Question	In 1783, Europe was unusually cold and foggy. The rain was acidic. Which event most likely caused the unusual climate in Europe that year?	question
Answer	A major volcanic eruption released ash and sulfur gas into the atmosphere.	answer
0	an erupting volcano releases sulfur gas and ash into the atmosphere	gold
1	Europe is a kind of continent	gold
2	acid rain is acidic	nongold
3	the emission of sulfur dioxide causes acid rain	nongold
4	a volcanic eruption is a kind of change	gold
5	an acid is acidic	nongold
6	as the amount of sulfur gas in the atmosphere increases , the pH of rain will decrease	gold
7	cold means low in temperature	gold
8	a climate is synonymous with an environment	nongold
9	acidic means low; 0 to 6 in pH	gold
10	cooling;colder means removing;reducing;decreasing heat;temperature	nongold
11	volcanic ash in the atmosphere decreases the temperature by blocking the sun	gold
12	rain is a kind of water	nongold
13	the atmosphere contains gases; liquids; solids	nongold
14	rain is a kind of precipitation	gold
15	colder; cooler means lower in temperature	nongold
16	rainfall means precipitation	nongold
17	atmosphere means  air	nongold
18	a volcano is a kind of geological event	nongold
19	cold is a kind of weather	nongold
20	chemical reactions can cause gas to be released into the atmosphere	nongold
21	a volcano is a source of magma; lava	nongold
22	releasing something into the atmosphere increases the amount of that something in the atmosphere	gold
23	acidity is a property of chemicals; substances and includes ordered values of basic; neutral; acidic	nongold
24	precipitation is a kind of weather	gold
25	precipitation is when water falls from the sky	nongold
26	climate is the usual kind of weather in a location over a period of time	gold
27	precipitation is a property of weather	nongold
28	lack of moisture in the air causes low amounts of rainfall	nongold
29	acidic rainwater contains acid	nongold
30	precipitation is a kind of natural occurrence; cause	nongold
31	gases from burning coal and oil dissolving in water in the atmosphere causes acid rain	nongold
32	something in a cold place becomes cold	nongold
33	cold and dry climate can slow down the process of weathering	nongold
34	humidity is the amount of water vapor; moisture in the air; in the atmosphere	nongold
35	worldwide temperature means atmospheric temperature	nongold
36	to emit means to release	nongold
37	to reduce means to decrease	nongold
38	cooler means colder	nongold
39	to lower means to decrease	nongold
40	rain is a source of water	nongold
41	water is in the gas state , called water vapor; steam , for temperatures between 373; 212; 100 and 100000000000 K; F; C	nongold
42	low is similar to decrease	gold
43	if something releases something else then that something is the source of that something else	nongold
44	a change is a kind of event	gold
45	rainfall means the amount of precipitation	nongold
46	gas is a kind of substance	nongold
47	temperature is a property of weather	nongold
48	rain; snow falls	nongold
49	if something releases something else then that something else decreases in that something	nongold
50	average amount of precipitation is a property of climate	nongold
51	a volatile substance gives off gas	nongold
52	an event is a kind of action	nongold
53	weather is  a measure of the condition of the air in a place at a certain time	nongold
54	gaseous means of gas	nongold
55	events occur at a specific place; at a specific time; with a specific frequency	nongold
56	high is similar to increase	nongold
57	something that happens is a kind of event	nongold
58	an increase is the opposite of a decrease	nongold
59	a motion is a kind of event; action	nongold
60	a continent is a kind of location	gold
61	atmospheric means of the atmosphere	nongold
62	An example of moisture is water vapor in the atmosphere	nongold
63	to a  human a air; environment temperature of 0 C to 10 C is considered cold	nongold
64	a process is a kind of event	nongold
65	a volcanic eruption is a kind of quick process	nongold
66	winter has cold temperatures;weather	nongold
67	weather  usually happens in troposphere	nongold
68	to change means to cause a change	gold
69	a decrease is a kind of change	nongold
70	cold temperatures usually have a negative impact on organisms	nongold
71	to be a source of something means to cause that something	nongold
72	carbon dioxide is a kind of gas	nongold
73	vapor is synonymous with gas	nongold
74	rainfall is the amount of rain an area receives	nongold
75	water vapor is found in the atmosphere	nongold
76	air is a kind of gas	nongold
77	a volcano is a kind of landform	nongold
78	affected means changed	nongold
79	sulfur is a kind of element	nongold
80	absorbing something from the air decreases the  amount of  that something in the air	nongold
81	water is a kind of liquid at room temperature	nongold
82	a volcano changes the environment around it by covering the environment in ash	nongold
83	cold  air is usually high in air pressure	nongold
84	moisture means liquid; liquid water	nongold
85	an increase is a kind of change	nongold
86	if the environmental temperature; air temperature is too cold then an animal; a living thing in that environment may become cold	nongold
87	season is a major yearly temperature change	nongold
88	An example of a change in climate is  the average amount of annual precipitation decreases	nongold
89	to limit means to decrease	nongold
90	extreme means very high in value	nongold
91	air pollution; rain can cause the pH of soil to decrease	nongold
92	increase means more	nongold
93	raining is when rain falls from clouds to the Earth;ground as a liquid	nongold
94	an environment means an area	nongold
95	fog is formed by water vapor condensing in the air	nongold
96	to happen means to occur	nongold
97	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
98	storm is a kind of weather; weather event	nongold
99	cloudy is a kind of  weather	nongold
