Question	Which of the following can cause erosion?	question
Answer	flowing water	answer
0	erosion; storms can cause a landslide	nongold
1	soil erosion means soil loss through wind;water; animals	nongold
2	soil erosion is when wind; moving water; gravity move soil from fields; environments	gold
3	flowing is a kind of motion	gold
4	a river is a kind of flowing body of water	nongold
5	wind and rain; storms cause erosion	nongold
6	water causes the most soil and rock erosion	nongold
7	being exposed to wind; water; animals; heat can cause erosion of soil; of rocks	nongold
8	weathering is a kind of erosion	nongold
9	a landslide is when water; gravity rapidly moves rocks; soil downhill especially after a rain storm	nongold
10	weathering; erosion usually occurs over a period of many years	nongold
11	erosion is a kind of change	nongold
12	erosion causes a river to become deeper and wider	nongold
13	erosion usually causes harm to the environment	nongold
14	erosion is a kind of process	nongold
15	runoff is a kind of water	nongold
16	erosion causes deposition	nongold
17	a stream is a kind of body of water	nongold
18	wind causes erosion	nongold
19	soil erosion is a kind of slow; natural process	nongold
20	rocks; soil; materials interacting with wind; moving water over long periods of time causes weathering	nongold
21	flowing is a kind of action	nongold
22	to wash away is a kind of movement by moving water	nongold
23	to be a source of something means to cause that something	nongold
24	a surface is a part of a material	nongold
25	erosion of soil has a  negative impact on the environment; soil quality	nongold
26	rain causes erosion	nongold
27	a body of water is a source of water	nongold
28	overgrazing increases soil erosion	nongold
29	surfaces sometimes cause objects to break	nongold
30	a body of water is a kind of environment	nongold
31	a surface is a part of an object	nongold
32	erosion is a kind of destructive force	nongold
33	weathering; mechanical weathering means breaking down rocks; surface materials from a larger whole  into smaller pieces by weather	nongold
34	to cause means to result in	nongold
35	a landslide is a kind of natural event	nongold
36	In the erosion process roots of plants are an inhibitor	nongold
37	to cause means to have an effect	nongold
38	soil erosion is a kind of event	nongold
39	due to means caused by	nongold
40	a body of water contains water	nongold
41	to give is similar to to cause	nongold
42	a wall is a kind of surface	nongold
43	most canyons are formed by flowing rivers through erosion over long periods of time	nongold
44	landform means surface feature; physical feature; land feature	nongold
45	to change means to cause a change	nongold
46	ground water is a kind of water	nongold
47	to impact means to affect	nongold
48	water is a part of an environment	nongold
49	water  flows down a slope	nongold
50	impact means effect	nongold
51	to cause an event is similar to being involved in that event	nongold
52	attracting a stream of water can cause water to bend	nongold
53	to lower means to decrease	nongold
54	Earth's surface is made of rock	nongold
55	water is a kind of substance	nongold
56	erosion sometimes decreases the amount of nutrients in soil	nongold
57	can be means able to be	nongold
58	to reduce means to decrease	nongold
59	a component means a part of	nongold
60	flowing liquid can push objects	nongold
61	roots are a part of a plant; tree	nongold
62	to cause is similar to bring	nongold
63	a component of something means a part of that something	nongold
64	if something causes a process then that something is required for that process	nongold
65	a body of water is a kind of land feature	nongold
66	the body is a part of an organism	nongold
67	a motion is a kind of event; action	nongold
68	increase means more	nongold
69	an event is a kind of action	nongold
70	a lake is a kind of body of water	nongold
71	to depend on; to rely on; to need means to require	nongold
72	high is similar to increase	nongold
73	groundwater is a kind of water	nongold
74	a river is a kind of channel for water	nongold
75	a surface is a kind of object	nongold
76	to change means to have an effect	nongold
77	to enable is similar to cause	nongold
78	to produce means to result in	nongold
79	landslides often occur on mountains	nongold
80	a cause of something is a reason for that something	nongold
81	an object is made of its parts	nongold
82	a structure of something is synonymous with a part of that something	nongold
83	a process is a kind of event	nongold
84	action can cause change	nongold
85	to cause means to make	nongold
86	a source of something increases the amount of that something	nongold
87	causing is a kind of affecting	nongold
88	breaking down is a kind of forming	nongold
89	to drive means to cause	nongold
90	to give off means to be the source of	nongold
91	answering questions requires information	nongold
92	lowering is a kind of motion	nongold
93	causing means influencing	nongold
94	the slope of the land causes a river to flow in a particular direction	nongold
95	natural events usually cause changes to Earth's surface	nongold
96	to lead to means to cause	nongold
97	if something exists on a surface then that surface contains that something	nongold
98	pulling is a kind of motion	nongold
99	a riverbed is a part of a river	nongold
