Question	Which of the following converts electrical energy into motion?	question
Answer	electric fan	answer
0	a fan converts electrical energy into mechanical energy; heat energy; sound energy	nongold
1	an electric fan is a kind of electrical device for cooling; ventilation	gold
2	an electric motor is  a part of an electric fan for rotating the vanes in the fan	gold
3	electrical devices convert from electrical energy; electricity into other forms of energy	gold
4	motion; movement means moving; to move	gold
5	an electric motor is a kind of electrical device	nongold
6	a ceiling fan is a kind of fan	nongold
7	the vanes rotating in an electric fan causes air to move	gold
8	an electric motor converts electrical energy into mechanical energy	nongold
9	electricity means electrical energy	gold
10	electrical energy is a kind of energy	nongold
11	energy conversion is similar to energy transformation	nongold
12	fans are used for cooling humans;rooms	nongold
13	electric devices require electrical energy to function	nongold
14	to convert means to change	nongold
15	convert is similar to transfer	nongold
16	converting is similar to producing	nongold
17	moving changes potential energy; stored energy into kinetic energy and heat energy	nongold
18	electricity is used as an energy source by electrical devices	nongold
19	energy transformation means one kind of energy changes into another kind of energy	nongold
20	to turn means to convert	nongold
21	a generator converts kinetic energy into electrical energy; electricity	nongold
22	mechanical energy is a kind of energy	nongold
23	vibration is a kind of motion	nongold
24	An example of mechanical energy is an object in motion	nongold
25	electricity is made of moving charges; moving charged particles	nongold
26	a heating element converts electrical energy; electricity into heat energy for heating	nongold
27	converting is similar to generating	nongold
28	a source of something emits; produces; generates; provides that something	nongold
29	converting is similar to turning into	nongold
30	a machine is a kind of  device	nongold
31	an electric car contains an electric motor	nongold
32	a light bulb converts electrical energy; electricity into light energy; light energy and heat energy when it is turned on	nongold
33	an electric stove changes electrical energy into heat energy	nongold
34	speaker converts electrical energy; electricity into vibrations; sound energy	nongold
35	a device is a kind of object	nongold
36	a heat engine converts heat energy into mechanical energy	nongold
37	some light bulbs convert electrical energy; electricity into light energy and heat energy	nongold
38	movement is a kind of change	nongold
39	rotation is a kind of motion	gold
40	a machine is a kind of object	nongold
41	rotating is similar to moving	nongold
42	can be means able to be	nongold
43	to transform means to convert	nongold
44	electrical current means electrical energy	nongold
45	a motion is a kind of event; action	nongold
46	motion is a source of kinetic energy in an object	nongold
47	motion is when moves an object; something to a direction	nongold
48	an electric circuit is a vehicle for moving electrical energy from the source to  the electrical device	nongold
49	conversion is a kind of process	nongold
50	heat is a kind of energy	nongold
51	converting is a kind of function	nongold
52	mechanical energy can  cause objects to move	nongold
53	an electrical device requires electricity to turn on	nongold
54	conductivity is a property of a material; substance	nongold
55	an electrical charge can attract objects to other objects	nongold
56	form means kind	nongold
57	to add means to increase	nongold
58	electrical devices are used for industrial purposes; household purposes by humans	nongold
59	objects are made of materials; substances; matter	nongold
60	forming is similar to converting	nongold
61	molecules; atoms are constantly; always moving; vibrating in substance;matter	nongold
62	to conduct is similar to to transfer	nongold
63	an electric car is a kind of invention	nongold
64	setting is a kind of motion	nongold
65	kinetic energy is a kind of mechanical energy	nongold
66	emit means produce	nongold
67	changes potential energy into kinetic energy through motion	nongold
68	speed is a measure of how fast an object is moving	nongold
69	an electromagnet is a kind of electric magnet	nongold
70	high is similar to increase	nongold
71	friction converts mechanical energy into heat energy	nongold
72	variable means able to change	nongold
73	if something generates energy for something else then that something powers that something else	nongold
74	a type is synonymous with a kind	nongold
75	to turn means to change	nongold
76	material means substance	nongold
77	current means electric current	nongold
78	electricity sometimes is used for heating buildings; substances	nongold
79	the formation of lightning converts mechanical energy into electrical energy	nongold
80	the function of something is what that something  is used to do	nongold
81	heat means heat energy	nongold
82	a surface is a part of an object	nongold
83	rolling is a kind of motion	nongold
84	to change means to have an effect	nongold
85	revolving is a kind of motion	nongold
86	if the amount of electricity converted from the potential energy of an object is less than the amount of potential energy in the object , then the  potential energy is converted into other energy other than electricity	nongold
87	affected means changed	nongold
88	An example of an object with kinetic energy is an object in motion	nongold
89	flying is a kind of motion through air; space	nongold
90	generate means produce	nongold
91	hydropower converts kinetic energy into electric energy	nongold
92	to give off means to be the source of	nongold
93	turning is a kind of motion	nongold
94	a rotation is a kind of movement	nongold
95	action can cause change	nongold
96	converting is similar to releasing	nongold
97	temperature is a measure of heat energy	nongold
98	electrical signals are made of electrical energy	nongold
99	a vehicle is a kind of object	nongold
