Question	Which of the following systems breaks food into nutrients that can be used by the body?	question
Answer	digestive	answer
0	the digestive system breaks down food into nutrients for  the body	gold
1	to be used for something means to be required by that something	nongold
2	to digest means to break down food	nongold
3	the digestive system digests food for the body	gold
4	the digestive system is a kind of body; human system	nongold
5	the digestive system is a kind of body; organ system	nongold
6	digestion is when stomach acid breaks down food	nongold
7	the breaking down of food into simple substances occurs in the digestive system	nongold
8	breaking food into nutrients means preparing food for cells	nongold
9	a stomach is a part of a human's; animal's digestive system for the digestion of proteins	nongold
10	if something breaks , then that something cannot be used	nongold
11	eating;digestion is when an organism takes in nutrients from food into itself by eating	gold
12	a food contains nutrients for living things	nongold
13	organ system means body system	nongold
14	a body system is a part of the body; an animal	nongold
15	if something is made of something else then that something can be broken down into that something else	nongold
16	the intestines are a part of the digestive system	nongold
17	a small intestine is a part of a human's; animal's digestive system for the digestion of proteins	nongold
18	the stomach is a part of the  digestive system	nongold
19	digestion is a kind of bodily process	nongold
20	digestion is when food is absorbed into the blood stream	nongold
21	an animal needs to eat food for nutrients	nongold
22	digestion of proteins occurs in the stomach; small intestine	nongold
23	an animal; living thing requires nutrients for survival	nongold
24	an animal is a kind of organism	nongold
25	food is what an animal eats	nongold
26	an animal is a kind of living thing	nongold
27	cellular respiration is cellular digestion	nongold
28	food contains carbohydrates	nongold
29	to help; to benefit means to be of use	nongold
30	an organism is a living thing	nongold
31	a human is a kind of animal	nongold
32	eating; taking in food is used to get nutrients;energy by animals; living things	nongold
33	separating is similar to breaking	nongold
34	the small intestine is a part of the digestive system	nongold
35	the liver is a part of the digestive system	nongold
36	the body is a part of an organism	nongold
37	to depend on; to rely on; to need means to require	nongold
38	the excretory system is a kind of body system	nongold
39	a liver is a part of an animal used in  digestion	nongold
40	the integumentary system is a kind of body; organ system	nongold
41	the function of something is what that something  is used to do	nongold
42	diet means what an animal eats	nongold
43	a plant; living thing requires food for survival	nongold
44	if food is not immediately used by the body for energy then that food will be stored for future use	nongold
45	decomposing is similar to separating	nongold
46	nutrients are a kind of substance	nongold
47	dehydrating food is used for preserving food	nongold
48	to be made of something means to be formed of that something	nongold
49	a worm is a kind of animal	nongold
50	to break down means to break into smaller pieces	nongold
51	a body system is a kind of object	nongold
52	if something is strong then that something  does not break easily	nongold
53	the colon is a part of the digestive system	nongold
54	to split means to break down	nongold
55	helping bodily processes has a positive impact on an animal; an animal's health	nongold
56	a plant is a kind of organism	nongold
57	being used for is similar to providing	nongold
58	to be used  for something means to help to do that something	nongold
59	bacteria can help digest food in humans	nongold
60	a worm is a kind of living thing	nongold
61	the pancreas is a part of the digestive system	nongold
62	person is synonymous with human	nongold
63	a nutrient is a kind of object	nongold
64	a component means a part of	nongold
65	breaking a part of the body means breaking a bone in that part of the body	nongold
66	a nutrient is a kind of chemical compound	nongold
67	something is used for that something's purpose	nongold
68	green plants are a kind of producer	nongold
69	food is a kind of substance	nongold
70	arteries; veins transport nutrients; water; minerals throughout the body	nongold
71	a vegetable is a kind of food	nongold
72	a plant is a kind of living thing	nongold
73	system means a set of objects	nongold
74	can be means able to be	nongold
75	the endocrine system is a kind of body; organ system	nongold
76	the skeletal system is a kind of body system	nongold
77	to use means to utilize	nongold
78	helping something has a  positive impact on that something	nongold
79	a producer is a kind of living thing	nongold
80	made up of means contains; made of	nongold
81	an organism eating is a kind of action	nongold
82	the mouth is a part of the digestive system used for eating	nongold
83	an animal requires enough nutrients to maintain good health; survive	nongold
84	requiring is similar to needing help	nongold
85	a source of something emits; produces; generates; provides that something	nongold
86	the body of an animal contains arteries; veins	nongold
87	to eat means to consume food	nongold
88	an organ system is made of different parts of the body working together	nongold
89	separate is similar to break down	nongold
90	a component of something means a part of that something	nongold
91	a mammal is a kind of animal	nongold
92	a living thing is a kind of object	nongold
93	a protein is a kind of nutrient	nongold
94	the muscular system is a kind of body; organ system	nongold
95	break down is the opposite of put together	nongold
96	composed of means made of	nongold
97	breaking down is a kind of function	nongold
98	the respiratory system is a kind of human; organ; body system	nongold
99	a vegetable is a kind of plant	nongold
