Question	In a large forest with many animals, there are only a small number of bears. Which of these most likely limits the population of bears in the forest?	question
Answer	supply of food	answer
0	a bear is a kind of animal	nongold
1	to limit means to decrease	nongold
2	a restriction can be used to limit something; keep something low	nongold
3	food supply often limits predator population size in an ecosystem	gold
4	a bear is a kind of predator	gold
5	to provide means to supply	nongold
6	as the supply of food in an environment decreases , the population of animals in that environment will decrease	nongold
7	a forest is a kind of environment	nongold
8	some animals live in forests	nongold
9	a forest contains  lots of plants; trees	nongold
10	killing a living thing decreases the number; population size of that living thing	nongold
11	an animal; living thing requires nutrients for survival	nongold
12	if a living thing requires something then that something has a positive impact on that living thing	nongold
13	limiting a source of something tht has a negative impact on something else has a  positive impact on that something else	nongold
14	population is a measure of the number of a species in an environment	nongold
15	an environment means an area	nongold
16	if something is required then that something must be provided	nongold
17	many means high in number	nongold
18	an animal is a kind of living thing	nongold
19	a supply of something is a source of that something	nongold
20	as the population of an animal decreases , the population of that animal's source of food will decrease	nongold
21	bears eat berries; insects; animals	nongold
22	animals; living things live and feed in their habitats; near their habitats	nongold
23	harming an animal species has a  negative impact on the population size of that species	nongold
24	as the number of sources of food increase in an environment , the population of the organisms will increase in that environment	nongold
25	how many means what number	nongold
26	a food contains nutrients for living things	nongold
27	as a resource required by an organism decreases , the population of that organism will decrease	nongold
28	a source of something supplies that something	nongold
29	an increase is the opposite of a decrease	nongold
30	amount is similar to number	nongold
31	protecting a living thing has a  positive impact on that living thing's survival; health	nongold
32	if something required by something else is in a place then that something else may be in that place	nongold
33	requiring something means needing that something	nongold
34	fewer means lower; less in number	nongold
35	humans changing ecosystems;environments usually has a  negative impact on an ecosystem; organisms living in an ecosystem	nongold
36	negative impacts on a species will decrease populations of a species	nongold
37	most predators live in; live near the same environment as their prey	nongold
38	if the amount of available food and water decreases in an environment then animals may leave that environment to find food and water	nongold
39	fur is usually part of a mammal	nongold
40	harming something has a  negative impact on; effect on that something	nongold
41	a population is made of one type of organism in an area	nongold
42	population increase means more survive	nongold
43	as population of predators decreases , the population of prey will increase in an environment	nongold
44	harming an animal species causes that animal's population to decrease	nongold
45	an animal is a kind of organism	nongold
46	limiting something is a kind of activity	nongold
47	a forest is a kind of ecosystem	gold
48	positive impacts on a species will increase populations of a species	nongold
49	an environment is a kind of place	nongold
50	as  population of prey decreases , the population of predators will  decrease	nongold
51	as population of predators increases , the population of prey will decrease in an environment	nongold
52	negative impact is the opposite of positive impact	nongold
53	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
54	less is similar to decrease	nongold
55	low is similar to decrease	nongold
56	a decrease is a kind of change	nongold
57	a polar bear is a kind of bear	nongold
58	fur is often part of an animal	nongold
59	a food shortage can cause the population of a species to decrease	nongold
60	cold environments usually have little food for animals	nongold
61	to lower means to decrease	nongold
62	a lack of something that a living thing requires prevents the survival of that living thing	nongold
63	humans changing an environment causes animal populations to decrease in that environment	nongold
64	forest is synonymous with wooded area	nongold
65	food is a kind of resource	nongold
66	an increase is a kind of change	nongold
67	requiring is similar to needing help	nongold
68	killing means changing a living thing from alive to dead by harming	nongold
69	a required resource being low in availability has a negative impact on the something  that requires that resource	nongold
70	having no natural predators increases population size	nongold
71	helping something has a  positive impact on that something	nongold
72	to depend on; to rely on; to need means to require	nongold
73	the number of parts of something is a property of that something	nongold
74	small is the opposite of large	nongold
75	if something has a negative impact on something else then increasing the amount of that something has a negative impact on that something else	nongold
76	death means to die	nongold
77	national parks limit mining; logging; hunting	nongold
78	an animal requires a habitat for survival	nongold
79	if a source of food for an animal decreases then the animal will have to find other types of food to survive	nongold
80	eating; taking in food is used to get nutrients;energy by animals; living things	nongold
81	as available water in an environment decreases , the amount of available food in that environment will decrease	nongold
82	change is a kind of impact	nongold
83	An example of an environment is a forest; a river; a grassland; an ocean	nongold
84	an animal is a member of an animal species	nongold
85	high is similar to increase	nongold
86	greatest means largest; highest; most amount of something	nongold
87	polar bears live in cold environments	nongold
88	humans changing animal habitats usually causes harm to those animals	nongold
89	a requirement is a kind of limitation	nongold
90	as the cause of something decreases , that something will decrease	nongold
91	to be used for something means to be required by that something	nongold
92	a mammal is a kind of animal	nongold
93	killing means harming something causing death	nongold
94	protecting something means preventing harm to that something	nongold
95	hunting; overhunting decreases animal populations	nongold
96	harming an environment causes harm to the living things; to the organisms in that environment	nongold
97	an animal requires enough nutrients to maintain good health; survive	nongold
98	an ecosystem contains a large community of; large numbers of living organisms	nongold
99	when an animal moves away from an area then the population of that animal decreases in that area	nongold
