Question	Why are some rocks smoother and rounder than others?	question
Answer	They were smoothed by the action of wind and water.	answer
0	rough is the opposite of smooth	nongold
1	sometimes weathering smooths; rounds rocks	gold
2	round means circular in shape	nongold
3	smooth is a kind of texture	nongold
4	texture is a property of  surfaces; materials; objects and includes ordered  values of smooth; rough	nongold
5	rocks contacting; rubbing each other over long periods of time causes those rocks to smooth	nongold
6	to round means to make more round	nongold
7	texture means how an object feels	nongold
8	rocks; soil; materials interacting with wind; moving water over long periods of time causes weathering	gold
9	a rock is a kind of object	nongold
10	weather is a source of wind and water for the weathering process	nongold
11	crumple means change shape from smooth; flat into compacted;irregular by mechanical force; kinetic energy	nongold
12	wind and rain; storms cause erosion	nongold
13	surface area is a property of shape	nongold
14	weathering; mechanical weathering means breaking down rocks; surface materials from a larger whole  into smaller pieces by weather	nongold
15	wind causes erosion	nongold
16	flat means level	nongold
17	texture is a kind of physical property	nongold
18	soil erosion is when wind; moving water; gravity move soil from fields; environments	nongold
19	sliding is a kind of motion	nongold
20	as the smoothness of something increases , the friction of that something will decrease when its surface moves against another surface	nongold
21	sharpening an object causes that object to change shape	nongold
22	motion; movement means moving; to move	nongold
23	action can cause change	nongold
24	brushing is a kind of action	nongold
25	as the roughness of something increases , the friction of that something will increase when its surface moves against another surface	nongold
26	a motion is a kind of event; action	nongold
27	sliding is a kind of movement	nongold
28	uneven heating of the Earth's surface cause wind	nongold
29	water is a kind of object	nongold
30	rubbing  is a kind of motion	nongold
31	a surface is a part of an object	nongold
32	flowing is a kind of action	nongold
33	as roughness of a surface increases , friction will increase	nongold
34	thin means small in width	nongold
35	flatness is a property of a surface; the shape of an object and includes ordered values of uneven; flat	nongold
36	a surface is a kind of object	nongold
37	depth is a property of the shape of an object	nongold
38	down is soft	nongold
39	the wind causes the surface of the water to change its direction toward the direction of the wind	nongold
40	height is a measure of length from the top of an object to the bottom of an object	nongold
41	the wind-water interaction causes upwelling	nongold
42	topography means the physical features of a planet's surface	nongold
43	length is a part of size	nongold
44	rolling over is a kind of action	nongold
45	an event is a kind of action	nongold
46	round objects roll	nongold
47	rock is hard	nongold
48	increase means more	nongold
49	to reduce means to decrease	nongold
50	Earth's surface is made of rock	nongold
51	bending is a kind of change of shape	nongold
52	breaking down an object changes that object's shape and that object's mass	nongold
53	breaking down into pieces is a kind of change in shape	nongold
54	to lower means to decrease	nongold
55	a rock is usually a solid	nongold
56	forming is a kind of action	nongold
57	mechanical weathering is when rocks are broken down by mechanical means	nongold
58	thickness is  a measure of how thick an object  is	nongold
59	width is a property of size; shape and includes ordered values of narrow; wide	nongold
60	stretching is a kind of change in shape	nongold
61	length is a property of the shape of an object	nongold
62	shape is a property of an object	nongold
63	soft is a kind of hardness	nongold
64	shape of the parts of something is a property of that something	nongold
65	an increase is a kind of change	nongold
66	high is similar to increase	nongold
67	weathering is a kind of erosion	nongold
68	action means activity	nongold
69	friction occurs when two object's surfaces move against each other	nongold
70	sand has a rough surface	nongold
71	inclined means sloping	nongold
72	shape is a property of the appearance of an object	nongold
73	the texture of an object can sometimes be told by looking at the object	nongold
74	an increase is the opposite of a decrease	nongold
75	circular means having the shape of a circle	nongold
76	landform means surface feature; physical feature; land feature	nongold
77	an part of an object is smaller than the entire object	nongold
78	an object is made of its parts	nongold
79	erosion is a kind of change	nongold
80	felt is high in roughness	nongold
81	sedimentary rocks are formed by sediment; materials that settle compacting; cementing together	nongold
82	rock is a kind of material	nongold
83	a structure of something is synonymous with a part of that something	nongold
84	a decrease is a kind of change	nongold
85	friction exerts force on moving objects	nongold
86	a pebble is a kind of small rock	nongold
87	a boulder is a kind of rock	nongold
88	structure is similar to shape	nongold
89	low is similar to decrease	nongold
90	straight is a kind of shape	nongold
91	water  flows down a slope	nongold
92	bedrock is a kind of rock	nongold
93	height is a property of the size of an object	nongold
94	revolving is a kind of action	nongold
95	distance moved; distance travelled is a measure of how far an object moves	nongold
96	rolling is a kind of motion	nongold
97	to wash away is a kind of movement by moving water	nongold
98	length is a measure of distance from one end of an object to the other end of that object	nongold
99	movement is a kind of change	nongold
