Question	Which of the following is least involved in the decomposition and decay of dead plants and animals?	question
Answer	plant roots	answer
0	roots are a part of a plant; tree	gold
1	decomposition is when a decomposer recycles; returns nutrients; nitrogen from dead organisms to the soil by eating those dead organisms	nongold
2	a plant is a kind of living thing	nongold
3	decomposition is when a decomposer breaks down dead organisms	gold
4	dead plants means dead plant material	nongold
5	an animal is a kind of living thing	nongold
6	plant and animal matter means organic matter	nongold
7	dead organisms decay	nongold
8	to decompose means to decay	gold
9	a plant is a kind of organism	gold
10	decomposition  increases amount of organic matter in soil	nongold
11	to cause an event is similar to being involved in that event	nongold
12	roots anchor plants into the soil	nongold
13	vegetation means plants	nongold
14	least is the opposite of most	nongold
15	a root is a kind of object	nongold
16	decomposition is a kind of process	nongold
17	an animal is a kind of organism	gold
18	lowest means least in value; amount; number	nongold
19	plants absorb nutrients; water; oxygen from soil into themselves through their roots	nongold
20	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
21	decay has a negative impact on a thing	nongold
22	an organism is a living thing	nongold
23	an organism is made of organic matter	nongold
24	to be involved in something means to have a role in something	gold
25	least is the opposite of greatest	nongold
26	roots hold soil in place	nongold
27	if a living thing dies then that living thing is dead	nongold
28	an organism is a source of organic matter	nongold
29	roots are a vehicle for absorbing water and nutrients from soil into the plant	nongold
30	remains mean parts of a dead organism	nongold
31	remains is similar to dead organisms	nongold
32	soil is a kind of material	nongold
33	In the erosion process roots of plants are an inhibitor	nongold
34	decomposition increases the  amount of nutrients; nitrogen in the soil	nongold
35	life means living things	nongold
36	plant parts are made of plants	nongold
37	a plant requires soil for survival; to grow	nongold
38	a tree is a kind of plant	nongold
39	death means to die	nongold
40	dead organisms rot	nongold
41	soil contains nutrients for plants	nongold
42	dead organisms are the source of nutrients for decomposers	nongold
43	a tree is a kind of living thing	nongold
44	plants can be fossilized	nongold
45	soil is a kind of nonliving thing	nongold
46	to have a function is similar to to be responsible for	nongold
47	a human is a kind of animal	nongold
48	to depend on; to rely on; to need means to require	nongold
49	a living thing is a kind of object	nongold
50	an event is a kind of action	nongold
51	soil is usually part of an environment	nongold
52	to be used for something means to be required by that something	nongold
53	if something causes a process then that something is required for that process	nongold
54	an organism is a source of organic material	nongold
55	killing means harming something causing death	nongold
56	if a living thing requires something then that something has a positive impact on that living thing	nongold
57	dead organisms are a kind of waste	nongold
58	something being destroyed means that something no longer exists	nongold
59	to cause means to be responsible for	nongold
60	a plant's  roots slowly break down rocks as the roots grow	nongold
61	a decomposer is usually a bacterium; fungus	nongold
62	changes in the pH of soil can cause plants to die	nongold
63	material means substance	nongold
64	once-living means dead	nongold
65	dead means not alive	nongold
66	answering questions requires information	nongold
67	if something is made of something; a material then that something contains that something; that material	nongold
68	killing means changing a living thing from alive to dead by harming	nongold
69	soil is made of solid particles	nongold
70	a tree is a kind of matter	nongold
71	a plant; living thing requires food for survival	nongold
72	being buried under soil and mud changes dead vegetation; dead plant matter into peat through extreme heat and pressure in a swamp over a long period of time	nongold
73	to be a source of something means to cause that something	nongold
74	decomposition is a stage in the nutrient recycling process	nongold
75	plants are a part of the environment	nongold
76	shortest means least; smallest in length	nongold
77	a bacterium is a kind of decomposer	nongold
78	a source of something emits; produces; generates; provides that something	nongold
79	fewest means lowest; least in number	nongold
80	living things perform biological processes	nongold
81	if an event is required for a process then that event must occur before that process can occur	nongold
82	most means over 50% of something	nongold
83	a part of a living thing is a natural structure	nongold
84	a structure of something is synonymous with a part of that something	nongold
85	a process usually requires all of the stages in that process	nongold
86	a process is a kind of event	nongold
87	a component means a part of	nongold
88	something is used for that something's purpose	nongold
89	loss is similar to removal	nongold
90	harming something has a  negative impact on; effect on that something	nongold
91	if something requires something else then that something requires a source of that something else	nongold
92	to be formed by is similar to being produced by	nongold
93	to give is similar to to cause	nongold
94	soil is a part of the ground outside	nongold
95	to give off means to be the source of	nongold
96	a component of something means a part of that something	nongold
97	all living and nonliving materials are made of elements	nongold
98	decomposition is a stage in the carbon cycle process	nongold
99	the function of something is what that something  is used to do	nongold
