Question	If enough heat is taken away from a container of water, what will happen to the water?	question
Answer	It will become a solid.	answer
0	take away means decreasing	gold
1	a solid is a kind of substance	nongold
2	water is a kind of liquid at room temperature	gold
3	a jar is a kind of container	nongold
4	water is an thermal; thermal energy conductor	nongold
5	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	nongold
6	water is a kind of substance	nongold
7	a container contains objects; material; substances	nongold
8	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
9	freezing means matter; a substance changes from a liquid into a solid by decreasing heat energy	gold
10	temperature is a measure of heat energy	nongold
11	becoming is similar to changing	gold
12	a liquid is a kind of substance	nongold
13	if a container contains something then that container touches that something	nongold
14	boiling;evaporation means matter; a substance changes from a liquid into a gas by increasing heat energy	nongold
15	cooling;colder means removing;reducing;decreasing heat;temperature	nongold
16	if a thermal conductor; an object is exposed to a source of heat then that conductor; that object may become hot; warm	nongold
17	a container is a kind of object	nongold
18	solid is a kind of state of matter	nongold
19	contents means the substance in a container	nongold
20	heat means heat energy	gold
21	water is a kind of matter	nongold
22	liquid is a kind of state of matter	nongold
23	apart means away	nongold
24	adding heat means increasing temperature	nongold
25	to add means to increase	nongold
26	matter with variable volume and shape assumes; expands to fill; takes the shape and size of its entire container	nongold
27	if a hot object; substance is exposed to; touches a cold object; substance then that object; that substance will likely cool	nongold
28	a liquid is a kind of fluid	nongold
29	substances are made of matter	nongold
30	a metal is usually a solid at room temperature	nongold
31	if a liquid disappears then that liquid probably evaporated	nongold
32	melting is when solids are heated above their melting point	nongold
33	melting means matter; a substance changes from a solid into a liquid by increasing heat energy	nongold
34	near; close is the opposite of far; away	nongold
35	water is in the gas state , called water vapor; steam , for temperatures between 373; 212; 100 and 100000000000 K; F; C	nongold
36	heat means temperature increases	nongold
37	if heat is conducted to an object then that object will become hot	nongold
38	an increase is a kind of change	nongold
39	materials are made of matter	nongold
40	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
41	evaporating is a kind of phase change	nongold
42	as heat is transferred from something to something else , the temperature of that something will decrease	nongold
43	to move away means to increase distance	nongold
44	metal is a thermal; thermal energy conductor	nongold
45	Matter in the solid phase has definite shape	nongold
46	to lower means to decrease	nongold
47	boiling is when liquids are heated above their boiling point	nongold
48	a phase change is a kind of physical change	nongold
49	toward is the opposite of away	nongold
50	melting is a kind of phase change	nongold
51	boiling is a kind of phase change	nongold
52	freezing causes a solid to form	nongold
53	a hot; warm something is a source of heat	nongold
54	a decrease is a kind of change	nongold
55	if something absorbs; requires more heat than it gives off in an reaction , then something will be cold in temperature	nongold
56	heating means adding heat	nongold
57	water is in the solid state , called ice , for temperatures between 0; -459; -273 and 273; 32; 0 K; F; C	nongold
58	heat energy can change the state of matter	nongold
59	if  something is placed in warm air then that something will become warm	nongold
60	if heat is added to a substance then that substance absorbs that heat	nongold
61	matter; materials; substances are made of atoms; particles	nongold
62	sublimation means matter; a substance changes from a solid into a gas by increasing heat energy	nongold
63	high is similar to increase	nongold
64	frozen means solid	nongold
65	a source of something emits; produces; generates; provides that something	nongold
66	freezing is a kind of phase change	nongold
67	water is a kind of object	nongold
68	ability to undergo a phase change is a property of a substance; material	nongold
69	objects are made of materials; substances; matter	nongold
70	temperature changing can cause phase changes	nongold
71	conductivity is a property of a material; substance	nongold
72	becoming is similar to forming	nongold
73	thermal conduction is when heat flows from warmer object to cooler object	nongold
74	heat energy is synonymous with thermal energy	nongold
75	mass has no impact on boiling; melting; freezing point	nongold
76	low is similar to decrease	nongold
77	if an object; a substance makes something then that object; that substance is a source of that thing	nongold
78	if someone is standing away from something then that someone is not touching that something	nongold
79	air is usually a thermal; thermal energy insulator	nongold
80	to reduce means to decrease	nongold
81	hot means high in heat energy; temperature	nongold
82	if an object; a substance; a location absorbs solar energy then that object; that substance will increase in temperature	nongold
83	an increase is the opposite of a decrease	nongold
84	evaporation causes amount of water to decrease	nongold
85	to give off means to be the source of	nongold
86	if one surface; one substance; one object touches something then one is exposed to that something	nongold
87	if something transfers something else then that something is a source of something else	nongold
88	if an object is placed in a substance; in a location that is colder then that object will cool to the same temperature of that substance; of that location	nongold
89	a body of water contains water	nongold
90	form means kind	nongold
91	material means substance	nongold
92	if something is soluble in something , then that something can be dissolved in something forming a solution	nongold
93	warm; becoming warm means heat is added	nongold
94	gas is a kind of state of matter	nongold
95	an insulator is the opposite of a conductor	nongold
96	moisture means liquid; liquid water	nongold
97	if something undergoes a physical change then the physical properties of that something will change	nongold
98	the heat energy in the cooler object increases in thermal conduction	nongold
99	a  solution  is a kind of object	nongold
