Question	When a volcano erupts, lava flows out from the top. What type of rock is formed as the lava cools?	question
Answer	igneous	answer
0	igneous rocks; minerals are formed by magma; lava cooling; crystallizing	gold
1	igneous is a kind of rock	gold
2	a type is synonymous with a kind	gold
3	if lava is on Earth's surface then that lava will cool	nongold
4	a volcano is a source of magma; lava	nongold
5	form means kind	nongold
6	flowing is a kind of motion	nongold
7	cooling;colder means removing;reducing;decreasing heat;temperature	nongold
8	the bottom is the lowest part of something	nongold
9	metamorphosis of rocks is when rocks change from  one type into another type by  extreme heat and pressure	nongold
10	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
11	pumice is a kind of igneous rock	nongold
12	granite is a kind of igneous rock	nongold
13	a mountain top is a part of a mountain	nongold
14	new land can be formed by volcanoes erupting by lava cooling	nongold
15	breaking down is a kind of forming	nongold
16	lava is found above the ground	nongold
17	class is a property of a rock and includes values of sedimentary; metamorphic; igneous	nongold
18	metamorphosed rock is a kind of rock	nongold
19	to form means to create	nongold
20	a volcanic eruption is a kind of change	nongold
21	temperature is a measure of heat energy	nongold
22	to cause the formation of means to form	nongold
23	below means lower down	nongold
24	to be made of something means to be formed of that something	nongold
25	different classes of rocks are formed by different methods	nongold
26	to make means to form	nongold
27	mountains are formed by earthquakes; volcanoes; plate tectonics	nongold
28	heating means adding heat	nongold
29	low means down	nongold
30	a volcano is a kind of landform	nongold
31	high is similar to increase	nongold
32	a volcano is a kind of geological event	nongold
33	heat means heat energy	nongold
34	metamorphic rock is a kind of rock	nongold
35	adding heat means increasing temperature	nongold
36	metamorphic is a kind of rock	nongold
37	a rock is a kind of object	nongold
38	magma is a kind of hot rock	nongold
39	buildup means increase	nongold
40	class is a measure of how a rock is formed	nongold
41	to add means to increase	nongold
42	heat means temperature increases	nongold
43	to change into means to form	nongold
44	cool means cold	nongold
45	to be formed by is similar to being produced by	nongold
46	to lower means to decrease	nongold
47	extreme heat and pressure change; metamorphose rock into metamorphic rock	nongold
48	summit means the top of the mountain	nongold
49	a mountain is made of rocks; soil	nongold
50	cooling means temperature decreases	nongold
51	composed of means made of	nongold
52	magma is found below the ground	nongold
53	keeping cool means not increasing temperature	nongold
54	a volcanic eruption is a kind of quick process	nongold
55	igneous intrusion is a kind of geologic process	nongold
56	lava is a kind of matter	nongold
57	to reduce means to decrease	nongold
58	extreme means very high in value	nongold
59	a plateau  is formed by a buildup of cooled lava	nongold
60	intense means extreme	nongold
61	volcanoes are often found under oceans	nongold
62	low is similar to decrease	nongold
63	forming something is a kind of change	nongold
64	weathering; mechanical weathering means breaking down rocks; surface materials from a larger whole  into smaller pieces by weather	nongold
65	the ground is at the bottom of an area	nongold
66	a rock is usually a solid	nongold
67	warm up means increase temperature	nongold
68	colder; cooler means lower in temperature	nongold
69	to be formed means to be originated	nongold
70	to generate means to form	nongold
71	to increase is similar to to create	nongold
72	an increase is the opposite of a decrease	nongold
73	rising is a kind of motion	nongold
74	flowing is similar to pouring	nongold
75	category means kind	nongold
76	to happen means to occur	nongold
77	downward means down	nongold
78	affected means changed	nongold
79	warm is the opposite of cool	nongold
80	a mountain is a kind of landform	nongold
81	forming is similar to converting	nongold
82	warm means medium heat energy; temperature	nongold
83	creating is similar to causing	nongold
84	mountain top is a kind of location	nongold
85	out is synonymous with outside	nongold
86	at the top of a place means at the highest point of the place	nongold
87	massive means giant	nongold
88	to produce means to create	nongold
89	break down means change from a whole into pieces	nongold
90	answering questions requires information	nongold
91	an increase is a kind of change	nongold
92	underground means buried deep below other rocks	nongold
93	volcanoes are most common along tectonic plate boundaries	nongold
94	if heat is absorbed from a source then that heat source will cool	nongold
95	to create means to make	nongold
96	rising means elevation	nongold
97	hot means high in heat energy; temperature	nongold
98	boiling is when liquids are heated above their boiling point	nongold
99	the formation of rock is a kind of process	nongold
