Question	Which of the following is the primary advantage of sexual reproduction when compared to asexual reproduction?	question
Answer	There is greater genetic variety in offspring.	answer
0	genetic variation in offspring has a positive impact on an organism's; offspring's survival; health; ability to reproduce	gold
1	advantage has a positive impact on something	gold
2	sexual reproduction is a source of genetic variation; naturally occurring variation in offspring; in a species	gold
3	asexual reproduction is not a source of genetic variation in offspring	gold
4	sexual reproduction increases genetic diversity	nongold
5	a disadvantage is  a negative impact	nongold
6	variation means variety	gold
7	variety is similar to diversity	nongold
8	children; young is synonymous with offspring	nongold
9	sexual reproduction is a kind of reproduction	nongold
10	variety means different kinds; different types	nongold
11	asexual reproduction is when a single parent passes inherited traits to offspring	nongold
12	reproduction produces; produce offspring	nongold
13	an asexually produced offspring is genetically identical to its parent	nongold
14	offspring receive genes from their parents through inheritence; DNA; sexual reproduction	nongold
15	sexual reproduction produces offspring with genetic material from both parents; cells with genetic material from both parent cells	nongold
16	an increase is the opposite of a decrease	nongold
17	to impact means to affect	nongold
18	increase means more	nongold
19	high is similar to increase	gold
20	inheriting is when an inherited characteristic is copied; is passed from parent to offspring by genetics;DNA	nongold
21	genetic variation is similar to trait variation	nongold
22	reproduction increases the number; population of a living thing	nongold
23	an increase is a kind of change	nongold
24	to reproduce means to have; to produce offspring	nongold
25	less is the opposite of more	nongold
26	less is similar to decrease	nongold
27	sexual reproduction in animals is when egg; sperm join together	nongold
28	animals reproduce sexually	nongold
29	having a positive impact on reproduction increases the chance of reproduction	nongold
30	trait is synonymous with characteristic	nongold
31	greater means higher; more in value	nongold
32	if a living thing requires something then that something has a positive impact on that living thing	nongold
33	impact means effect	nongold
34	a factor impacts something	nongold
35	an organism is a living thing	nongold
36	in sexual reproduction sperm is a vehicle for the genes from the father to the offspring	nongold
37	an animal is a kind of organism	nongold
38	in sexual reproduction the egg is a vehicle for the genes from the mother to the offspring	nongold
39	an animal is a kind of living thing	nongold
40	a positive impact is  a benefit	nongold
41	an adaptation is an advantage	nongold
42	low is similar to decrease	nongold
43	reproduction is when an organism passes genetic information from itself to its offspring	nongold
44	an animal needs to attract a mate to reproduce	nongold
45	variation means change	nongold
46	reproduction is a kind of process	nongold
47	parents produce offspring	nongold
48	a decrease is a kind of change	nongold
49	negative impact is the opposite of positive impact	nongold
50	as the number of offspring an animal has increases , the number of offspring that survive will increase	nongold
51	fertilization is not a stage in the asexual reproduction process	nongold
52	a mother births offspring	nongold
53	offspring receives half of the genes from each parent	nongold
54	to add means to increase	nongold
55	animals require fertilization to reproduce	nongold
56	genes is a vehicle for passing inherited characteristics from parent to offspring	nongold
57	inherited characteristics are the opposite of learned characteristics; acquired characteristics	nongold
58	lower means less	nongold
59	unique  is the opposite of diverse	nongold
60	causing is a kind of affecting	nongold
61	larger means greater; higher; more; increase in size	nongold
62	if something has a positive impact on something else then increasing the amount of that something has a positive impact on that something else	nongold
63	reproduction is a stage in the life cycle process	nongold
64	affected means changed	nongold
65	to be used for something means to be required by that something	nongold
66	genetic; hereditary means of genes; heredity	nongold
67	comparing requires observing that something	nongold
68	higher means greater; above in value; amount; number	gold
69	selective breeding is when an organism receives selective genetic traits from its parents by human design	nongold
70	solution is similar to a positive impact	nongold
71	change is a kind of impact	nongold
72	each sex cell provides half the number of chromosomes in a fertilized egg through sexual reproduction	nongold
73	genes are able to determine the inherited characteristics of a living thing	nongold
74	to lower means to decrease	nongold
75	an animal is a kind of eukaryote	nongold
76	if something is required for a process then that something positively impacts that process	nongold
77	harming something has a  negative impact on; effect on that something	nongold
78	to enhance means to increase	nongold
79	cross-pollination increases genetic diversity	nongold
80	an inherited characteristic is a kind of characteristic	nongold
81	life means living things	nongold
82	to change means to have an effect	nongold
83	to be good for means to have a positive impact on	nongold
84	gamete development is a stage in the sexual reproduction process	nongold
85	causing means influencing	nongold
86	reproduction occurs during adulthood	nongold
87	trait means property	nongold
88	requiring something means needing that something	nongold
89	little is similar to decrease	nongold
90	reproductive behavior is an inherited characteristic	nongold
91	species is an inherited characteristic	nongold
92	selective breeding decreases genetic diversity	nongold
93	fertilization is a stage in the sexual reproduction process	nongold
94	An example of asexual reproduction is when an organism creates cells identical to itself without combining genes from parent cells	nongold
95	comparing requires measuring	nongold
96	some animals have offspring by laying eggs	nongold
97	desirable result means positive impact	nongold
98	low is the opposite of high	nongold
99	helping something has a  positive impact on that something	nongold
