Question	Which of the following is a mineral?	question
Answer	diamond	answer
0	diamond is a kind of mineral	gold
1	a mineral is a kind of solid; natural material	nongold
2	a mineral is a kind of object	nongold
3	rock is made of minerals	nongold
4	the formation of diamonds occurs beneath the surface of the Earth by carbon being heated and pressured	nongold
5	gypsum is a kind of mineral	nongold
6	a mineral usually has a crystal structure	nongold
7	talc is a kind of mineral	nongold
8	answering questions requires information	nongold
9	mica is a kind of mineral	nongold
10	a living thing is a kind of object	nongold
11	material means substance	nongold
12	a rock is a kind of object	nongold
13	iron is a kind of mineral	nongold
14	composed of means made of	nongold
15	to be made of something means to be formed of that something	nongold
16	rock is a kind of material	nongold
17	zinc is a kind of mineral	nongold
18	if something is made of something else then that something can be broken down into that something else	nongold
19	a type is synonymous with a kind	nongold
20	a component of something means a part of that something	nongold
21	all the other means the rest of	nongold
22	hardness is an intensive property	nongold
23	rock means stone	nongold
24	quartz is a kind of mineral	nongold
25	if one mineral can scratch another mineral then that other mineral is softer than that one mineral	nongold
26	an object; material; substance comes from that object or material's source	nongold
27	sulfur is a kind of mineral	nongold
28	some minerals are nutrients	nongold
29	can be means able to be	nongold
30	both means two	nongold
31	a component means a part of	nongold
32	form means kind	nongold
33	if something; an invention; a discovery is invented; discovered then that something; that invention; that discovery can be used	nongold
34	substances are made of matter	nongold
35	soft is a kind of hardness	nongold
36	hardness is a measure of a mineral's ability to resist scratching	nongold
37	to give is similar to to cause	nongold
38	knowing the properties of something means knowing information about that something	nongold
39	made of is similar to contains	nongold
40	made up of means contains; made of	nongold
41	calcium is a kind of element	nongold
42	an object is made of its parts	nongold
43	hardness is a property of a material; an object and includes ordered values of malleable; rigid	nongold
44	to be formed by is similar to being produced by	nongold
45	nonmetal means nonmetals	nongold
46	testing the streak of a mineral requires the powdered form of that mineral	nongold
47	all minerals are formed by natural geological processes	nongold
48	a physical property is a kind of property	nongold
49	hypothesis means scientific guess about the cause and effect of an event	nongold
50	objects are made of materials; substances; matter	nongold
51	streak is a property of a mineral	nongold
52	a structure of something is synonymous with a part of that something	nongold
53	a piece is a part of a whole	nongold
54	make means produce	nongold
55	a type of something is a kind of property of that something	nongold
56	state means form	nongold
57	an event is a kind of action	nongold
58	rock is a kind of nonliving thing	nongold
59	an element is a kind of  substance	nongold
60	emit means produce	nongold
61	a plant is a kind of living thing	nongold
62	classifying is when one sorts something by kind; type	nongold
63	an part of an object is smaller than the entire object	nongold
64	hardness is a kind of physical property	nongold
65	an animal is a kind of living thing	nongold
66	materials are made of matter	nongold
67	if something is made of something else , then that something else will be the component of that something	nongold
68	characteristic means property	nongold
69	if an object; a substance makes something then that object; that substance is a source of that thing	nongold
70	contains means located in	nongold
71	to be used for something means to be required by that something	nongold
72	if something is made of something; a material then that something contains that something; that material	nongold
73	length is a measure of distance from one end of an object to the other end of that object	nongold
74	if something is a part of something then that something can be found in that something	nongold
75	a source of something emits; produces; generates; provides that something	nongold
76	to belong to a class means to be a kind of something	nongold
77	to be a combination of means to be made of	nongold
78	a hypothesis is a kind of scientific term	nongold
79	an object has properties	nongold
80	a property is similar to a factor	nongold
81	state of matter is a kind of physical property	nongold
82	if an object is made of something then the parts of that object are made of that something	nongold
83	if something comes from something else then that something else is a source of that something	nongold
84	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
85	a material is a kind of resource	nongold
86	all elements are a kind of pure substance	nongold
87	where something  comes from is a source of that something	nongold
88	a part of something means a characteristic of something	nongold
89	denser means more dense	nongold
90	a solid is a kind of substance	nongold
91	to split means to break down	nongold
92	to be believed to be is similar to maybe	nongold
93	a particle is a kind of object	nongold
94	if something is a part of something else then that something else contains that something	nongold
95	once means one time	nongold
96	if an object is made of a material then that object has the properties of that material	nongold
97	definite is the opposite of variable	nongold
98	a motion is a kind of event; action	nongold
99	a process is a kind of event	nongold
