Question	In a meadow ecosystem, mice receive most of the energy they need to survive directly from which of the following sources?	question
Answer	plants	answer
0	to depend on; to rely on; to need means to require	nongold
1	a mouse is a kind of animal	gold
2	a meadow is a kind of environment	nongold
3	a mouse is a kind of mammal	nongold
4	a mouse is a kind of herbivore	gold
5	food is a source of energy for animals; plants	gold
6	living things all require energy for survival	gold
7	a plant; living thing requires food for survival	nongold
8	an energy source is a kind of resource	nongold
9	most means over 50% of something	nongold
10	where something  comes from is a source of that something	nongold
11	an animal; living thing requires nutrients for survival	nongold
12	if something comes from something else then that something else is a source of that something	nongold
13	a source of something emits; produces; generates; provides that something	nongold
14	eating; taking in food is used to get nutrients;energy by animals; living things	gold
15	a plant requires a habitat for survival	nongold
16	taking in something means receiving; absorbing; getting something	nongold
17	requiring something means needing that something	nongold
18	an ecosystem is a kind of habitat	nongold
19	if something requires something else then that something requires a source of that something else	nongold
20	a plants; living things require water for survival; to grow	nongold
21	nutrients are a source of energy for living things	nongold
22	an organism requires energy for growth; repair	nongold
23	if something is passed down to something else then that something else receives that something	nongold
24	meadow voles eat plants; insects	nongold
25	a plant is a kind of organism	nongold
26	dying is the opposite of living; surviving	nongold
27	an animal needs to eat food for nutrients	nongold
28	a plant is a kind of living thing	nongold
29	a supply of something is a source of that something	nongold
30	an animal requires a habitat for survival	nongold
31	a cat is a kind of mammal	nongold
32	survive means live	nongold
33	survive means live	nongold
34	an environment is similar to an ecosystem	nongold
35	the increase of something required by an organism has a positive impact on that organism's survival	nongold
36	if something transfers something else then that something is a source of something else	nongold
37	resources sometimes are used for energy	nongold
38	an animal is a kind of living thing	gold
39	an animal is a kind of organism	nongold
40	a plant requires soil for survival; to grow	nongold
41	a grassland is a kind of environment	nongold
42	a mammal is a kind of animal	nongold
43	a cat is a kind of animal	nongold
44	living things eat their food source	nongold
45	an organism is a living thing	nongold
46	plants are a part of the environment	nongold
47	green plants are a kind of producer	gold
48	plants are a kind of resource	nongold
49	one can get something from a source	nongold
50	all cells require energy	nongold
51	receive means get	gold
52	requiring is similar to needing help	nongold
53	an object; material; substance comes from that object or material's source	nongold
54	if a living thing is destroyed then the resources used by that living thing will become available	nongold
55	survival means to survive	nongold
56	an ecosystem contains a large community of; large numbers of living organisms	nongold
57	a mouse births; gives birth to live young	nongold
58	habitat is similar to environment	nongold
59	vegetation means plants	nongold
60	if something gains something from something else then that something else is a source of that something	nongold
61	if an organism eats something then that something is a source of frood to that organism	gold
62	animals; living things live and feed in their habitats; near their habitats	nongold
63	if a living thing requires something then that something has a positive impact on that living thing	nongold
64	animals; living things require water for survival	nongold
65	usually means most of the time	nongold
66	resources becoming available has a positive impact on the things that need those resources	nongold
67	a food contains nutrients for living things	nongold
68	organisms are a part of an environment	nongold
69	a source of something increases the amount of that something	nongold
70	life means living things	nongold
71	food is a kind of resource	nongold
72	an animal requires enough nutrients to maintain good health; survive	nongold
73	obtain is similar to receive	nongold
74	a plant requires photosynthesis to grow; survive	nongold
75	needing something means depending on that something	nongold
76	green plants provide food for themselves; animals; consumers by performing photosynthesis	nongold
77	if something is a raw material then that something comes directly from a source	nongold
78	a plant; living thing requires nutrients to grow	nongold
79	photosynthesis is a source of; makes food; energy for the plant by converting carbon dioxide, water, and sunlight into carbohydrates	nongold
80	an environment means an area	nongold
81	to be used for something means to be required by that something	nongold
82	dead organisms are the source of nutrients for decomposers	nongold
83	mice live in in holes in the ground in fields; in forests	nongold
84	woodland means forest	nongold
85	protecting a living thing has a  positive impact on that living thing's survival; health	nongold
86	nutrients are a kind of resource	nongold
87	a leaf is a part of a  green plant	nongold
88	eating;digestion is when an organism takes in nutrients from food into itself by eating	nongold
89	soil contains nutrients for plants	nongold
90	if something causes a process then that something is required for that process	nongold
91	an adaptation; an ability has a positive impact on an animal's; living thing's survival; health; ability to reproduce	nongold
92	changes in an environment cause animals; plants to adapt to survive	nongold
93	plants absorb nutrients; water; oxygen from soil into themselves through their roots	nongold
94	a  plant requires sunlight for photosynthesis	nongold
95	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
96	the decrease of something required by an organism has a negative impact on that organism's survival; that organism's ability	nongold
97	an animal requires energy to move	nongold
98	helping something has a  positive impact on that something	nongold
99	living things require respiration to use energy	nongold
