Question	A student heated a pan of soup on a stove. While stirring the soup with a metal spoon, the student noticed the spoon became very warm. What is the most likely reason the spoon became warm?	question
Answer	Heat from the soup was transferred to the spoon.	answer
0	a pan;frying pan;pot is used for cooking food by heating food in it on a stove	nongold
1	a pan;frying pan is a kind of container for cooking; food	gold
2	pot;pan;frying pan is made of metal for cooking	gold
3	a pan is a kind of object	nongold
4	if a spoon; an object is used to stir a liquid; mixture then that spoon; that object is touching that liquid; that mixture	gold
5	soup is a kind of liquid	nongold
6	warm; becoming warm means heat is added	nongold
7	if a thermal conductor; an object is exposed to a source of heat then that conductor; that object may become hot; warm	gold
8	soup is a kind of food	gold
9	metal is a thermal; thermal energy conductor	gold
10	a spoon is a kind of object	gold
11	a spoon sometimes is made of metal	nongold
12	a stove generates heat for cooking usually	gold
13	a plastic spoon is made of plastic	nongold
14	a thermal energy conductor transfers heat from warmer objects; hotter objects to cooler objects	nongold
15	heating means adding heat	gold
16	warm means warm temperature	nongold
17	heat means the transfer of thermal energy	nongold
18	a stove is used for cooking by generating heat	nongold
19	if a hot object; substance is exposed to; touches a cold object; substance then that object; that substance will likely cool	nongold
20	stirring is when something moves an object in a circular motion for mixing	nongold
21	heat means heat energy	nongold
22	cooling;colder means removing;reducing;decreasing heat;temperature	nongold
23	when a cooler object touches a warmer object , thermal conduction occurs	nongold
24	thermal conduction is when heat flows from warmer object to cooler object	nongold
25	water is an thermal; thermal energy conductor	nongold
26	heat energy is synonymous with thermal energy	nongold
27	metal is a kind of material	gold
28	boiling;evaporation means matter; a substance changes from a liquid into a gas by increasing heat energy	nongold
29	become warm means get warm	nongold
30	warm means medium heat energy; temperature	nongold
31	a human is a kind of animal	nongold
32	a container contains objects; material; substances	gold
33	a thermal conductor is made of materials that conduct thermal energy	gold
34	adding heat means increasing temperature	nongold
35	metal is a kind of substance	nongold
36	a hot substance is a source of heat	nongold
37	a cause of something is a reason for that something	nongold
38	an object; material; substance comes from that object or material's source	nongold
39	absorbing energy causes objects; materials; substances to heat	nongold
40	warm up means increase temperature	nongold
41	temperature is a measure of heat energy	nongold
42	if food is cooked then heat energy is added to that food	nongold
43	if something transfers something else then that something is a source of something else	nongold
44	conductivity is a property of a material; substance	gold
45	if one surface; one substance; one object touches something then one is exposed to that something	gold
46	an electric stove changes electrical energy into heat energy	nongold
47	being  on something; placed in something; placed over something means touching  that something	gold
48	to conduct is similar to to transfer	gold
49	if a container contains something then that container touches that something	gold
50	a hot; warm something is a source of heat	nongold
51	heating is the opposite of cooling	nongold
52	a student is a kind of human	nongold
53	heat means temperature increases	nongold
54	a container is a kind of object	gold
55	if an object; a substance; a location absorbs solar energy then that object; that substance will increase in temperature	nongold
56	if heat is added to a substance then that substance absorbs that heat	nongold
57	to add means to increase	nongold
58	food is a kind of substance	nongold
59	food is a kind of object	gold
60	warmer means greater; higher in temperature; warmth	nongold
61	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
62	if an object is made of a material then that object has the properties of that material	gold
63	fire transfers heat through waves	nongold
64	metal is an  electrical; electrical energy conductor	nongold
65	to receive sunlight means to absorb sunlight	nongold
66	transferring is moving from one place to another place	nongold
67	stirring is a kind of first-	nongold
68	a source of something emits; produces; generates; provides that something	gold
69	absorbing sunlight causes objects to heat	nongold
70	a liquid is a kind of substance	nongold
71	thermal conduction is when materials conduct heat through those materials through collision of particles	nongold
72	boiling is when liquids are heated above their boiling point	nongold
73	friction causes the temperature of an object to increase	nongold
74	the heat energy in the cooler object increases in thermal conduction	nongold
75	if heat is conducted to an object then that object will become hot	nongold
76	a burner is a part of a  stove	nongold
77	if something is places over a heat source then that something is exposed to that heat source	nongold
78	if an object is held under a substance then that object is touching that substance	nongold
79	plastic is a kind of thermal insulator	nongold
80	objects are made of materials; substances; matter	nongold
81	an animal is a kind of living thing	nongold
82	if heat is absorbed from a source then that heat source will cool	nongold
83	a living thing is a kind of object	nongold
84	hot means high in heat energy; temperature	nongold
85	where something  comes from is a source of that something	nongold
86	a source of heat can be used to heat something	nongold
87	a source of heat can be used to heat something	nongold
88	to pass means to transfer	nongold
89	a metal is usually a solid at room temperature	nongold
90	heat energy  can be used to heat up  an object	nongold
91	to transfer means to bring; to get something to	nongold
92	transfer is a kind of change	nongold
93	material means substance	nongold
94	if one is holding an object then one is touching that object	nongold
95	cooking food requires adding heat energy to the food	nongold
96	if something comes from something else then that something else is a source of that something	nongold
97	a person is a kind of animal	nongold
98	a surface is a part of a material	nongold
99	a vegetable is a kind of food	nongold
