Question	Which gravitational pull has the greatest influence on Earth's tides?	question
Answer	the gravitational pull between Earth and the Moon	answer
0	the gravitational pull of the Moon on Earth's oceans causes the tides	gold
1	the Moon is Earth's moon	nongold
2	the gravitational pull of the Sun on Earth's oceans causes the tides	nongold
3	a moon is a kind of celestial object; body	nongold
4	gravity means gravitational pull; gravitational energy; gravitational force; gravitational attraction	nongold
5	Earth is a kind of planet	nongold
6	the moon orbits the Earth	nongold
7	a pull is a kind of force	nongold
8	the lowest gravitational pull is during a quarter moon	nongold
9	as gravitational pull of the moon decreases , the ocean tides will be lower	nongold
10	gravity is a kind of force	nongold
11	tidal means related to tides	nongold
12	a planet is a kind of celestial object; body	nongold
13	as the gravitational pull of the moon on the Earth decreases , the size of the tides on Earth decrease	nongold
14	ocean tides are a kind of phenomenon	nongold
15	as mass of a planet; of a celestial body increases , the force of gravity on that planet will increase	nongold
16	influence means effect	nongold
17	pulling is a kind of motion	nongold
18	gravity causes orbits	nongold
19	the moon is the celestial object that is closest to the  Earth	nongold
20	influence means impact	nongold
21	the mass of a planet causes the pull of gravity on that planet	nongold
22	moons are large; solid; spherical	nongold
23	the moon revolving around; orbiting the Earth causes the phases of the moon	nongold
24	the moon rotates on its axis	nongold
25	the earth has more mass than the moon	nongold
26	the tide is when ocean levels periodically rise; fall	nongold
27	cause is similar to influence	nongold
28	greatest means largest; highest; most amount of something	nongold
29	the Moon is closer to the Earth than the Sun	nongold
30	the gravitational force of a planet; of a celestial object does not change the mass of an object on that planet or celestial body	nongold
31	to change means to have an effect	nongold
32	an increase is a kind of change	nongold
33	as the mass of a planet; of a celestial object decreases , the surface gravity of that planet; of that celestial object weakens	nongold
34	the Moon has less water; air than Earth	nongold
35	if an object escapes the gravitational pull of a planet then that object is no longer affected by the gravitational pull of that planet	nongold
36	moons orbit planets	nongold
37	as distance from an object decreases , the the pull of gravity on that object increases	nongold
38	spring tides occur during a full moon	nongold
39	gravity;gravitational force causes objects that have mass; substances to be pulled down; to fall on a planet	nongold
40	to cause means to have an effect	nongold
41	the moon orbiting the Earth occurs approximately 13 times per year	nongold
42	impact means effect	nongold
43	a planet's  moon is smaller than that planet	nongold
44	spring tides occur during a new moon	nongold
45	the Earth revolves around the sun	nongold
46	a tide is a kind of natural event	nongold
47	high is similar to increase	nongold
48	greater means higher; more in value	nongold
49	the new moon is when the dark half of the moon faces the Earth	nongold
50	gravity pulls objects towards planets	nongold
51	to impact means to affect	nongold
52	a motion is a kind of event; action	nongold
53	a factor impacts something	nongold
54	type of moon; kind of moon means moon phase	nongold
55	as the mass of an object increases , the force of gravity on that object will increase	nongold
56	the moon's orbit is elliptical	nongold
57	a full moon is a kind of phase of the moon	nongold
58	a phase of the moon is a kind of state	nongold
59	the new moon is when the lighted half of the moon faces the Sun	nongold
60	the moon orbiting the Earth occurs once per month	nongold
61	the solar system contains the moon	nongold
62	change is a kind of impact	nongold
63	Earth is made of rock	nongold
64	moons; comets; planets are part of the solar system	nongold
65	the moon reflects sunlight towards the Earth	nongold
66	increase means more	nongold
67	a source of something increases the amount of that something	nongold
68	the moon rising occurs once per day	nongold
69	if something is made by something else then that something is affected by that something else	nongold
70	as the distance from an object increases , the force of gravity on that object will decrease	nongold
71	a revolution of the moon around the Earth takes 1; one month	nongold
72	gravitational fore is a kind of non-contact force	nongold
73	a moon is a kind of satellite	nongold
74	the sun is the strongest source of gravity in the solar system	nongold
75	a new moon is a kind of phase of the moon	nongold
76	each of the moon's phases occurs once per month	nongold
77	a full moon occurs after a waxing gibbous moon	nongold
78	an animal is a kind of living thing	nongold
79	spring tide is similar to high tide	nongold
80	affected means changed	nongold
81	the moon does not contain air; water	nongold
82	a source of something emits; produces; generates; provides that something	nongold
83	different celestial body has different gravity	nongold
84	extreme means very high in value	nongold
85	pull is similar to attract	nongold
86	causing is a kind of affecting	nongold
87	an event is a kind of action	nongold
88	least is the opposite of greatest	nongold
89	a change is a kind of event	nongold
90	an ocean is a kind of body of water	nongold
91	the Sun is a kind of star	nongold
92	lowest means least in value; amount; number	nongold
93	if something emits something else then that something increases the amount of that something else	nongold
94	a decrease is a kind of change	nongold
95	Earth is the planet that is third closest to the  Sun	nongold
96	spring tide is when high tide is at its greatest distance from low tide	nongold
97	a process is a kind of event	nongold
98	the effects of something is a property of that something	nongold
99	a new moon occurs 14 days after a full moon	nongold
