Question	Scientists have categorized trees based on whether they keep or lose their leaves each year. Another logical way to categorize trees is based on the	question
Answer	type of fruit that is produced.	answer
0	to categorize means to classify	gold
1	classifying is when one sorts something by kind; type	gold
2	a type is synonymous with a kind	nongold
3	a type of something is a kind of property of that something	nongold
4	different kinds of trees produce different types of fruit	gold
5	fruit is a part of a plant; tree	nongold
6	fruit is a kind of food	nongold
7	green plants are a kind of producer	nongold
8	a kind of something is classified as that something	nongold
9	a producer is a kind of living thing	nongold
10	plants are the source of fruit	nongold
11	category means kind	nongold
12	classifying means grouping objects; materials by their properties	nongold
13	a producer produces its own food	nongold
14	a tree is a kind of living thing	nongold
15	a source of something emits; produces; generates; provides that something	nongold
16	a tree is a kind of plant	nongold
17	fruit trees are a kind of crop	nongold
18	keeping means staying	nongold
19	a leaf is a kind of plant	nongold
20	a berry is a kind of fruit	nongold
21	a plant is a kind of living thing	nongold
22	fruit contains seeds	nongold
23	products are formed; are produced; are created	nongold
24	a leaf is a part of a tree	nongold
25	classifying is a kind of science process	nongold
26	classify is similar to characterize	nongold
27	a leaf is a part of a  green plant	nongold
28	producing is a kind of process	nongold
29	if something causes an increase in something else then that something produces that something else	nongold
30	a scientist is a kind of human	nongold
31	classifying requires comparing	nongold
32	to keep something occurring means to cause that something to occur	nongold
33	plant reproduction; seed production requires pollination	nongold
34	a fruit is a kind of object	nongold
35	variety means different kinds; different types	nongold
36	nuts are a kind of fruit	nongold
37	an animal is a kind of living thing	nongold
38	some flowers become fruits	nongold
39	a plant is a kind of organism	nongold
40	make means produce	nongold
41	an organism is a living thing	nongold
42	to belong to a class means to be a kind of something	nongold
43	a flower is a part of a plant for attracting pollinators; producing seeds	nongold
44	to belong to a group means to be classified in that group	nongold
45	the type of seed of a plant is an inherited characteristic	nongold
46	producing is similar to causing	nongold
47	a plant; living thing requires food for survival	nongold
48	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
49	each season occurs once per year	nongold
50	plants of the same species have the same type of seed	nongold
51	photosynthesis means producers; green plants convert from carbon dioxide and water and solar energy into carbohydrates and food and oxygen for themselves	nongold
52	years are a kind of unit for measuring time	nongold
53	a flower produces pollen and seeds	nongold
54	an apple is a kind of fruit	nongold
55	flowers are a source of fruit	nongold
56	loss is a kind of change	nongold
57	to classify means to decide what class something belongs to	nongold
58	loss means reduction	nongold
59	annual means once per year	nongold
60	converting is similar to producing	nongold
61	living things can all reproduce	nongold
62	a leaf is a kind of object	nongold
63	a kind of something is an example of that something	nongold
64	according to is similar to be determined by	nongold
65	a living thing is a kind of object	nongold
66	reproduction produces; produce offspring	nongold
67	generate means produce	nongold
68	a gourd is a kind of fruit	nongold
69	to be formed by is similar to being produced by	nongold
70	losing something decreases the amount of that something	nongold
71	grouping means putting; placing in different groups	nongold
72	producer is a kind of role in the food chain process; in an ecosystem	nongold
73	classification is a kind of process	nongold
74	to keep a process or event happening is similar to causing that process or event to happen	nongold
75	emit means produce	nongold
76	if a plant dies then that plant will not produce food	nongold
77	to lose means to have less of	nongold
78	some species of tree are deciduous	nongold
79	pollination requires pollinators; pollinating animals	nongold
80	yearly means every year	nongold
81	all living things grow	nongold
82	In the flowering plant life cycle , fruiting is part of reproduction	nongold
83	a leaf performs photosynthesis; gas exchange	nongold
84	an animal; living thing requires nutrients for survival	nongold
85	keeping is similar to storing	nongold
86	if there is a loss of something then that something decreases	nongold
87	if a plant becomes dormant then that plant will stop producing food	nongold
88	if a living thing requires something then that something has a positive impact on that living thing	nongold
89	a branch is a part of a tree	nongold
90	fruit is  usually a solid	nongold
91	to contribute is similar to produce	nongold
92	to be characterized by  a property means to have that property	nongold
93	In the food chain process a  green plant has the role of  producer	nongold
94	a tree contains wood	nongold
95	reproduction is a kind of process	nongold
96	an animal is a kind of organism	nongold
97	plant requires seed dispersal for reproduction	nongold
98	a plant; living thing requires nutrients to grow	nongold
99	to depend on; to rely on; to need means to require	nongold
