Question	Which is an advantage of using renewable resources?	question
Answer	They will be available for many years.	answer
0	renewable resources are often available for many years	gold
1	advantage has a positive impact on something	gold
2	as the use of a resource decreases , the length of time that resource will be available increases	nongold
3	a renewable resource is a kind of natural resource	nongold
4	to last longer means to be available longer	nongold
5	renewable is the opposite of nonrenewable	nongold
6	resources becoming available has a positive impact on the things that need those resources	gold
7	fossil fuels are a kind of energy resource	nongold
8	renewable resources can be used over again	nongold
9	fossil fuels are a nonrenewable resource	nongold
10	to depend on; to rely on; to need means to require	nongold
11	a fossil fuel is a kind of natural resource	nongold
12	to be used for something means to be required by that something	nongold
13	resources sometimes are used for energy	nongold
14	water is a renewable resource	nongold
15	an adaptation is an advantage	nongold
16	solar energy is a renewable; inexhaustible resource	nongold
17	oil is a kind of fossil fuel	nongold
18	using resources decreases those resources	nongold
19	producing renewable electric energy requires renewable resources	nongold
20	petroleum is a kind of fossil fuel	nongold
21	answering questions requires information	nongold
22	oil is a nonrenewable resource	nongold
23	a renewable resource can be renewed	nongold
24	requiring something means needing that something	nongold
25	the amount of something is similar to the availability of something	nongold
26	consumption means use	nongold
27	to use means to utilize	nongold
28	oil is a kind of energy resource	nongold
29	nonrenewable resources forming occurs over a period of 300000000 years which is considered a  very long time to a human	nongold
30	a source of something emits; produces; generates; provides that something	nongold
31	to a human a time period of 1000 years or more years is considered very long	nongold
32	annual means once per year	nongold
33	an energy source is a kind of resource	nongold
34	an inexhaustible resource is a kind of renewable resource	nongold
35	fossil fuels have high potential energy	nongold
36	increase means more	nongold
37	inexhaustible means always available	nongold
38	as the use of renewable resources use of renewable resources increases , use of nonrenewable resources will decrease	nongold
39	a renewable resource is a kind of naturally replaced resource	nongold
40	a disadvantage is  a negative impact	nongold
41	using renewable resources to generate power reduces greenhouse gases	nongold
42	animals are a renewable resource	nongold
43	years are a kind of unit for measuring time	nongold
44	natural gas is a nonrenewable resource	nongold
45	a nonrenewable resource is limited in supply	nongold
46	using less of a resource increases the availability of that resource	nongold
47	using less of a resource means conserving that resource	nongold
48	high is similar to increase	nongold
49	to provide something means to be the source of that something	nongold
50	renewable resources are replenished more quickly than they are used	nongold
51	if something is a raw material in a process then that something is required for that process	nongold
52	as available resources increases , the population of an organism that uses those resources will increase	nongold
53	help means advantage	nongold
54	a supply of something is a source of that something	nongold
55	yearly means every year	nongold
56	if something is required then that something must be provided	nongold
57	plants are a kind of resource	nongold
58	natural gas is a kind of fossil fuel	nongold
59	tidal energy is a renewable resource	nongold
60	wind is a renewable; inexhaustible resource	nongold
61	soil is a renewable resource for growing plants	nongold
62	many means high in number	nongold
63	green plants are a kind of producer	nongold
64	if a living thing is destroyed then the resources used by that living thing will become available	nongold
65	geothermal energy is a renewable resource	nongold
66	if something is required for a process then that something positively impacts that process	nongold
67	operating an automobile usually requires fossil fuels	nongold
68	the supply of an inexhaustible resource does not change over a long period of time	nongold
69	if something causes a process then that something is required for that process	nongold
70	to be dependent on something means to depend on that something	nongold
71	photosynthesis means producers; green plants convert from carbon dioxide and water and solar energy into carbohydrates and food and oxygen for themselves	nongold
72	vegetable oil is a renewable resource	nongold
73	a source of something increases the amount of that something	nongold
74	if a resource is protected then that resource will be available	nongold
75	oil is a source of energy	nongold
76	a natural resource is a kind of environmental factor	nongold
77	how long something takes is a kind of measurement of time	nongold
78	a producer is a source of energy for consumers	nongold
79	if something requires something else then that something requires a source of that something else	nongold
80	An example of conservation is not using fossil fuel	nongold
81	biomass is a renewable resource	nongold
82	to be required means to be necessary	nongold
83	a positive impact is  a benefit	nongold
84	to make possible means to be required	nongold
85	decades are a kind of unit for measuring time	nongold
86	hydroelectric power is a renewable resource	nongold
87	a required resource being low in availability has a negative impact on the something  that requires that resource	nongold
88	minerals are a nonrenewable resource	nongold
89	nature is the source of natural resources	nongold
90	needing something means depending on that something	nongold
91	alternative fuel is usually a renewable resource	nongold
92	if use of a nonrenewable resources increases then the nonrenewable resource will be depleted	nongold
93	trees are a renewable resource	nongold
94	a renewable resource can be replaced	nongold
95	an increase is the opposite of a decrease	nongold
96	food is a kind of resource	nongold
97	most means over 50% of something	nongold
98	fossil fuel contains chemical energy	nongold
99	metal is a nonrenewable resource	nongold
