Question	A timber company is dividing a 10,000 hectare forest into 5 sections. Which unit is most appropriate to use when showing the area of the divided sections?	question
Answer	square meters	answer
0	a hectare  is 10^4 square meter	gold
1	square meter ( m^2 ) is a metric unit used for measuring area	nongold
2	hectare ( ha ) is a metric unit used for measuring area	gold
3	to split means to divide	nongold
4	a meter is a kind of unit for measuring distance; measuring length	nongold
5	unit is similar to part	nongold
6	meters ( m ) are a  metric; SI unit used for measuring length; distance generally used for values between 1.0 and 1000.0	nongold
7	a forest contains  lots of plants; trees	nongold
8	meters;centimeters;kilometers are used to describe distance; describe length	nongold
9	to split means to break down	nongold
10	timber companies cut down trees	nongold
11	to show means to display	nongold
12	forest is synonymous with wooded area	nongold
13	a forest is a kind of environment	nongold
14	to subdivide is similar to to divide	nongold
15	a forest is a kind of ecosystem	nongold
16	transferring a section of something requires separating the section of something	nongold
17	length is a part of size	nongold
18	woodland means forest	nongold
19	centimeters ( cm ) are a  metric unit used for measuring length; distance generally used for values between 1.0 and 250.0	nongold
20	greatest means largest; highest; most amount of something	nongold
21	a tree contains wood	nongold
22	area; space is a kind of resource	nongold
23	a structure of something is synonymous with a part of that something	nongold
24	to lower means to decrease	nongold
25	vegetation means plants	nongold
26	a whole is formed by its parts	nongold
27	area is similar to location	nongold
28	an environment means an area	nongold
29	image means visual depiction of an object	nongold
30	most means over 50% of something	nongold
31	to reduce means to decrease	nongold
32	to limit means to decrease	nongold
33	a component means a part of	nongold
34	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
35	to demonstrate means to exhibit	nongold
36	a line graph is used for showing change; data over time	nongold
37	largest means greatest in size	nongold
38	a rain forest is a kind of forest	nongold
39	wood is a renewable resource	nongold
40	size; amount of space means volume	nongold
41	a tree is a kind of plant	nongold
42	to group means to separate	nongold
43	to be used for something means to be required by that something	nongold
44	to display means to exhibit	nongold
45	a source of something emits; produces; generates; provides that something	nongold
46	to view means to see	nongold
47	an part of an object is smaller than the entire object	nongold
48	to create means to make	nongold
49	answering questions requires information	nongold
50	classifying means grouping objects; materials by their properties	nongold
51	removing a forest means cutting down a forest	nongold
52	roots are a part of a plant; tree	nongold
53	trees are a renewable resource	nongold
54	clearing a forest means humans cutting down the trees	nongold
55	the parts of something make up that something	nongold
56	to produce means to create	nongold
57	a component of something means a part of that something	nongold
58	trees are a kind of natural resource	nongold
59	to disperse means to separate	nongold
60	an increase is a kind of change	nongold
61	smaller means less; lower in size	nongold
62	composed of means made of	nongold
63	removing a forest means cutting down the trees in that forest	nongold
64	made up of means contains; made of	nongold
65	to show means to present	nongold
66	a tree is a kind of matter	nongold
67	wood is a kind of resource	nongold
68	An example of an environment is a forest; a river; a grassland; an ocean	nongold
69	to be made of means to consist of	nongold
70	cubic meter ( m^3 ) is a metric unit used for measuring volume	nongold
71	low is similar to decrease	nongold
72	can be means able to be	nongold
73	a Punnett square is used to show; identify; calculate the percent chance of a trait being passed down from a parent to its offspring	nongold
74	kilometers ( km ) are a  metric unit used for measuring length; distance generally used for values between 1.0 and 50000000.0	nongold
75	high is similar to increase	nongold
76	to use means to utilize	nongold
77	clearing a forest is similar to deforestation	nongold
78	soil is a part of the ground outside	nongold
79	to report means to show	nongold
80	form means kind	nongold
81	counting something usually requires seeing that something	nongold
82	larger means greater; higher; more; increase in size	nongold
83	to form means to create	nongold
84	thin means small in width	nongold
85	soil is made of solid particles	nongold
86	expand means increase in size	nongold
87	largest amount means most	nongold
88	cutting down a forest means cutting down the trees in that forest	nongold
89	green plants are a kind of producer	nongold
90	an event is a kind of action	nongold
91	creating means making	nongold
92	to make means to form	nongold
93	a type is synonymous with a kind	nongold
94	measuring requires reading a measurement	nongold
95	section is similar to fragment	nongold
96	an object is made of its parts	nongold
97	logging is when humans cut down trees; forests for wood	nongold
98	an increase is the opposite of a decrease	nongold
99	land area means land mass	nongold
