Question	Which of the following would be most useful for calculating the density of a rock sample?	question
Answer	graduated cylinder and balance	answer
0	a balance is used for measuring mass;weight of an object; of a substance	gold
1	a graduated cylinder is used to measure volume of a liquid; of an object	gold
2	a graduated cylinder is a kind of instrument for measuring volume of liquids or objects	gold
3	density is a measure of mass of an object over volume; divided by volume	gold
4	a graduated cylinder is a kind of container	nongold
5	a balance is a kind of instrument for measuring mass; measuring weight	gold
6	a rock is a kind of object	gold
7	sample is similar to small amount of substance; matter	nongold
8	rock is a kind of material	nongold
9	calculation means measurement	nongold
10	useful means able to be used	nongold
11	to measure means to calculate	gold
12	density is a property of an object; a substance and includes ordered values of dense; not dense	nongold
13	useful means good to use	nongold
14	dense means high in density	nongold
15	a rain gauge is a kind of graduated cylinder	nongold
16	if an object has a small volume and large mass , then the object will  have a high density	nongold
17	density is a kind of physical property	nongold
18	a particle is a kind of object	nongold
19	particles in objects are a kind of matter	nongold
20	size; amount of space means volume	nongold
21	unbalanced is the opposite of balanced	nongold
22	mass is a measure of the amount of matter in an object	nongold
23	volume is a property of matter	nongold
24	as the mass of an object increases , the density of that object will increase	nongold
25	calculating is similar to estimating	nongold
26	material means substance	nongold
27	if two substances have the same volume , then the  substance with less density will have less mass	nongold
28	as the volume of an object decreases , the density of that object will increase	nongold
29	a living thing is a kind of object	nongold
30	a surface is a part of a material	nongold
31	a surface is a part of an object	nongold
32	an part of an object is smaller than the entire object	nongold
33	density is an intensive property	nongold
34	a container contains objects; material; substances	nongold
35	substances are made of matter	nongold
36	objects are made of materials; substances; matter	nongold
37	a rock is usually a solid	nongold
38	a container is a kind of object	nongold
39	a liquid is a kind of substance	nongold
40	mass; weight is a property of matter; objects; materials	nongold
41	an instrument is a piece of equipment	nongold
42	high is similar to increase	nongold
43	can be means able to be	nongold
44	the volume of an object can be used to describe  the size of that object	nongold
45	variable means able to change	nongold
46	calculating speed requires knowing distance travelled	nongold
47	Matter in the liquid phase has definite volume	nongold
48	a surface is a kind of object	nongold
49	if a property affects a value then that property is needed to calculate that value	nongold
50	milliliters is a kind of unit for measuring volume of liquids	nongold
51	variability of shape; variability of volume is a property of matter and includes values of variable; definite	nongold
52	to add means to increase	nongold
53	answering questions requires information	nongold
54	a weight is a kind of object	nongold
55	temperature is a measure of heat energy	nongold
56	liquid is a kind of state of matter	nongold
57	a device is a kind of object	nongold
58	increase means more	nongold
59	a tool is a kind of object	nongold
60	matter with variable volume and shape assumes; expands to fill; takes the shape and size of its entire container	nongold
61	Matter in the solid phase has definite volume	nongold
62	a measuring cup is a kind of tool for measuring the volume of substances	nongold
63	denser means more dense	nongold
64	Matter in the gas phase has variable volume	nongold
65	quantity means amount	nongold
66	different substances are different in density	nongold
67	speed is a measure of how fast an object is moving	nongold
68	a type is synonymous with a kind	nongold
69	instrument means tool	nongold
70	a meter is a kind of unit for measuring distance; measuring length	nongold
71	length is a part of size	nongold
72	matter; materials; substances are made of atoms; particles	nongold
73	measuring is used for describing an object	nongold
74	state of matter is a property of matter and includes ordered values of solid; liquid; gas	nongold
75	a ratio is a measure of  one value divided by another value	nongold
76	the function of something is what that something  is used to do	nongold
77	a ratio is a measure of one measure over another measure; divided by another measure	nongold
78	timing; multiplying is a kind of calculating	nongold
79	a component of something means a part of that something	nongold
80	a component means a part of	nongold
81	form means kind	nongold
82	length is a measure of distance from one end of an object to the other end of that object	nongold
83	if an object is made of a material then that object has the properties of that material	nongold
84	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
85	a solid is a kind of substance	nongold
86	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
87	seconds are used to measure time	nongold
88	class is a measure of how a rock is formed	nongold
89	mass is a property of objects; matter	nongold
90	size is a property of objects and includes ordered values of microscopic; tiny; small; medium; large	nongold
91	gases are usually low in density	nongold
92	if an object is placed in a liquid , then the  increased volume of the liquid will be equal to the volume of that object	nongold
93	an increase is a kind of change	nongold
94	a liquid is a kind of fluid	nongold
95	to depend on; to rely on; to need means to require	nongold
96	if two things perform the same function then those two things are similar	nongold
97	seconds are a kind of unit for measuring time	nongold
98	rate is similar to speed	nongold
99	a structure of something is synonymous with a part of that something	nongold
