Question	What takes place as a light wave enters a denser medium?	question
Answer	it is refracted	answer
0	refraction is when light passes from one medium to another medium	gold
1	denser means more dense	nongold
2	take place means happen	nongold
3	if a medium is denser , then the medium will be another medium	gold
4	refraction is a property of light	nongold
5	refraction is when light bends	nongold
6	refraction is when a wave goes through; transmits through; passes through a surface; a material; an object and travels in a different direction relative to the angle of incidence	nongold
7	refraction is a kind of process	nongold
8	light is a kind of wave	gold
9	dense means high in density	nongold
10	refracting sunlight; light causes sunlight; light to split into different colors	nongold
11	light is a kind of electromagnetic radiation	nongold
12	water causes refraction of light	nongold
13	radiation is when electromagnetic waves transfers heat and light energy	nongold
14	light means light energy	nongold
15	if something enters something else then that something is in that something else	nongold
16	density is a property of an object; a substance and includes ordered values of dense; not dense	nongold
17	media; medium means the material something travel through	nongold
18	a wave is a kind of object	nongold
19	to pass means to occur	nongold
20	to pass into means to enter	gold
21	electromagnetic energy travels as electromagnetic waves	nongold
22	denser liquids; particles in liquids; materials settle below liquids or particles in liquids; materials that are less dense	nongold
23	electromagnetic wave is a kind of  wave	nongold
24	events occur at a specific place; at a specific time; with a specific frequency	nongold
25	the ability to refract is a property of waves	nongold
26	waves can travel through matter	nongold
27	sunlight is a kind of light	nongold
28	to happen means to occur	nongold
29	electromagnetic wave is not a mechanical wave	nongold
30	glass; objects made of glass cause refraction of light	nongold
31	electromagnetic radiation means electromagnetic energy	nongold
32	passing through is similar to entering	nongold
33	frequency is a property of a wave; a particel of light; an event	nongold
34	the refraction of seismic wave can be  used to interpret  the interior of structure of earth	nongold
35	light waves travel as transverse waves	nongold
36	radiation is when heat is transferred through waves; particles	nongold
37	particles in objects are a kind of matter	nongold
38	refraction of light can split light into lights of different color	nongold
39	electromagnetic waves can travel through a vacuum and matter	nongold
40	electromagnetic energy is a kind of energy	nongold
41	to undergo is similar to to pass through	nongold
42	light is a kind of energy	nongold
43	light is a kind of energy	nongold
44	to add means to increase	nongold
45	an event is a kind of action	nongold
46	refraction causes something to appear; to look different	nongold
47	material means substance	nongold
48	a process is a kind of event	nongold
49	a motion is a kind of event; action	nongold
50	a part of a process means a stage in a process	nongold
51	a wave is formed by the vibration of the source spreading around from the source	nongold
52	something that happens is a kind of event	nongold
53	answering questions requires information	nongold
54	to place in is similar to to move to	nongold
55	high is similar to increase	nongold
56	a step in a process means a stage in a process	nongold
57	revolving is a kind of motion	nongold
58	a source of something emits; produces; generates; provides that something	nongold
59	increase means more	nongold
60	waves travel outward from the source	nongold
61	form means kind	nongold
62	phase means state	nongold
63	to pass through means to move through	nongold
64	refraction changes the length and the direction of light	nongold
65	revolving is a kind of action	nongold
66	medium is similar to average	nongold
67	UV light is a kind of light	nongold
68	can be means able to be	nongold
69	absorbance is when a wave absorbs at; stops at a surface	nongold
70	all waves transfer; transmit energy from one place to another	nongold
71	objects are made of materials; substances; matter	nongold
72	matter; materials; substances are made of atoms; particles	nongold
73	radiation is a kind of process	nongold
74	a prism refracts light	nongold
75	a component of something means a part of that something	nongold
76	the function of something is what that something  is used to do	nongold
77	a component means a part of	nongold
78	an increase is a kind of change	nongold
79	variable means able to change	nongold
80	a living thing is a kind of object	nongold
81	a cycle happens; occurs repeatedly	nongold
82	less dense liquids; particles in liquids; materials float liquids; particiles in liquids; materials that are more dense	nongold
83	substances are made of matter	nongold
84	sound wave is a kind of wave	nongold
85	emit means produce	nongold
86	speed is  a measure of how fast the wave passes the medium	nongold
87	returning is similar to entering	nongold
88	absorption is a kind of event	nongold
89	state of matter means physical state	nongold
90	to give off means to be the source of	nongold
91	if an event is required for a process then that event must occur before that process can occur	nongold
92	if an object; a substance makes something then that object; that substance is a source of that thing	nongold
93	to be formed by is similar to being produced by	nongold
94	a change is a kind of event	nongold
95	a type is synonymous with a kind	nongold
96	event is similar to occurrence	nongold
97	water is a kind of medium for light	nongold
98	to pass means to travel	nongold
99	a prism is used for refracting light	nongold
