Question	At room temperature, what state of matter is copper?	question
Answer	solid	answer
0	solid is a kind of state of matter	gold
1	state of matter means physical state	nongold
2	physical state means state of matter	nongold
3	phase means state	nongold
4	liquid is a kind of state of matter	nongold
5	temperature is a measure of heat energy	nongold
6	copper is a kind of element	nongold
7	copper is a kind of metal	gold
8	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
9	melting means matter; a substance changes from a solid into a liquid by increasing heat energy	nongold
10	a solid is a kind of substance	nongold
11	copper is a kind of transition metal	nongold
12	gas is a kind of state of matter	nongold
13	a metal is usually a solid at room temperature	gold
14	heat energy can change the state of matter	nongold
15	aluminum is a kind of matter	nongold
16	state means form	nongold
17	heat means heat energy	nongold
18	state of matter is a kind of physical property	nongold
19	state of matter at room temperature is a kind of physical property	nongold
20	state of matter is a property of matter and includes ordered values of solid; liquid; gas	nongold
21	iron is a kind of solid	nongold
22	heating means adding heat	nongold
23	melting is a kind of phase change	nongold
24	matter; materials; substances are made of atoms; particles	nongold
25	substances are made of matter	nongold
26	carbon is a kind of element	nongold
27	melting is when solids are heated above their melting point	nongold
28	an element is a kind of  substance	nongold
29	metal is a kind of substance	nongold
30	boiling is a kind of phase change	nongold
31	a metal is a kind of element	nongold
32	metal is a thermal; thermal energy conductor	nongold
33	water is a kind of liquid at room temperature	nongold
34	copper is always nonmagnetic	nongold
35	materials are made of matter	nongold
36	material means substance	nongold
37	an element is a kind of material	nongold
38	freezing is a kind of phase change	nongold
39	aluminum is a kind of element	nongold
40	a phase change is a kind of physical change	nongold
41	freezing means matter; a substance changes from a liquid into a solid by decreasing heat energy	nongold
42	metal is a kind of material	nongold
43	water is a kind of matter	nongold
44	zinc is a kind of metal	nongold
45	aluminum is a kind of metal	nongold
46	tungsten is a kind of metal	nongold
47	water is in the solid state , called ice , for temperatures between 0; -459; -273 and 273; 32; 0 K; F; C	nongold
48	liquid; solid means nongaseous	nongold
49	formation of a state of matter is a kind of process	nongold
50	particles in objects are a kind of matter	nongold
51	boiling is when liquids are heated above their boiling point	nongold
52	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	nongold
53	iron is a kind of metal	nongold
54	chlorine is a kind of element	nongold
55	answering questions requires information	nongold
56	objects are made of materials; substances; matter	nongold
57	an alkaline earth metal is a kind of element	nongold
58	substances are made of elements	nongold
59	mercury is liquid at room temperature	nongold
60	all elements are a kind of pure substance	nongold
61	if a substance is made of one element , then the substance is called an element	nongold
62	ice is a kind of solid	nongold
63	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
64	sodium is a kind of element	nongold
65	evaporating is a kind of phase change	nongold
66	magnesium is a kind of alkaline earth metal	nongold
67	frozen means solid	nongold
68	chemical change is the opposite of physical change	nongold
69	nonmetal means not metal	nongold
70	elements on the left side of the Periodic Table of Elements are solids at room temperature	nongold
71	sodium is a kind of metal	nongold
72	hydrogen is a kind of element	nongold
73	heat means temperature increases	nongold
74	boiling;evaporation means matter; a substance changes from a liquid into a gas by increasing heat energy	nongold
75	variable means able to change	nongold
76	a component of something means a part of that something	nongold
77	iron is a kind of element	nongold
78	a liquid is a kind of substance	nongold
79	temperature changing can cause phase changes	nongold
80	metal is an  electrical; electrical energy conductor	nongold
81	to turn means to change	nongold
82	to give off means to be the source of	nongold
83	composed of means made of	nongold
84	can be means able to be	nongold
85	potassium is a kind of element	nongold
86	a source of something emits; produces; generates; provides that something	nongold
87	to be made of something means to be formed of that something	nongold
88	a component means a part of	nongold
89	to add means to increase	nongold
90	hydrogen is a kind of gas at room temperature	nongold
91	if an object; a substance makes something then that object; that substance is a source of that thing	nongold
92	oxygen  is a kind of element	nongold
93	brass is made of copper and zinc	nongold
94	a living thing is a kind of object	nongold
95	chemical reactions cause new substances; different substances to form	nongold
96	sulfur is a kind of element	nongold
97	combustion is a kind of chemical change	nongold
98	if something is made of something; a material then that something contains that something; that material	nongold
99	a nonmetal is a kind of element	nongold
