Question	A student mixed baking soda with vinegar and observed that the reaction was endothermic. When is a reaction endothermic?	question
Answer	when it requires heat to make it happen	answer
0	the reaction between baking soda and vinegar is a kind of endothermic reaction	gold
1	an exothermic reaction increases the amount of heat	nongold
2	vinegar is a kind of liquid	nongold
3	baking is when a human makes food by adding heat	nongold
4	baking soda can react chemically with vinegar	nongold
5	melting is a kind of endothermic reaction	nongold
6	an endothermic process usually requires more heat energy from its surroundings than it gives off heat	gold
7	an endothermic reaction converts heat energy into chemical energy	nongold
8	an endothermic reaction absorbs heat energy from its surroundings	nongold
9	combustion is a kind of exothermic reaction	nongold
10	vinegar is a kind of solution of acetic acid and water	nongold
11	an exothermic process releases heat energy; light energy	nongold
12	vinegar is a kind of acid	nongold
13	heat means heat energy	nongold
14	cold pack reaction is a kind of endothermic reaction	nongold
15	temperature is a measure of heat energy	nongold
16	a student is a kind of human	nongold
17	baking soda is a kind of solid	nongold
18	vinegar is acidic	nongold
19	heating means adding heat	nongold
20	An example of a solution is vinegar mixed with water	nongold
21	to happen means to occur	nongold
22	to depend on; to rely on; to need means to require	nongold
23	a hot pack reaction is a kind of exothermic reaction	nongold
24	if an event is required for a process then that event must occur before that process can occur	nongold
25	breaking down fat and sugar is a kind of exothermic reaction	nongold
26	cooking causes a chemical reaction	nongold
27	soda is a kind of carbonated beverage	nongold
28	heat means temperature increases	nongold
29	requiring something means needing that something	nongold
30	freezing is a kind of  exothermic process	nongold
31	if something causes a process then that something is required for that process	nongold
32	nuclear reaction is a kind of exothermic reaction	nongold
33	to cause means to make	nongold
34	to be used for something means to be required by that something	nongold
35	a source of something emits; produces; generates; provides that something	nongold
36	burning coal is a kind of exothermic reaction	nongold
37	baking is similar to cooking	nongold
38	to be required means to be necessary	nongold
39	vinegar can cause harm to the eyes	nongold
40	mixing baking soda; water causes an explosion	nongold
41	photosynthesis is a kind of chemical reaction	nongold
42	to make possible means to be required	nongold
43	if something absorbs; requires more heat than it gives off in an reaction , then something will be cold in temperature	nongold
44	a reaction is a kind of process	nongold
45	a human is a kind of animal	nongold
46	cooking food requires adding heat energy to the food	nongold
47	if an event occurs by adding something then that event requires that something	nongold
48	if something is a raw material in a process then that something is required for that process	nongold
49	methane reacting with oxygen is a kind of exothermic reaction	nongold
50	if an object; a substance makes something then that object; that substance is a source of that thing	nongold
51	a beverage is a kind of food	nongold
52	to cause means to result in	nongold
53	if something requires something else then that something requires a source of that something else	nongold
54	if something is required for a process then that something positively impacts that process	nongold
55	moisture means liquid; liquid water	nongold
56	combining; mixing two substances chemically causes chemical reactions	nongold
57	boiling;evaporation means matter; a substance changes from a liquid into a gas by increasing heat energy	nongold
58	combustion is a kind of exergonic reaction	nongold
59	heat energy is synonymous with thermal energy	nongold
60	hot means high in heat energy; temperature	nongold
61	if a thermal conductor; an object is exposed to a source of heat then that conductor; that object may become hot; warm	nongold
62	must have means require	nongold
63	to give off means to be the source of	nongold
64	adding heat to an object sometimes causes chemical reactions	nongold
65	a beverage is a kind of liquid	nongold
66	chemical reactions cause new substances; different substances to form	nongold
67	an event is a kind of action	nongold
68	adding heat means increasing temperature	nongold
69	an animal is a kind of organism	nongold
70	high is similar to increase	nongold
71	events occur at a specific place; at a specific time; with a specific frequency	nongold
72	chemical change is a kind of chemical reaction	nongold
73	heat is a kind of energy	nongold
74	a physical reaction is a kind of process	nongold
75	a hot substance is a source of heat	nongold
76	a chemical reaction is a kind of process	gold
77	material means substance	nongold
78	increase means more	nongold
79	requiring is similar to needing help	nongold
80	fire is a kind of chemical reaction	nongold
81	a vine is a kind of plant	nongold
82	to cause an event is similar to being involved in that event	nongold
83	human is a kind of organism	nongold
84	to produce means to result in	nongold
85	soft drink means soda	nongold
86	soda water is a kind of carbonated beverage	nongold
87	In a chemical reaction reactants have the role of molecules; substances that chemically combine	nongold
88	to pass means to occur	nongold
89	something that happens is a kind of event	nongold
90	to combust means to catch fire	nongold
91	if a material; a substance is a mixture of two or more materials or substances then that material; substance is made; is formed; contains those materials; substances	nongold
92	humans drink beverages	nongold
93	if a substance is mixed with another substance then those substances will undergo physical change	nongold
94	a process is a kind of event	nongold
95	to keep a process or event happening is similar to causing that process or event to happen	nongold
96	if a living thing requires something then that something has a positive impact on that living thing	nongold
97	a motion is a kind of event; action	nongold
98	to add means to increase	nongold
99	food is a kind of substance	nongold
