Question	All elements found on the left side of the Periodic Table of the Elements have what properties in common?	question
Answer	They are solids at room temperature.	answer
0	elements on the left side of the Periodic Table of Elements are solids at room temperature	gold
1	elements on the right side of the Periodic Table of Elements are gases at room temperature	nongold
2	metals are found on the left side of the periodic table of elements	nongold
3	state of matter at room temperature is a kind of physical property	nongold
4	elements in the same group on the Periodic Table of Elements have similar properties	nongold
5	elements in the same group on the Periodic Table of Elements have similar chemical properties	nongold
6	solid is a kind of state of matter	gold
7	a physical property is a kind of property	nongold
8	state of matter is a kind of physical property	gold
9	to be found in means to be contained in	nongold
10	a metal is usually a solid at room temperature	nongold
11	a solid is a kind of substance	nongold
12	liquid is a kind of state of matter	nongold
13	state of matter means physical state	nongold
14	all elements are a kind of pure substance	nongold
15	physical state means state of matter	nongold
16	state of matter is a property of matter and includes ordered values of solid; liquid; gas	nongold
17	a chemical property is the opposite of a physical property	nongold
18	in common is similar to the same	nongold
19	nitrogen; arsenic; phosphorus; antimony is found in the nitrogen family on the periodic table	nongold
20	matter; materials; substances are made of atoms; particles	nongold
21	the periodic table is systematically organized according to the structure of the atoms of the elements	nongold
22	if something is a part of something then that something can be found in that something	nongold
23	a phase change is a kind of physical change	nongold
24	substances are made of matter	nongold
25	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
26	substances have chemical properties	nongold
27	if something undergoes a physical change then the physical properties of that something will change	nongold
28	different types of matter have different chemical properties	nongold
29	substances are made of elements	nongold
30	elements in the same group on the Periodic Table of Elements have similar chemical reactivity	nongold
31	materials are made of matter	nongold
32	conductivity is a kind of physical property	nongold
33	an  element is a kind of atom	nongold
34	temperature is a measure of heat energy	nongold
35	different materials usually have different properties	nongold
36	if something undergoes physical change then the chemical properties of that something will remain unchanged	nongold
37	an element is a kind of  substance	nongold
38	Matter in the solid phase has definite shape	nongold
39	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
40	heat means heat energy	nongold
41	the majority of the elements on the periodic table are metals	nongold
42	an element is made of one kind of atoms	nongold
43	hydrogen is a kind of gas at room temperature	nongold
44	the Periodic Table is a table displays elements	nongold
45	chemical change is the opposite of physical change	nongold
46	hydrogen is located on the left side; first column on the periodic table	nongold
47	material composition is a kind of chemical property	nongold
48	elements in group 18 on the Periodic Table of Elements have full; complete outer electron shells	nongold
49	the periodic table is arranged in rows and columns	nongold
50	water is a kind of liquid at room temperature	nongold
51	melting is a kind of phase change	nongold
52	similar means in common	nongold
53	noble gases are located on the rightmost side   of the periodic table	nongold
54	if solids are combined physically , then the physical properties of the solids will stay the same	nongold
55	melting is when solids are heated above their melting point	nongold
56	chemical composition is a kind of property	nongold
57	oxygen is a kind of gas at room temperature	nongold
58	a  chemical property is a kind of  property	nongold
59	elements on the left side of the periodic table tends to form ions by losing electrons	nongold
60	if two objects are similar , then the two objects share properties	nongold
61	alkali metals are located on the left side; first column on the periodic table	nongold
62	substances are made of molecules	nongold
63	melting point means temperature at which a solid melts; above which a solid melts	nongold
64	an increase is a kind of change	nongold
65	elements on the right side of the periodic table tends to form ions by gaining electrons	nongold
66	matter is made of molecules	nongold
67	a liquid is a kind of substance	nongold
68	gas is a kind of state of matter	nongold
69	Matter in the liquid phase has variable shape	nongold
70	An example of a chemical property is the elements a compound is made of	nongold
71	an object has properties	nongold
72	mass is a kind of physical property	nongold
73	freezing is a kind of phase change	nongold
74	structure is a property of an object; a material; a substance	nongold
75	atoms are made of particles	nongold
76	lithium; sodium; potassium; rubidium; caesium; francium is located in alkali metals; group 1 on the periodic table	nongold
77	temperature is an intensive property	nongold
78	an element is a kind of material	nongold
79	the Periodic Table of Elements can be used for  predicting; determining the properties of an element	nongold
80	to add means to increase	nongold
81	to be characterized by  a property means to have that property	nongold
82	conductivity is a property of a material; substance	nongold
83	thermal expansion is a property of matter and includes ordered values of high; low	nongold
84	temperature  is a property of air mass and includes ordered values of cold; warm	nongold
85	oxygen; selenium; sulfur; tellurium; polonium is located in group 16; oxygen family on the periodic table	nongold
86	if something is made of something else then that something can be broken down into that something else	nongold
87	heat energy can change the state of matter	nongold
88	classifying means grouping objects; materials by their properties	nongold
89	shape is a kind of physical property	nongold
90	composition is a property of an object; matter	nongold
91	an atom is the smallest particle; unit that has the properties of an element	nongold
92	evaporating is a kind of phase change	nongold
93	combustibility is a property of matter and includes ordered values of combustible; incombustible	nongold
94	elements in noble gases family are gases at room temperature	nongold
95	objects are made of materials; substances; matter	nongold
96	a mixture usually is made of objects with different physical properties	nongold
97	particles in objects are a kind of matter	nongold
98	a group; family in the periodic table means a column in the periodic table	nongold
99	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
