Question	An electrical circuit can be used to break down water into hydrogen and oxygen. In this process, electrical energy produces	question
Answer	chemical changes.	answer
0	a source of something emits; produces; generates; provides that something	nongold
1	generate means produce	nongold
2	An example of a chemical change is electrical energy breaking down a compound	gold
3	water is made of hydrogen and oxygen	gold
4	chemical reactions cause chemical change	nongold
5	a circuit is a kind of electrical component	nongold
6	An example of a chemical change is acid breaking down substances	nongold
7	producing is similar to causing	nongold
8	oxygen  is a kind of element	gold
9	hydrogen is a kind of element	gold
10	chemical energy is a kind of energy	nongold
11	water is a kind of substance	nongold
12	a complete electrical circuit is a source of  electrical energy	nongold
13	chemical change is a kind of chemical reaction	nongold
14	converting is similar to producing	nongold
15	hydrogen contains chemical energy	nongold
16	combustion is a kind of chemical change	nongold
17	to produce means to provide	nongold
18	producing is a kind of process	nongold
19	water contains dissolved oxygen	nongold
20	chemical reactions cause new substances; different substances to form	nongold
21	producing is similar to discharging	nongold
22	producing is similar to releasing	nongold
23	electrical energy is a kind of energy	nongold
24	acid can cause chemical change	nongold
25	emit means produce	nongold
26	electricity means electrical energy	nongold
27	to generate means to form	nongold
28	producing is a kind of function	nongold
29	to produce means to result in	nongold
30	a chemical reaction is a kind of process	nongold
31	an element is a kind of  substance	nongold
32	nitrogen is a kind of element	nongold
33	water is a kind of matter	nongold
34	an electric circuit is a vehicle for moving electrical energy from the source to  the electrical device	nongold
35	if something causes an increase in something else then that something produces that something else	nongold
36	breaking down is a kind of function	nongold
37	nitrogen is a kind of gas	nongold
38	combining; mixing two substances chemically causes chemical reactions	nongold
39	breaking down is a kind of forming	nongold
40	food is a kind of chemical energy	nongold
41	to be formed by is similar to being produced by	nongold
42	hydrogen is a kind of gas at room temperature	nongold
43	change is a kind of process	nongold
44	oxygen is a kind of gas at room temperature	nongold
45	an element is a kind of material	nongold
46	all elements are a kind of pure substance	nongold
47	carbon; hydrogen; nitrogen; oxygen are the most common elements in organic compounds	nongold
48	if something generates energy for something else then that something powers that something else	nongold
49	to produce means to create	nongold
50	water is a kind of compound	gold
51	water is a kind of liquid at room temperature	nongold
52	make means produce	nongold
53	the function of something is what that something  is used to do	nongold
54	to contribute is similar to produce	nongold
55	a hydrocarbon molecule is made of hydrogen and carbon by being chemically combined	nongold
56	to convert means to change	nongold
57	oxygen is a stage in the carbon dioxide-oxygen cycle process	nongold
58	produce is similar to release	nongold
59	substances are made of elements	nongold
60	to split means to break down	nongold
61	compound is a kind of chemical	nongold
62	carbon is a kind of element	nongold
63	a reaction is a kind of process	nongold
64	break down means change from a whole into pieces	nongold
65	can be means able to be	nongold
66	liquid is a kind of state of matter	nongold
67	electrical devices convert from electrical energy; electricity into other forms of energy	nongold
68	to generate means to create	nongold
69	if something is made of something else then that something can be broken down into that something else	nongold
70	if a substance is made of one element , then the substance is called an element	nongold
71	to give off means to be the source of	nongold
72	separate is similar to break down	gold
73	a  gas is a kind of  element	nongold
74	if something causes a process then that something is required for that process	nongold
75	an increase is a kind of change	nongold
76	electricity is used as an energy source by electrical devices	nongold
77	to be used for something means to be required by that something	nongold
78	chlorine is a kind of element	nongold
79	a process is a kind of event	nongold
80	carbon dioxide is a kind of gas	nongold
81	solid is a kind of state of matter	nongold
82	chemical reactions releasing new substances means chemical reactions forming new substances	nongold
83	heat is a kind of energy	nongold
84	combustion means fire converts chemical energy into light energy and heat energy	nongold
85	a liquid is a kind of substance	nongold
86	a compound can be chemically separated into the elements that it is made of	gold
87	gas is a kind of state of matter	nongold
88	chemicals means substances	nongold
89	if something is a raw material in a process then that something is required for that process	nongold
90	a compound is made of two or more elements that have been chemically combined	nongold
91	water is in the gas state , called water vapor; steam , for temperatures between 373; 212; 100 and 100000000000 K; F; C	nongold
92	oxygen is more common than hydrogen on Earth	nongold
93	to break down means to break into smaller pieces	nongold
94	material means substance	nongold
95	fossil fuel contains chemical energy	nongold
96	break down is the opposite of put together	nongold
97	a producer is a kind of living thing	nongold
98	heat energy can change the state of matter	nongold
99	In a chemical reaction reactants have the role of molecules; substances that chemically combine	nongold
