Question	During a sporting event, a referee uses a whistle to alert the teams to start and stop playing. What causes the sound from the referee's whistle to travel in all directions?	question
Answer	vibrations of the air	answer
0	whistle can be  used to alert players by a referee by blowing air in the whistle	gold
1	sound is a kind of air vibration	nongold
2	vibrations are a source of sound	gold
3	sound can travel through air by vibrating air	gold
4	blowing air into a whistle causes air to vibrate inside the whistle	gold
5	vibration is a kind of motion	nongold
6	motion is when moves an object; something to a direction	nongold
7	a vibration is similar to a wave	nongold
8	matter; molecules vibrating can cause sound	nongold
9	air is a kind of gas	nongold
10	air is a kind of matter	nongold
11	sound requires matter to travel	nongold
12	moving is similar to travelling	nongold
13	air is a vehicle for sound	nongold
14	sound energy is transferred by vibrational waves	nongold
15	sound means sound energy	nongold
16	vibrating matter can produce sound	nongold
17	toward is a kind of direction	nongold
18	sound waves spread in all directions away from their source	gold
19	the air is a kind of substance	nongold
20	distance moved; distance travelled is a measure of how far an object moves	nongold
21	down is a kind of direction	nongold
22	a force continually acting on an object in the same direction that the object is moving can cause that object's speed to increase in a forward motion	nongold
23	when mechanical  energy is transferred to the air , then the air will start to vibrate	nongold
24	a motion is a kind of event; action	nongold
25	noise means sound	nongold
26	a hum is a kind of sound	nongold
27	downward is a kind of direction	nongold
28	a wave is formed by the vibration of the source spreading around from the source	nongold
29	where something  comes from is a source of that something	nongold
30	train whistle is a source of sound	nongold
31	musical instruments make sound when they are played	nongold
32	travel means to move	nongold
33	sound is a kind of sound energy	nongold
34	an event is a kind of action	nongold
35	a velocity is a measure of a speed in a direction	nongold
36	the type of material through which sound passes changes the speed  at which sound travels	nongold
37	sound travels slowest through gas	nongold
38	gas is a kind of object	nongold
39	dropping an object into water causes vibrations in the water	nongold
40	sound waves means sound energy	nongold
41	sensing a warning means receiving a warning	nongold
42	a source of something emits; produces; generates; provides that something	nongold
43	if something comes from something else then that something else is a source of that something	nongold
44	transport means to move; to make travel	nongold
45	when two objects are touched; are contacted; move against each other , sound is produced	nongold
46	sound wave is similar to sound	nongold
47	tossing  a ball in the air cannot form a source of vibration	nongold
48	speed is a measure of distance travelled by an object over time; divided by time; per unit of time	nongold
49	a force acting on an object in the opposite direction that the object is moving can cause that object's speed to decrease in a forward motion	nongold
50	instrument means tool	nongold
51	wave motion is transferred from the source to matter to produce sound	nongold
52	motion; movement means moving; to move	nongold
53	a musical instrument is a kind of object	nongold
54	stop means not move	nongold
55	upward is a kind of direction	nongold
56	playing music causes sound to be produced	nongold
57	an instrument is a piece of equipment	nongold
58	objects are made of materials; substances; matter	nongold
59	waves travel outward from the source	nongold
60	an object; material; substance comes from that object or material's source	nongold
61	a wave is a kind of object	nongold
62	sound is a kind of energy	nongold
63	air is a part of the environment	nongold
64	an object acting against a force can cause that object to move in the opposite direction	nongold
65	gas is a kind of state of matter	nongold
66	sound wave is a kind of wave	nongold
67	loud means high in sound energy;sound intensity	nongold
68	a moving object continues to move in the same direction at constant speed unless additional forces are applied	nongold
69	south; southward is a kind of direction	nongold
70	hearing is used for sensing sound by animals	nongold
71	stop; stopped means zero; 0; no speed	nongold
72	sound wave is a kind of mechanical wave	nongold
73	an increase is a kind of change	nongold
74	sound is produced when mechanical energy is transformed into sound energy	nongold
75	speaker converts electrical energy; electricity into vibrations; sound energy	nongold
76	an animal is a kind of living thing	nongold
77	to give off means to be the source of	nongold
78	sound travels fastest through solid	nongold
79	a human is a kind of animal	nongold
80	oscillation means physical vibration	nongold
81	if something is made by something else then that something is affected by that something else	nongold
82	gas is a kind of substance	nongold
83	waves can travel through matter	nongold
84	instrument means device	nongold
85	molecules; atoms are constantly; always moving; vibrating in substance;matter	nongold
86	events occur at a specific place; at a specific time; with a specific frequency	nongold
87	pulling is a kind of motion	nongold
88	a bell ringing is a source of sound	nongold
89	a tool is a kind of object	nongold
90	An example of mechanical energy is an object in motion	nongold
91	an echo is a kind of sound	nongold
92	the function of something is what that something  is used to do	nongold
93	north; northward is a kind of direction	nongold
94	absorbing energy causes objects; materials; substances to heat	nongold
95	a living thing is a kind of object	nongold
96	warning  people of something requires knowing about; predicting that something	nongold
97	force causes the speed of an object to increase; to decrease	nongold
98	the atmosphere is a kind of area	nongold
99	a surface is a part of an object	nongold
