Question	Which layer of the atmosphere contains the greatest amount of water vapor?	question
Answer	troposphere	answer
0	troposphere contains almost all the water vapor	gold
1	troposphere has the greatest density among the layers in the atmosphere	nongold
2	troposphere contains 75% the gases	nongold
3	troposphere is a lower layer of Earth's atmosphere	gold
4	greatest means largest; highest; most amount of something	nongold
5	thermosphere is a  layer of Earth's atmosphere	nongold
6	water vapor is found in the atmosphere	nongold
7	lithosphere is a  layer of the Earth	nongold
8	the atmosphere contains gases; liquids; solids	nongold
9	vapor is synonymous with gas	nongold
10	furthest; farthest means greatest; most; highest in distance	nongold
11	water is in the gas state , called water vapor; steam , for temperatures between 373; 212; 100 and 100000000000 K; F; C	nongold
12	the Earth's atmosphere is made of 0 to 4 percent hydrogen; water vapor by volume	nongold
13	asthenosphere is a layer of the Earth	nongold
14	if something absorbs something else then that something will contain that something else	nongold
15	concentration means amount	nongold
16	a layer of the atmosphere is similar to a region of the atmosphere	nongold
17	less is similar to decrease	nongold
18	water is a kind of substance	nongold
19	atmospheric means of the atmosphere	nongold
20	water is a kind of liquid at room temperature	nongold
21	atmosphere means  air	nongold
22	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
23	least is the opposite of greatest	nongold
24	if something is a part of something else then that something else contains that something	nongold
25	largest means greatest in size	nongold
26	made of is similar to contains	nongold
27	gas is a kind of substance	nongold
28	high is similar to increase	nongold
29	if something is made of something; a material then that something contains that something; that material	nongold
30	Earth's atmosphere has different layers	nongold
31	a liquid is a kind of substance	nongold
32	made up of means contains; made of	nongold
33	largest amount means most	nongold
34	water vapor is the largest amount of greenhouse gas in the atmosphere	nongold
35	contains means located in	nongold
36	if something does not contain something else then that something lacks that something else	nongold
37	an increase is the opposite of a decrease	nongold
38	most means over 50% of something	nongold
39	if something is a source of something else then that something usually contains that something else	nongold
40	An example of moisture is water vapor in the atmosphere	nongold
41	to contain something means to have that something	nongold
42	less means a reduced amount	nongold
43	humidity is the amount of water vapor; moisture in the air; in the atmosphere	nongold
44	the lithosphere is a kind of subsystem of Earth	nongold
45	water contains dissolved oxygen	nongold
46	the Earth's atmosphere is made of .036 percent carbon dioxide by volume	nongold
47	water vapor;steam cooling causes that water vapor;steam to condense	nongold
48	the Earth's atmosphere is made of 23.133 percent oxygen by mass	nongold
49	quantity means amount	nongold
50	all planets do not contain water; ice; (steam, water vapor)	nongold
51	weather  usually happens in troposphere	nongold
52	lithosphere is located on the surface of the earth	nongold
53	carbon dioxide is a kind of gas	nongold
54	to be found in means to be contained in	nongold
55	asthenosphere is the  layer that is closest to the surface of the earth	nongold
56	Earth contains water; ice; (steam, water vapor)	nongold
57	to lower means to decrease	nongold
58	low is similar to decrease	nongold
59	gases are usually low in density	nongold
60	if something emits something else then that something increases the amount of that something else	nongold
61	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	nongold
62	gaseous means of gas	nongold
63	to be made of means to consist of	nongold
64	absorbing something from the air decreases the  amount of  that something in the air	nongold
65	contain is similar to store	nongold
66	a source of something increases the amount of that something	nongold
67	as altitude increases , the temperature of the air will decrease in the troposphere	nongold
68	air is a kind of gas	nongold
69	a  gas is a kind of  element	nongold
70	oceans are the source of most of water vapor in the atmosphere	nongold
71	to add means to increase	nongold
72	condensation is when matter; a substance changes from a gas into a liquid by decreasing heat energy	nongold
73	a solid is a kind of substance	nongold
74	moist air mass contains a high amount of water vapor	nongold
75	less is the opposite of more	nongold
76	greater means higher; more in value	nongold
77	all elements are a kind of pure substance	nongold
78	thermosphere contains high-energy particles	nongold
79	carbon dioxide can be found in the air	nongold
80	increase means more	nongold
81	as atmospheric temperature increases , the amount of water vapor able to be held by the atmosphere will increase	nongold
82	temperature is a measure of heat energy	nongold
83	humidity is a kind of water vapor	nongold
84	to contain means to have inside	nongold
85	if something is dissolved , then that something is the solute	nongold
86	can be means able to be	nongold
87	a decrease is a kind of change	nongold
88	if something comes from something else then that something else is a source of that something	nongold
89	a source of something emits; produces; generates; provides that something	nongold
90	water vapor is a kind of greenhouse gas	nongold
91	highest means largest; greatest; most in height	nongold
92	oxygen is a kind of gas at room temperature	nongold
93	an increase is a kind of change	nongold
94	if something transfers something else then that something is a source of something else	nongold
95	extreme means very high in value	nongold
96	to be filled with means to contain	nongold
97	a solid is more dense than a gas	nongold
98	steam;water vapor is a kind of water above 100 degrees celsius	nongold
99	to reduce means to decrease	nongold
