Question	Which gas accounts for the largest percentage of greenhouse gases in the atmosphere?	question
Answer	water vapor	answer
0	water vapor is the largest amount of greenhouse gas in the atmosphere	gold
1	greatest means largest; highest; most amount of something	nongold
2	water vapor is a kind of greenhouse gas	gold
3	largest amount means most	nongold
4	greenhouse gases are a part of the atmosphere	nongold
5	carbon dioxide is a kind of greenhouse gas	nongold
6	water vapor is found in the atmosphere	nongold
7	the majority of is similar to largest	nongold
8	largest means greatest in size	nongold
9	water is in the gas state , called water vapor; steam , for temperatures between 373; 212; 100 and 100000000000 K; F; C	nongold
10	vapor is synonymous with gas	nongold
11	accounting for means making up some amount	gold
12	water is a kind of substance	nongold
13	greenhouse gases heat the atmosphere by absorbing infrared radiation released by Earth	nongold
14	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
15	most means over 50% of something	nongold
16	the greenhouse effect is when carbon in the air heats a planet's atmosphere	nongold
17	carbon dioxide is a kind of gas	nongold
18	furthest; farthest means greatest; most; highest in distance	nongold
19	a greenhouse converts sunlight from radiation into thermal energy	nongold
20	the Earth's atmosphere is made of .036 percent carbon dioxide by volume	nongold
21	temperature is a measure of heat energy	nongold
22	water is a part of an environment	nongold
23	highest means largest; greatest; most in height	nongold
24	the Earth's atmosphere is made of 0 to 4 percent hydrogen; water vapor by volume	gold
25	greenhouse gases building up can cause global warming	nongold
26	gas is a kind of substance	nongold
27	releasing something into the atmosphere increases the amount of that something in the atmosphere	nongold
28	water is a kind of liquid at room temperature	nongold
29	the atmosphere is a part of nature; the environment	nongold
30	atmospheric means of the atmosphere	nongold
31	high is similar to increase	nongold
32	gases released during the use of fossil fuels causes global warming	nongold
33	atmosphere means  air	nongold
34	to add means to increase	nongold
35	greater means higher; more in value	nongold
36	percents; ratios are a kind of data	nongold
37	water is a kind of matter	nongold
38	higher means greater; above in value; amount; number	nongold
39	as atmospheric temperature increases , the amount of water vapor able to be held by the atmosphere will increase	nongold
40	an increase is the opposite of a decrease	nongold
41	chemical reactions can cause gas to be released into the atmosphere	nongold
42	carbon dioxide can be found in the air	nongold
43	automobiles; industrialization are a source of carbon dioxide	nongold
44	to lower means to decrease	nongold
45	less is similar to decrease	nongold
46	water is a kind of object	nongold
47	a lot means large in amount; quantity	nongold
48	lowest means least in value; amount; number	nongold
49	An example of moisture is water vapor in the atmosphere	nongold
50	extreme means very high in value	nongold
51	one in  two means half; 50%	nongold
52	worldwide temperature means atmospheric temperature	nongold
53	air is a kind of gas	nongold
54	oceans are the source of most of water vapor in the atmosphere	nongold
55	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	nongold
56	an increase is a kind of change	nongold
57	heat means heat energy	nongold
58	the atmosphere contains gases; liquids; solids	nongold
59	quantity means amount	nongold
60	a source of something emits; produces; generates; provides that something	nongold
61	to be formed by is similar to being produced by	nongold
62	increase means more	nongold
63	rain is a kind of water	nongold
64	rainwater is a kind of water	nongold
65	the emission of something is when something is added into the atmosphere	nongold
66	fossil fuels release carbon dioxide into the atmosphere	nongold
67	if something emits something else then that something increases the amount of that something else	nongold
68	air temperature is a kind of temperature	nongold
69	breath contains water vapor	nongold
70	low is similar to decrease	nongold
71	gaseous means of gas	nongold
72	to emit means to release	nongold
73	water contains dissolved oxygen	nongold
74	concentration means amount	nongold
75	mostly means being the most	nongold
76	to give off means to be the source of	nongold
77	a greenhouse is a kind of shelter for plants	nongold
78	less means a reduced amount	nongold
79	to reduce means to decrease	nongold
80	a decrease is a kind of change	nongold
81	smaller means less; lower in size	nongold
82	air is a part of the environment	nongold
83	to cause means to make	nongold
84	water vapor has an impact on weather conditions associated with an air mass	nongold
85	humidity is the amount of water vapor; moisture in the air; in the atmosphere	nongold
86	a source of something increases the amount of that something	nongold
87	answering questions requires information	nongold
88	as the amount of carbon dioxide in the atmosphere increases , the temperature of the planet; the atmosphere will increase	nongold
89	a greenhouse is used to protect plants from the cold	nongold
90	if something causes a process then that something is required for that process	nongold
91	water vapor;steam cooling causes that water vapor;steam to condense	nongold
92	shortest means least; smallest in length	nongold
93	gas is a kind of object	nongold
94	steam;water vapor is a kind of water above 100 degrees celsius	nongold
95	humidity is a kind of water vapor	nongold
96	to exhale means to release	nongold
97	heat energy is synonymous with thermal energy	nongold
98	affected means changed	nongold
99	Earth contains water; ice; (steam, water vapor)	nongold
