Question	Which of the following elements is the least electrically conductive?	question
Answer	argon	answer
0	argon is a kind of element	gold
1	argon is a kind of gas	gold
2	the  chemical symbol for argon is Ar	nongold
3	helium; neon; argon; krypton; xenon; radon is located in noble gases family; group 18 on the periodic table	nongold
4	lowest means least in value; amount; number	nongold
5	less is the opposite of more	nongold
6	metals usually have greater; higher conductivity than nonmetals	gold
7	an element is a kind of  substance	nongold
8	least is the opposite of most	nongold
9	substances are made of elements	nongold
10	conductivity is a property of a material; substance	nongold
11	an element is a kind of material	nongold
12	chlorine is a kind of element	nongold
13	tungsten is a kind of metal	gold
14	chromium is a kind of metal	nongold
15	an alkaline earth metal is a kind of element	nongold
16	sodium is a kind of metal	gold
17	less is similar to decrease	nongold
18	a metal is a kind of element	nongold
19	metal is a kind of material	nongold
20	a halogen is a kind of element	nongold
21	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
22	all elements are a kind of pure substance	nongold
23	sodium is a kind of element	nongold
24	metal is a kind of substance	nongold
25	least is the opposite of greatest	gold
26	lower means less	nongold
27	fewer means lower; less in number	nongold
28	carbon is a kind of element	nongold
29	alkaline earth metals are highly reactive	nongold
30	conductivity is a kind of physical property	nongold
31	lithium; sodium; potassium; rubidium; caesium; francium is located in alkali metals; group 1 on the periodic table	nongold
32	magnesium is a kind of alkaline earth metal	nongold
33	a nonmetal is a kind of element	nongold
34	substances have chemical properties	nongold
35	material means substance	nongold
36	potassium is a kind of element	nongold
37	gas is a kind of nonmetal	gold
38	an element is not an alloy	nongold
39	nonmetal means not metal	nongold
40	a metal is usually a solid at room temperature	nongold
41	the Earth's atmosphere is made of 1.288 percent argon by mass	nongold
42	a compound is a kind of material	nongold
43	if a substance is made of one element , then the substance is called an element	nongold
44	less means a reduced amount	nongold
45	fluorine is not a metal	nongold
46	metal is a thermal; thermal energy conductor	nongold
47	chromium is always nonmagnetic	nongold
48	antimony is a kind of metalloid	nongold
49	fewest means lowest; least in number	nongold
50	manganese is a kind of metal	nongold
51	compound is a kind of chemical	nongold
52	lack is similar to low; little	nongold
53	metal is an  electrical; electrical energy conductor	nongold
54	low is similar to decrease	nongold
55	propane;C_{3}H_{8} is a kind of gas at room temperature	nongold
56	hydrogen is a kind of element	nongold
57	hydrogen chloride is made of hydrogen and chlorine	nongold
58	helium is a kind of element	nongold
59	nitrogen; arsenic; phosphorus; antimony is found in the nitrogen family on the periodic table	nongold
60	sodium chloride is always made of chemically combined chlorine and sodium	nongold
61	Calcium; Beryllium; Strontium; Radium; Barium; Magnesium is located in alkaline earth metal family; group 2 on the periodic table	nongold
62	charge is a property of an object; a material; a substance and includes ordered values of negatively-charged; neutral; positively-charged	nongold
63	an atom is the smallest particle; unit that has the properties of an element	nongold
64	Beryllium is located in alkaline earth metal family; group 2 on the periodic table	nongold
65	acidic means low; 0 to 6 in pH	nongold
66	nitrogen is a kind of element	nongold
67	a compound is a kind of substance	nongold
68	An example of a chemical property is the elements a compound is made of	nongold
69	noble gases elements; elements in group 18 on the periodic table usually are the most chemically unreactive	nongold
70	chlorine is a kind of green, poisonous gas	nongold
71	Fluorine(F); Chlorine(Cl); Bromine(Br); Iodine(I); Astatine(At) is located in halogens family; group 17 on the periodic table	nongold
72	the chemical symbol for tellurium is Te	nongold
73	rubber is a kind of nonmetal	nongold
74	the chemical symbol for antimony is Sb	nongold
75	an  element is a kind of atom	nongold
76	electrical conduction is when metals; electrical conductors conduct electricity through a wire;electrical conductor;metal	nongold
77	iron is a kind of element	nongold
78	a chemical compound is a kind of compound	nongold
79	an increase is the opposite of a decrease	nongold
80	chemical reactivity is a property of elements and includes ordered values of reactive; unreactive	nongold
81	an element is made of one kind of atoms	nongold
82	materials are made of matter	nongold
83	a solid is a kind of substance	nongold
84	metals are made of metal	nongold
85	substances are made of matter	nongold
86	sodium carbonate is a kind of  compound	nongold
87	salt is a kind of solid	nongold
88	sodium bicarbonate is a kind of compound	nongold
89	weak means low in strength	nongold
90	to lower means to decrease	nongold
91	nonmetal means nonmetals	gold
92	an atom is made of protons; neutrons; electrons	nongold
93	salt is always nonmagnetic	nongold
94	alkaline earth metal elements have two valence electrons	nongold
95	nonconductor is similar to insulator	nongold
96	not is similar to the opposite of	nongold
97	gas is a kind of material	nongold
98	matter; materials; substances are made of atoms; particles	nongold
99	an atom is a kind of object	nongold
