Question	A sample in a cylindrical container has a cylindrical shape and a fixed volume. The state of matter of the sample	question
Answer	could be either solid or liquid.	answer
0	solid is a kind of state of matter	gold
1	Matter in the liquid phase has variable shape	gold
2	matter with variable volume and shape assumes; expands to fill; takes the shape and size of its entire container	nongold
3	liquid is a kind of state of matter	gold
4	Matter in the solid phase has definite shape	gold
5	Matter in the gas phase has variable shape	nongold
6	volume is a property of matter	nongold
7	state of matter means physical state	nongold
8	matter with variable shape changes shape in different container	nongold
9	physical state means state of matter	nongold
10	shape is a kind of physical property	nongold
11	a solid is a kind of substance	nongold
12	Matter in the liquid phase has definite volume	gold
13	Matter in the solid phase has definite volume	gold
14	state of matter is a kind of physical property	nongold
15	shape is a property of an object	nongold
16	a container is a kind of object	nongold
17	state of matter is a property of matter and includes ordered values of solid; liquid; gas	nongold
18	a liquid is a kind of substance	nongold
19	state of matter at room temperature is a kind of physical property	nongold
20	a container contains objects; material; substances	nongold
21	sample is similar to small amount of substance; matter	nongold
22	substances are made of matter	nongold
23	Matter in the gas phase has variable volume	nongold
24	objects are made of materials; substances; matter	nongold
25	shape of the parts of something is a property of that something	nongold
26	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
27	temperature is a measure of heat energy	nongold
28	density is a measure of mass of an object over volume; divided by volume	nongold
29	heat energy can change the state of matter	nongold
30	both means two	nongold
31	different containers usually are different in shape	nongold
32	materials are made of matter	nongold
33	state means form	nongold
34	contents means the substance in a container	nongold
35	water is a kind of matter	nongold
36	round means circular in shape	nongold
37	structure is similar to shape	nongold
38	if an object has a small volume and large mass , then the object will  have a high density	nongold
39	variable means able to change	nongold
40	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	nongold
41	to add means to increase	nongold
42	matter; materials; substances are made of atoms; particles	nongold
43	material means substance	nongold
44	heat means heat energy	nongold
45	matter is made of molecules	nongold
46	mass is a measure of the amount of matter in an object	nongold
47	if something has a definite volume , then its volume will not change when transferred into a different container	nongold
48	can be means able to be	nongold
49	rod is cylindrical in shape	nongold
50	mass is a property of objects; matter	nongold
51	particles in objects are a kind of matter	nongold
52	the volume of an object can be used to describe  the size of that object	nongold
53	fixed is similar to definite	gold
54	phase means state	nongold
55	variability of shape; variability of volume is a property of matter and includes values of variable; definite	nongold
56	when a flexible container is filled with a substance , then the volume of the container will be the volume of the substance	nongold
57	as state of matter changes , mass will not change	nongold
58	volume has no impact on boiling; melting; freezing point	nongold
59	if something is definite in shape then that something will not change shape easily	nongold
60	a physical property is a kind of property	nongold
61	shape is a property of the appearance of an object	nongold
62	water is a kind of liquid at room temperature	nongold
63	melting means matter; a substance changes from a solid into a liquid by increasing heat energy	nongold
64	gas is a kind of state of matter	nongold
65	mass; weight is a property of matter; objects; materials	nongold
66	elliptical is a kind of shape	nongold
67	elliptical is a kind of shape	nongold
68	if an object is made of a material then that object has the properties of that material	nongold
69	freezing means matter; a substance changes from a liquid into a solid by decreasing heat energy	nongold
70	a source of something emits; produces; generates; provides that something	nongold
71	density is a kind of physical property	nongold
72	affected means changed	nongold
73	compressibility is a property of  matter and includes ordered values of compressible; not compressible	nongold
74	an increase is a kind of change	nongold
75	condensing means matter; a substance changes from a gas into a liquid by decreasing heat energy	nongold
76	surface area is a property of shape	nongold
77	temperature changing can cause volume of the object to change	nongold
78	heating means adding heat	nongold
79	density is a property of an object; a substance and includes ordered values of dense; not dense	nongold
80	boiling;evaporation means matter; a substance changes from a liquid into a gas by increasing heat energy	nongold
81	condensing is a kind of  phase change	nongold
82	a chemical property is the opposite of a physical property	nongold
83	form means kind	nongold
84	size; amount of space means volume	nongold
85	moisture means liquid; liquid water	nongold
86	a human is a kind of animal	nongold
87	if a container contains something then that container touches that something	nongold
88	not is similar to the opposite of	nongold
89	sublimation means matter; a substance changes from a solid into a gas by increasing heat energy	nongold
90	breaking down an object changes that object's shape and that object's mass	nongold
91	combustibility is a property of matter and includes ordered values of combustible; incombustible	nongold
92	circular means having the shape of a circle	nongold
93	as the shape of an object changes , the mass of that object will stay the same	nongold
94	placing an object into a liquid causes the volume of the liquid to increase by the volume of object under the liquid	nongold
95	mass is a kind of physical property	nongold
96	high is similar to increase	nongold
97	different types of matter have different chemical properties	nongold
98	composition is a property of an object; matter	nongold
99	a particle is a kind of object	nongold
