Question	A salvage yard contains a mixture of iron, glass, aluminum, and plastic. Which property of iron does the salvage yard take advantage of when separating the iron from the rest of the materials?	question
Answer	magnetic	answer
0	magnet can be  used for separating a magnetic material from a mixture of a magnetic and nonmagnetic material	gold
1	magnetic separation is using a magnet to attract magnetic material from the mixture of magnetic and nonmagnetic material	nongold
2	steel; carbon steel is always ferromagnetic; magnetic	nongold
3	a magnet attracts magnetic metals; ferromagnetic metals through magnetism	nongold
4	a magnet is often made of magnetic metals; ferromagnetic metals	nongold
5	glass is a kind of material	nongold
6	iron is always magnetic	nongold
7	aluminum is a kind of metal	nongold
8	soft iron; iron is always ferromagnetic; magnetic	gold
9	metal is sometimes magnetic	nongold
10	structure is a property of an object; a material; a substance	nongold
11	a mixture is a kind of substance	nongold
12	iron is a kind of metal	nongold
13	magnetism is a property of materials; objects and includes ordered values of nonmagnetic; magnetic	gold
14	if a material; a substance is a mixture of two or more materials or substances then that material; substance is made; is formed; contains those materials; substances	nongold
15	metal is a kind of material	nongold
16	aluminum is always nonmagnetic	gold
17	glass is always nonmagnetic	gold
18	plastic is always nonmagnetic	gold
19	a magnet will not attract nonmagnetic metals; nonmagnetic materials	nongold
20	glass is a kind of object	nongold
21	a type of something is a kind of property of that something	nongold
22	if something contains a large amount of magnetic material then that something will attract magnets	nongold
23	advantage has a positive impact on something	nongold
24	a magnet is a kind of object	nongold
25	steel is a kind of metal	nongold
26	metal is a kind of substance	nongold
27	metals are made of metal	nongold
28	plastic is a kind of material made by humans	nongold
29	aluminum is a kind of element	nongold
30	if an object is made of a material then that object has the properties of that material	nongold
31	what something is made of is a property of the organization or that something	nongold
32	an mixture is formed by two or more substances combined together physically	nongold
33	transferring a section of something requires separating the section of something	nongold
34	help means advantage	nongold
35	magnetic force means magnetism	nongold
36	if two substances together form a mixture then those substances can be separated from one another by physical changes	nongold
37	decomposing is similar to separating	nongold
38	plastic is high in strength	nongold
39	an object has properties	nongold
40	to disperse means to separate	nongold
41	to be used for something means to be required by that something	nongold
42	what something needs is a property of that something	nongold
43	a mixture of solids can be easily separated	nongold
44	if something is made of something; a material then that something contains that something; that material	nongold
45	plastic is a nonrenewable resource	nongold
46	glass is a kind of product	nongold
47	mass; weight is an extensive property	nongold
48	recyclability is a property of a material and includes ordered values of nonrecyclable; recyclable	nongold
49	rocks sometimes contain aluminum	nongold
50	material means substance	nongold
51	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
52	metal is a kind of natural resource	nongold
53	glass is a kind of open container	nongold
54	a mixture usually is made of objects with different physical properties	nongold
55	iron is a kind of element	nongold
56	to contain something means to have that something	nongold
57	iron is a kind of solid	nongold
58	magnetic attraction pulls two objects together	nongold
59	aluminum is a kind of matter	nongold
60	a property of something is a feature of that something	nongold
61	Magnetite is always magnetic	nongold
62	an element is a kind of material	nongold
63	stainless steel is always magnetic; nonmagnetic	nongold
64	substances are made of elements	nongold
65	Siderite is always magnetic	nongold
66	the effects of something is a property of that something	nongold
67	if something is insoluble in something , then they will remain separated	nongold
68	if something is a part of something else then that something else contains that something	nongold
69	alloy is a kind of mixture	nongold
70	made of is similar to contains	nongold
71	aluminum is a nonrenewable resource	nongold
72	contains means located in	nongold
73	electric currents produce magnetic fields	nongold
74	to contain means to have inside	nongold
75	including means containing	nongold
76	all elements are a kind of pure substance	nongold
77	ceramic is a kind of material	nongold
78	taking is the opposite of giving; leaving	nongold
79	pulling away is similar to separating	nongold
80	a material is a kind of resource	nongold
81	glass is made of sand	nongold
82	aluminum is recyclable	nongold
83	a piece of something is a kind of object	nongold
84	a type is synonymous with a kind	nongold
85	to help; to benefit means to be of use	nongold
86	glass is a kind of solid at room temperature	nongold
87	a metal is a kind of element	nongold
88	plastic is recyclable	nongold
89	ferrous metals contain iron	nongold
90	if something causes a process then that something is required for that process	nongold
91	to decompose means to separate	nongold
92	high is similar to increase	nongold
93	lead is always nonmagnetic	nongold
94	an object is made of its parts	nongold
95	taking in something means receiving; absorbing; getting something	nongold
96	an object; material; substance comes from that object or material's source	nongold
97	a container contains objects; material; substances	nongold
98	a solution is a kind of mixture	nongold
99	a structure of something is synonymous with a part of that something	nongold
