Question	When a guitar string is plucked, sound is produced by	question
Answer	the vibrations of the string.	answer
0	a string is a part of a guitar for producing sound	gold
1	a source of something emits; produces; generates; provides that something	nongold
2	a guitar is a kind of musical instrument	nongold
3	vibrations are a source of sound	nongold
4	vibrating matter can produce sound	gold
5	plucking; strumming a string can cause that string to vibrate	gold
6	vibration is a kind of motion	nongold
7	when two objects are touched; are contacted; move against each other , sound is produced	nongold
8	generate means produce	nongold
9	a string is a kind of object	gold
10	musical instruments make sound when they are played	nongold
11	playing music causes sound to be produced	nongold
12	producing is similar to causing	nongold
13	a vibration is similar to a wave	nongold
14	sound means sound energy	nongold
15	a musical instrument is a kind of object	nongold
16	a hum is a kind of sound	nongold
17	emit means produce	nongold
18	matter; molecules vibrating can cause sound	gold
19	as a string of a musical instrument is plucked harder , the string will vibrate harder; faster	nongold
20	to be formed by is similar to being produced by	nongold
21	noise means sound	nongold
22	a violin is a kind of musical instrument	nongold
23	as a string of a musical instrument is plucked harder , the pitch produced will not change	nongold
24	oscillation means physical vibration	nongold
25	sound is produced when mechanical energy is transformed into sound energy	nongold
26	sound is a kind of sound energy	nongold
27	wave motion is transferred from the source to matter to produce sound	nongold
28	a living thing is a kind of object	nongold
29	to produce means to provide	nongold
30	An example of playing a musical instrument is strumming a guitar string	nongold
31	objects are made of materials; substances; matter	gold
32	particles in objects are a kind of matter	nongold
33	instrument means device	nongold
34	to generate means to form	nongold
35	make means produce	nongold
36	sound waves means sound energy	nongold
37	sound wave is similar to sound	nongold
38	producing is similar to releasing	nongold
39	sound is a kind of air vibration	nongold
40	a cluck is a kind of sound	nongold
41	causing is similar to generating	nongold
42	to contribute is similar to produce	nongold
43	sound energy is transferred by vibrational waves	nongold
44	if an object; a substance makes something then that object; that substance is a source of that thing	nongold
45	loud means high in sound energy;sound intensity	nongold
46	volume; sound intensity is a property of sound; sound energy and includes ordered values of quiet; normal; loud	nongold
47	speaker converts electrical energy; electricity into vibrations; sound energy	nongold
48	producing is similar to discharging	nongold
49	producing is a kind of function	nongold
50	a device is a kind of object	nongold
51	sound can be used for communication by animals	nongold
52	the function of something is what that something  is used to do	nongold
53	instrument means tool	nongold
54	acoustic signal is a kind of sound wave	nongold
55	material means substance	nongold
56	to provide something means to be the source of that something	nongold
57	to cause means to make	nongold
58	an instrument is a piece of equipment	nongold
59	producing is a kind of process	nongold
60	sound is a kind of energy	nongold
61	a wave is a kind of object	nongold
62	a wave is formed by the vibration of the source spreading around from the source	nongold
63	to produce means to create	nongold
64	to produce means to result in	nongold
65	as the  string of a musical instrument is made tigter , the frequency of the sound it produced will increase	nongold
66	sound wave is a kind of mechanical wave	nongold
67	sound wave is a kind of wave	nongold
68	sound requires matter to travel	nongold
69	where something  comes from is a source of that something	nongold
70	volume means the loudness of a sound	nongold
71	motion is when moves an object; something to a direction	nongold
72	human voice is a kind of sound	nongold
73	an object; material; substance comes from that object or material's source	nongold
74	an object is made of its parts	nongold
75	pulling is a kind of motion	nongold
76	converting is similar to producing	nongold
77	feeling is when an living thing senses through touch	nongold
78	substances are made of matter	nongold
79	produce is similar to release	nongold
80	a motion is a kind of event; action	nongold
81	if something comes from something else then that something else is a source of that something	nongold
82	frequency is a property of a wave; a particel of light; an event	nongold
83	can be means able to be	nongold
84	an animal is a kind of living thing	nongold
85	to be used for something means to be required by that something	nongold
86	a tool is a kind of object	nongold
87	composed of means made of	nongold
88	answering questions requires information	nongold
89	an part of an object is smaller than the entire object	nongold
90	distorting is a kind of affecting	nongold
91	a particle is a kind of object	nongold
92	when a sound is produced inside of a room , there is sometimes an echo after the sound	nongold
93	a structure of something is synonymous with a part of that something	nongold
94	pitch of a sound can be  used to describe the frequency of the sound wave	nongold
95	a piece of something is a kind of object	nongold
96	ringing is a kind of action	nongold
97	form means kind	nongold
98	a surface is a part of an object	nongold
99	to emit means to release	nongold
