Question	Fossil fuels are considered a nonrenewable resource because they	question
Answer	take a long period of time to form.	answer
0	nonrenewable resources forming occurs over a period of 300000000 years which is considered a  very long time to a human	gold
1	fossil fuels are a nonrenewable resource	nongold
2	how long something takes is a kind of measurement of time	nongold
3	form means kind	nongold
4	renewable is the opposite of nonrenewable	nongold
5	natural gas is a nonrenewable resource	nongold
6	fossil fuels; fossils forming occurs over a period of 300000000 years which is considered a  very long time to a human	gold
7	a fossil fuel is a kind of natural resource	nongold
8	to form means to create	nongold
9	to be made of something means to be formed of that something	nongold
10	oil is a nonrenewable resource	nongold
11	to cause the formation of means to form	nongold
12	a nonrenewable resource is limited in supply	nongold
13	to change into means to form	nongold
14	length of time means period of time	nongold
15	natural gas is a kind of fossil fuel	nongold
16	to make means to form	nongold
17	alternative fuel is usually a renewable resource	nongold
18	a renewable resource is a kind of natural resource	nongold
19	recycling resources; nonrenewable resources has a  positive impact on the environment; conservation of those resources	nongold
20	a renewable resource is a kind of naturally replaced resource	nongold
21	forming something is a kind of change	nongold
22	high temperatures during fossil-fuel formation causes a higher percentage of natural gas to form	nongold
23	oil is a kind of fossil fuel	nongold
24	nonrenewable resources will eventually be depleted	nongold
25	fossil fuels are a kind of energy resource	nongold
26	period is similar to amount of time	nongold
27	state means form	nongold
28	biofuel is a kind of fuel	nongold
29	fossil fuels have high potential energy	nongold
30	an inexhaustible resource is a kind of renewable resource	nongold
31	to be formed by is similar to being produced by	nongold
32	long means great in length	nongold
33	fossil fuels; fossils are formed from dead organisms over time	nongold
34	products are formed; are produced; are created	nongold
35	the formation of something is a kind of process	nongold
36	to generate means to form	nongold
37	answering questions requires information	nongold
38	coal is a nonrenewable resource	nongold
39	a biofuel is a kind of alternative energy resource	nongold
40	high is similar to increase	nongold
41	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
42	to lower means to decrease	nongold
43	fossil fuel contains chemical energy	nongold
44	low is similar to decrease	nongold
45	quickly means in a short period of time	nongold
46	petroleum is a kind of fossil fuel	nongold
47	to add means to increase	nongold
48	composed of means made of	nongold
49	coal is a kind of fossil fuel	nongold
50	to a human a time period of 1000 years or more years is considered very long	nongold
51	to create means to make	nongold
52	if something causes a process then that something is required for that process	nongold
53	a type is synonymous with a kind	nongold
54	if something is made of something else then the formation of that something requires that something else	nongold
55	affected means changed	nongold
56	biogas means biofuel	nongold
57	develop is similar to form	nongold
58	a source of something emits; produces; generates; provides that something	nongold
59	forming coal; fossil fuels requires decaying vegetation	nongold
60	forming is similar to converting	nongold
61	an increase is the opposite of a decrease	nongold
62	take place means happen	nongold
63	temperature is a measure of heat energy	nongold
64	to slow; to slow down decreases speed	nongold
65	to depend on; to rely on; to need means to require	nongold
66	a  solution  is a kind of object	nongold
67	plants are a kind of resource	nongold
68	if use of a nonrenewable resources increases then the nonrenewable resource will be depleted	nongold
69	no longer means used to be	nongold
70	metal is a nonrenewable resource	nongold
71	can be means able to be	nongold
72	extreme means very high in value	nongold
73	to be used for something means to be required by that something	nongold
74	heat means heat energy	nongold
75	becoming is similar to forming	nongold
76	breaking down is a kind of forming	nongold
77	fossil fuels burning causes pollution	nongold
78	make means produce	nongold
79	to produce means to create	nongold
80	An example of conservation is not using fossil fuel	nongold
81	a renewable resource can be replaced	nongold
82	a process is a kind of event	nongold
83	to conserve means to not change	nongold
84	a decrease is a kind of change	nongold
85	to reduce means to decrease	nongold
86	an increase is a kind of change	nongold
87	instantaneously means short in time	nongold
88	greatest means largest; highest; most amount of something	nongold
89	emit means produce	nongold
90	a producer is a kind of living thing	nongold
91	renewable resources are replenished more quickly than they are used	nongold
92	a part of a process means a stage in a process	nongold
93	less is similar to decrease	nongold
94	to increase is similar to to create	nongold
95	shortest means the least amount of time	nongold
96	forming is a kind of replenishing	nongold
97	little is similar to decrease	nongold
98	person is synonymous with human	nongold
99	powering is similar to fueling	nongold
