Question	Which tool is used to determine how long it takes warm water to melt an ice cube?	question
Answer	a stopwatch	answer
0	a watch;clock;stopwatch is used for measuring time	nongold
1	a stopwatch is used to measure time	gold
2	a stopwatch is a kind of tool for measuring time	gold
3	an ice cube is a kind of solid	nongold
4	an ice cube is a kind of object	nongold
5	how long something takes is a kind of measurement of time	gold
6	determining often requires measuring; observing	gold
7	ice cube is made of ice	nongold
8	cooling;colder means removing;reducing;decreasing heat;temperature	nongold
9	melting means matter; a substance changes from a solid into a liquid by increasing heat energy	nongold
10	a cube is a kind of object	nongold
11	instrument means tool	nongold
12	warm means medium heat energy; temperature	nongold
13	water is a kind of liquid at room temperature	nongold
14	melting is when solids are heated above their melting point	nongold
15	ice is a kind of solid	nongold
16	freezing means matter; a substance changes from a liquid into a solid by decreasing heat energy	nongold
17	boiling is when liquids are heated above their boiling point	nongold
18	water is a kind of substance	nongold
19	cool means cold	nongold
20	cooling means temperature decreases	nongold
21	long means great in length	nongold
22	a liquid is a kind of substance	nongold
23	ice is a kind of object	nongold
24	temperature is a measure of heat energy	nongold
25	cold means low in temperature	nongold
26	melting point means temperature at which a solid melts; above which a solid melts	nongold
27	water is in the solid state , called ice , for temperatures between 0; -459; -273 and 273; 32; 0 K; F; C	nongold
28	warm up means increase temperature	nongold
29	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	nongold
30	seconds are used to measure time	nongold
31	a tool is a kind of object	nongold
32	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
33	warm means warm temperature	nongold
34	determine is similar to cause	nongold
35	stop; stopped means zero; 0; no speed	nongold
36	heating means adding heat	nongold
37	ice is cold in temperature	nongold
38	an instrument is a piece of equipment	nongold
39	water is a kind of object	nongold
40	device means tool	nongold
41	warm; becoming warm means heat is added	nongold
42	to add means to increase	nongold
43	to watch means to look at	nongold
44	seconds are a kind of unit for measuring time	nongold
45	heat means temperature increases	nongold
46	an object moving from a cool place to a warm place causes the object's temperature to increase	nongold
47	heat means heat energy	nongold
48	mass has no impact on boiling; melting; freezing point	nongold
49	stop means not move	nongold
50	measuring is a kind of observing	nongold
51	minutes are a kind of unit for measuring time	nongold
52	if an object is placed in a substance; in a location that is colder then that object will cool to the same temperature of that substance; of that location	nongold
53	freezing point means temperature at which a liquid freezes; below which a liquid freezes	nongold
54	warmer means greater; higher in temperature; warmth	nongold
55	ice is colder than water in temperature	nongold
56	colder; cooler means lower in temperature	nongold
57	a solid is a kind of substance	nongold
58	instantaneously means short in time	nongold
59	adding heat means increasing temperature	nongold
60	heating a liquid can be used to identify that liquid's boiling point	nongold
61	boiling means the volume of a liquid decreases	nongold
62	seconds ( s; sec ) are a  metric unit used for measuring time generally used for values between 1.0 and 300.0	nongold
63	liquid water cooling causes that liquid water to freeze	nongold
64	length of time means period of time	nongold
65	a watch requires electrical energy to operate	nongold
66	a measure of time is a length of time	nongold
67	locating means determining	nongold
68	freezing means cold temperatures	nongold
69	if a hot object; substance is exposed to; touches a cold object; substance then that object; that substance will likely cool	nongold
70	melting is a kind of phase change	nongold
71	to reduce means to decrease	nongold
72	water is an thermal; thermal energy conductor	nongold
73	the freezing point of water; melting point of water is 32F; 0C; 273K	nongold
74	distance moved; distance travelled is a measure of how far an object moves	nongold
75	heating is the opposite of cooling	nongold
76	to slow; to slow down decreases speed	nongold
77	a human is a kind of animal	nongold
78	water is a kind of matter	nongold
79	moving an object from a cool place to a  warm place causes the object's temperature to increase	nongold
80	frozen means solid	nongold
81	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
82	ice is a kind of food	nongold
83	boiling point is the highest temperature a liquid can reach	nongold
84	speed is a measure of distance travelled by an object over time; divided by time; per unit of time	nongold
85	cooler means colder	nongold
86	travelling requires  navigation	nongold
87	boiling;evaporation means matter; a substance changes from a liquid into a gas by increasing heat energy	nongold
88	volume has no impact on boiling; melting; freezing point	nongold
89	cycles of freezing and thawing water cause ice wedging	nongold
90	quickly means in a short period of time	nongold
91	liquid is a kind of state of matter	nongold
92	calculating speed requires knowing distance travelled	nongold
93	warm is the opposite of cool	nongold
94	instrument means device	nongold
95	freezing causes a solid to form	nongold
96	if an object is touching a warmer object , then the  cooler  object will increase in temperature until two objects reach the same temperature	nongold
97	to lower means to decrease	nongold
98	optical tools are used for observing materials up close; in greater detail	nongold
99	timing; multiplying is a kind of calculating	nongold
