Question	An example of a renewable resource is	question
Answer	wood.	answer
0	wood is a renewable resource	gold
1	wood is a kind of resource	nongold
2	trees are a renewable resource	nongold
3	a renewable resource is a kind of natural resource	nongold
4	a tree contains wood	nongold
5	renewable is the opposite of nonrenewable	nongold
6	a kind of something is an example of that something	nongold
7	a renewable resource is a kind of naturally replaced resource	nongold
8	trees are a kind of resource	nongold
9	a tree is a kind of plant	nongold
10	trees are a kind of natural resource	nongold
11	wood is a kind of object	nongold
12	a tree is a kind of living thing	nongold
13	wood is a kind of biomass	nongold
14	plants are a kind of resource	nongold
15	wood is a kind of natural material	nongold
16	an inexhaustible resource is a kind of renewable resource	nongold
17	wood is a kind of energy resource	nongold
18	green plants are a kind of producer	nongold
19	a renewable resource can be replaced	nongold
20	a plant is a kind of living thing	nongold
21	fossil fuels are a nonrenewable resource	nongold
22	a renewable resource can be renewed	nongold
23	renewable resources can be used over again	nongold
24	a fossil fuel is a kind of natural resource	nongold
25	renewable resources are often available for many years	nongold
26	wind is a renewable; inexhaustible resource	nongold
27	renewable resources are replenished more quickly than they are used	nongold
28	a plant is a kind of organism	nongold
29	solar energy is a renewable; inexhaustible resource	nongold
30	answering questions requires information	nongold
31	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
32	natural resources are found in nature	nongold
33	roots are a part of a plant; tree	nongold
34	a producer is a kind of living thing	nongold
35	a tree is a kind of matter	nongold
36	a source of something emits; produces; generates; provides that something	nongold
37	nature is the source of natural resources	nongold
38	animals are a renewable resource	nongold
39	a type is synonymous with a kind	nongold
40	to input means to add	nongold
41	soil is a renewable resource for growing plants	nongold
42	a  solution  is a kind of object	nongold
43	water is a renewable resource	nongold
44	can be means able to be	nongold
45	provide is similar to give; make	nongold
46	alternative fuel is usually a renewable resource	nongold
47	fossil fuels have high potential energy	nongold
48	wood is usually sturdy	nongold
49	grass does not contain wood	nongold
50	An example of an environment is a forest; a river; a grassland; an ocean	nongold
51	to create means to make	nongold
52	to be formed by is similar to being produced by	nongold
53	to be used for something means to be required by that something	nongold
54	fossil fuels are a kind of energy resource	nongold
55	make means produce	nongold
56	to conserve means to not change	nongold
57	to depend on; to rely on; to need means to require	nongold
58	wood is a kind of nonmetal	nongold
59	a leaf is a part of a tree	nongold
60	oil is a nonrenewable resource	nongold
61	affected means changed	nongold
62	a forest is a kind of environment	nongold
63	made up of means contains; made of	nongold
64	an oak is a kind of tree	nongold
65	wood is a strong material	nongold
66	form means kind	nongold
67	if something causes a process then that something is required for that process	nongold
68	emit means produce	nongold
69	to give is similar to to cause	nongold
70	greatest means largest; highest; most amount of something	nongold
71	wood burns	nongold
72	a component means a part of	nongold
73	products are formed; are produced; are created	nongold
74	to produce means to create	nongold
75	biomass is a renewable resource	nongold
76	making something requires resources	nongold
77	to provide something means to be the source of that something	nongold
78	a wooden log is made of wood	nongold
79	to add means to increase	nongold
80	high is similar to increase	nongold
81	composed of means made of	nongold
82	generate means produce	nongold
83	oil is a kind of fossil fuel	nongold
84	best means most positive	nongold
85	if something requires something else then that something requires a source of that something else	nongold
86	a branch is a part of a tree	nongold
87	usually means most of the time	nongold
88	plants are a part of the environment	nongold
89	a firewood is a kind of object	nongold
90	person is synonymous with human	nongold
91	a part of a process means a stage in a process	nongold
92	An example of conservation is not using fossil fuel	nongold
93	nonrenewable resources forming occurs over a period of 300000000 years which is considered a  very long time to a human	nongold
94	tidal energy is a renewable resource	nongold
95	must have means require	nongold
96	variable means able to change	nongold
97	area; space is a kind of resource	nongold
98	where something  comes from is a source of that something	nongold
99	organisms are made of carbon	nongold
