Question	To conserve the supply of nonrenewable resources, it is best to recycle	question
Answer	soda cans.	answer
0	a soda can is made of aluminum	gold
1	recycling resources; nonrenewable resources has a  positive impact on the environment; conservation of those resources	gold
2	soda bottles are a kind of manufactured product	nongold
3	a can is a kind of container	nongold
4	discarding aluminum cans wastes aluminum	nongold
5	a can is a kind of object	nongold
6	soda is a kind of carbonated beverage	nongold
7	soda water is a kind of carbonated beverage	nongold
8	aluminum is a nonrenewable resource	nongold
9	a garbage can is a kind of container	nongold
10	soft drink means soda	nongold
11	a garbage can is made of metal	nongold
12	recycling means reusing	nongold
13	a nonrenewable resource is limited in supply	nongold
14	plastic is a nonrenewable resource	nongold
15	if a resource is limited in supply then that resource should be recycled	nongold
16	recycling is similar to reusing	nongold
17	to recycle means return	nongold
18	aluminum is a kind of metal	gold
19	metal is a nonrenewable resource	gold
20	recyclable means a material can be recycled	nongold
21	trash is synonymous with waste	nongold
22	a beverage is a kind of liquid	nongold
23	to conserve means to not change	nongold
24	to provide means to supply	nongold
25	a container contains objects; material; substances	nongold
26	a trashcan contains trash; garbage; waste	nongold
27	baking soda is a kind of solid	nongold
28	recycling has a  positive impact on the environment	nongold
29	recyclability is a property of a material and includes ordered values of nonrecyclable; recyclable	nongold
30	a beverage is a kind of food	nongold
31	nonrenewable resources will eventually be depleted	nongold
32	recycling reduces the resources needed to make something	nongold
33	a container is a kind of object	nongold
34	aluminum is a kind of matter	nongold
35	material means substance	nongold
36	a material is a kind of resource	nongold
37	recycling is a kind of action	nongold
38	to be used for something means to be required by that something	nongold
39	person is synonymous with human	nongold
40	aluminum is recyclable	nongold
41	metal is a kind of material	nongold
42	a supply of something is a source of that something	nongold
43	recycling reduces; decreases the amount of waste sent to landfills	nongold
44	contents means the substance in a container	nongold
45	metal is a kind of natural resource	nongold
46	a liquid is a kind of substance	nongold
47	water is a kind of substance	nongold
48	to depend on; to rely on; to need means to require	nongold
49	answering questions requires information	nongold
50	requiring too much of a resource has a negative impact on the availiability of that resource	nongold
51	if a resource is limited in supply then that resource needs to be replaced	nongold
52	garbage means waste	nongold
53	recycling means using over again	nongold
54	resources becoming available has a positive impact on the things that need those resources	nongold
55	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
56	if a human discards an object then that object will become waste	nongold
57	aluminum is a kind of element	nongold
58	An example of recycling is using an object to make a new object	nongold
59	renewable is the opposite of nonrenewable	nongold
60	waste has a  negative impact on the environment	nongold
61	if an object is made of a material then that object has the properties of that material	nongold
62	a product is a kind of object	nongold
63	best means most positive	nongold
64	quantity means amount	nongold
65	if an object; a substance makes something then that object; that substance is a source of that thing	nongold
66	a bottle is a kind of object	nongold
67	objects are made of materials; substances; matter	nongold
68	can means having the ability to	nongold
69	recycling is a kind of method of disposal	nongold
70	keeping is similar to storing	nongold
71	harming something has a  negative impact on; effect on that something	nongold
72	a source of something emits; produces; generates; provides that something	nongold
73	a carbonated beverage contains dissolved carbon dioxide	nongold
74	a user is a kind of person	nongold
75	an event is a kind of action	nongold
76	the amount of something is similar to the availability of something	nongold
77	a lot means large in amount; quantity	nongold
78	a solid is a kind of substance	nongold
79	replacing is similar to recycling	nongold
80	humans drink beverages	nongold
81	plastic is high in strength	nongold
82	matter; materials; substances are made of atoms; particles	nongold
83	nonrenewable resources forming occurs over a period of 300000000 years which is considered a  very long time to a human	nongold
84	a required resource being low in availability has a negative impact on the something  that requires that resource	nongold
85	overuse is similar to depletion	nongold
86	when available resources decrease in an environment , organisms have to conserve those resources	nongold
87	negative impact is the opposite of positive impact	nongold
88	deplete is similar to decrease	nongold
89	a bottle is a kind of container	nongold
90	requiring something means needing that something	nongold
91	wasting  a resource harms that resource	nongold
92	as the use of a resource decreases , the length of time that resource will be available increases	nongold
93	cannot is the opposite of  can	nongold
94	using less of a resource means conserving that resource	nongold
95	plastic is recyclable	nongold
96	to provide something means to be the source of that something	nongold
97	if something is made of something; a material then that something contains that something; that material	nongold
98	plastic is a kind of material made by humans	nongold
99	a source of something supplies that something	nongold
