Question	What is taken in by the leaves of a tree so it can make its own food?	question
Answer	sunlight	answer
0	taking in something means receiving; absorbing; getting something	nongold
1	eating; taking in food is used to get nutrients;energy by animals; living things	nongold
2	green plants provide food for themselves; animals; consumers by performing photosynthesis	nongold
3	photosynthesis is a source of; makes food; energy for the plant by converting carbon dioxide, water, and sunlight into carbohydrates	gold
4	providing something means making;delivering something	nongold
5	make means produce	nongold
6	a tree is a kind of living thing	nongold
7	take in means absorb	gold
8	a leaf is a kind of plant	nongold
9	a leaf is a part of a  green plant	nongold
10	a producer produces its own food	nongold
11	a leaf is a part of a tree	gold
12	a tree is a kind of plant	gold
13	green plants are a kind of producer	nongold
14	a plant; living thing requires food for survival	nongold
15	a producer is a kind of living thing	nongold
16	a leaf is a kind of object	nongold
17	if an object; a substance makes something then that object; that substance is a source of that thing	nongold
18	taking is the opposite of giving; leaving	nongold
19	a consumer can not produce its own food	nongold
20	a plant is a kind of living thing	nongold
21	a leaf performs photosynthesis; gas exchange	gold
22	a  plant requires sunlight for photosynthesis	nongold
23	sunshine means sunlight	nongold
24	a food contains nutrients for living things	nongold
25	a plant is a kind of organism	nongold
26	the sun is a source of light; light energy called sunlight	nongold
27	provide is similar to give; make	nongold
28	photosynthesis means producers; green plants convert from carbon dioxide and water and solar energy into carbohydrates and food and oxygen for themselves	nongold
29	to eat means to consume food	nongold
30	a vegetable is a kind of food	nongold
31	sunlight is a kind of light	nongold
32	daylight means sunlight	nongold
33	a vegetable is a kind of plant	nongold
34	sunlight means solar energy	nongold
35	In the food chain process an animal has the role of  consumer which eats producers;other animals for food	nongold
36	if an organism makes food for itself then that organism does not need to eat other organisms	nongold
37	the sun is the source of solar energy called sunlight	nongold
38	a living thing is a kind of object	nongold
39	In the food chain process a  green plant has the role of  producer	nongold
40	to cause means to make	nongold
41	being in the sun is synonymous with being in the sunlight	nongold
42	food is a kind of object	nongold
43	sunlight is a kind of solar energy	nongold
44	an animal is a kind of living thing	nongold
45	taking in something means acquiring that something	nongold
46	production is similar to making	nongold
47	taking in and releasing means exchanging	nongold
48	a source of something emits; produces; generates; provides that something	nongold
49	food is what an animal eats	nongold
50	an animal is a kind of consumer	nongold
51	a leaf absorbs sunlight to perform photosynthesis	gold
52	to be in the sun means to be in the sunlight	nongold
53	the sun transfers solar energy; light energy; heat energy from itself to the planets;Earth through sunlight	nongold
54	eating;digestion is when an organism takes in nutrients from food into itself by eating	nongold
55	if an object; something is in the sunlight then that object; that something will absorb solar energy	nongold
56	a leaf is small in size	nongold
57	a product is a kind of object	nongold
58	In the photosynthesis process carbon dioxide; water; sunlight has the role of  raw material	nongold
59	an animal; living thing requires nutrients for survival	nongold
60	sunlight produces heat	nongold
61	producer is a kind of role in the food chain process; in an ecosystem	nongold
62	a plant is a member of a plant species	nongold
63	receiving sunlight  is synonymous with absorbing sunlight	nongold
64	a consumer is a kind of organism	nongold
65	to receive sunlight means to absorb sunlight	nongold
66	food is a kind of substance	nongold
67	a tree requires sunlight to grow	nongold
68	living things eat their food source	nongold
69	an animal needs to eat food for nutrients	nongold
70	food is a source of energy for animals; plants	nongold
71	a tree is a kind of matter	nongold
72	take away means decreasing	nongold
73	the sunlight occurs during the day	nongold
74	if a plant dies then that plant will not produce food	nongold
75	baking is when a human makes food by adding heat	nongold
76	creating means making	nongold
77	solar energy is a kind of light	nongold
78	some species of tree are deciduous	nongold
79	producing is a kind of process	nongold
80	to produce means to provide	nongold
81	developing means making	nongold
82	a  plant requires sunlight to  grow	nongold
83	an organism is a living thing	nongold
84	products are formed; are produced; are created	nongold
85	intensity of sunlight is similar to amount of sunlight	nongold
86	a food web is made of organisms that consume other organisms; that produce their own food	nongold
87	the sun is a source of radiation; heat called sunlight	nongold
88	a leaf is a kind of plant organ	nongold
89	to provide something means to be the source of that something	nongold
90	to create means to make	nongold
91	an animal is a kind of organism	nongold
92	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
93	a plant requires photosynthesis to grow; survive	nongold
94	an object; material; substance comes from that object or material's source	nongold
95	solar energy is a kind of heat energy	nongold
96	if something is outside during the day then that something will receive sunlight	nongold
97	a stem is often a part of plant	nongold
98	a part of a process means a stage in a process	nongold
99	the sun is the source of energy for life on Earth	nongold
