Question	The main source of food for a coyote population in one area is mice. Which is most likely to happen to these coyotes if a new predator begins eating the mice?	question
Answer	There will be fewer coyotes.	answer
0	if a new predator begins eating prey then the population of that prey will decrease	gold
1	a coyote is a kind of animal	gold
2	an animal; living thing requires nutrients for survival	nongold
3	mice live in in holes in the ground in fields; in forests	nongold
4	predators eat prey	gold
5	a predator eats other animals for food	nongold
6	fewer means lower; less in number	gold
7	a population is made of one type of organism in an area	nongold
8	an animal is a kind of living thing	nongold
9	an environment means an area	gold
10	as population of predators decreases , the population of prey will increase in an environment	nongold
11	as population of predators increases , the population of prey will decrease in an environment	nongold
12	as  population of prey decreases , the population of predators will  decrease	gold
13	a predator is a kind of animal	nongold
14	most predators live in; live near the same environment as their prey	nongold
15	if an animal eats another animal then that animal is a carnivore or omnivore or predator	nongold
16	killing a living thing decreases the number; population size of that living thing	nongold
17	if an amount of objects decreases then those objects are fewer in number	nongold
18	a mouse is a kind of animal	nongold
19	eating; taking in food is used to get nutrients;energy by animals; living things	nongold
20	an animal needs to eat food for nutrients	nongold
21	if an organism eats something then that something is a source of frood to that organism	gold
22	prey is a kind of food for predators	nongold
23	a plant; living thing requires food for survival	nongold
24	population is a measure of the number of a species in an environment	gold
25	an animal is a kind of organism	gold
26	as the population of an animal decreases , the population of that animal's source of food will decrease	nongold
27	to happen means to occur	nongold
28	an organism is a living thing	nongold
29	eating an animal; a plant means killing that animal; that plant	nongold
30	food is what an animal eats	nongold
31	animals; living things live and feed in their habitats; near their habitats	nongold
32	a predator usually kills its prey to eat it	nongold
33	population increase means more survive	nongold
34	eating something decreases the amount of that something	nongold
35	killing means harming something causing death	nongold
36	an increase is the opposite of a decrease	nongold
37	to prey on an animal means to eat that animal	nongold
38	less is similar to decrease	nongold
39	as the number of sources of food increase in an environment , the population of the organisms will increase in that environment	nongold
40	a mouse births; gives birth to live young	nongold
41	if a living thing requires something then that something has a positive impact on that living thing	nongold
42	a food contains nutrients for living things	nongold
43	harming an animal species causes that animal's population to decrease	nongold
44	eating;digestion is when an organism takes in nutrients from food into itself by eating	nongold
45	new means different from the former one	nongold
46	become prey means get eaten	nongold
47	prey  is a kind of animal	nongold
48	less means a reduced amount	nongold
49	to eat means to consume food	nongold
50	if an organism dies then the population of that organism will decrease	nongold
51	nonliving; non-living; die is the opposite of living; alive; live	nongold
52	a mouse is a kind of herbivore	nongold
53	a source of something increases the amount of that something	nongold
54	area is similar to location	nongold
55	diet means what an animal eats	nongold
56	fewest means lowest; least in number	nongold
57	increase means more	nongold
58	high is similar to increase	nongold
59	death means to die	nongold
60	killing means changing a living thing from alive to dead by harming	nongold
61	lack is similar to low; little	nongold
62	to reduce means to decrease	nongold
63	to lower means to decrease	gold
64	as the amount of a source of something decreases , the amount of that something will decrease	nongold
65	less is the opposite of more	nongold
66	as the supply of food in an environment decreases , the population of animals in that environment will decrease	nongold
67	eating prey requires catching prey	nongold
68	survive means live	nongold
69	survive means live	nongold
70	a source of something emits; produces; generates; provides that something	nongold
71	to depend on; to rely on; to need means to require	nongold
72	often is similar to likely	nongold
73	a mouse is a kind of mammal	nongold
74	if a source of food for an animal decreases then the animal will have to find other types of food to survive	nongold
75	reproduction increases the number; population of a living thing	nongold
76	a lack of something that a living thing requires prevents the survival of that living thing	nongold
77	low is similar to decrease	nongold
78	if the amount of; quantity of something stops decreasing then the amount of; quantity of that something may  increase	nongold
79	if something requires something else then that something requires a source of that something else	nongold
80	greatest means largest; highest; most amount of something	nongold
81	organisms are a part of an environment	nongold
82	amount is similar to number	nongold
83	surroundings means environment	nongold
84	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
85	a living thing is a kind of object	nongold
86	having no natural predators increases population size	nongold
87	if an organism makes food for itself then that organism does not need to eat other organisms	nongold
88	negative impact is the opposite of positive impact	nongold
89	survival means to survive	nongold
90	an adaptation; an ability has a positive impact on an animal's; living thing's survival; health; ability to reproduce	nongold
91	most means over 50% of something	nongold
92	a food shortage can cause the population of a species to decrease	nongold
93	dying is the opposite of living; surviving	nongold
94	a community is made of many types of organisms in an area	nongold
95	if two animals live in different environments then those two animals will have different food sources	nongold
96	a region is similar to an environment	nongold
97	if members of a species are born; survive then the population of that species increases	nongold
98	fur is a part of a mouse	nongold
99	to impact means to affect	nongold
