Question	How has the invention of the personal computer helped people the most?	question
Answer	by increasing communication	answer
0	to help means to aid	nongold
1	to be used  for something means to help to do that something	nongold
2	helping something has a  positive impact on that something	gold
3	to help; to benefit means to be of use	nongold
4	something that is used for communication increases communication	gold
5	person is synonymous with human	nongold
6	an invention is a kind of tool	nongold
7	requiring is similar to needing help	nongold
8	to be helpful means to help to do	nongold
9	a person is a kind of animal	nongold
10	communication has a positive impact on a person's life	gold
11	inventing a tool allows; enables that tool to be used	gold
12	instrument means device	nongold
13	if something; an invention; a discovery is invented; discovered then that something; that invention; that discovery can be used	nongold
14	device means tool	nongold
15	helping means to assist in a change	nongold
16	a computer is used for communication; finding information	gold
17	a human is a kind of animal	nongold
18	to enable is to help	nongold
19	increase means more	nongold
20	to make something easier means to help	nongold
21	developing means creating; inventing	nongold
22	instrument means tool	nongold
23	high is similar to increase	nongold
24	a machine is a kind of  device	nongold
25	a computer is a kind of tool	gold
26	technology is similar to tool	nongold
27	an animal is a kind of organism	nongold
28	helping means something can be done; completed more easily; better	nongold
29	if something has a positive impact on something else then increasing the amount of that something has a positive impact on that something else	nongold
30	an animal is a kind of living thing	nongold
31	talking is when a human produces sound to communicate	nongold
32	using an object often requires creating that object	nongold
33	a machine is a kind of object	nongold
34	communicating means sharing information	nongold
35	a tool is a kind of object	nongold
36	humans usually develop inventions that they require	nongold
37	help means advantage	nongold
38	a device is a kind of object	nongold
39	good means positive	nongold
40	to make means to invent	nongold
41	best means most positive	nongold
42	a laptop is a kind of computer	nongold
43	mostly means being the most	nongold
44	a living thing is a kind of object	nongold
45	a user is a kind of person	nongold
46	speaking is a kind of communication	nongold
47	a computer controls a robot	nongold
48	appliance is similar to technology	nongold
49	human is a kind of organism	nongold
50	a source of something increases the amount of that something	nongold
51	a human requires new information to invent things	nongold
52	an increase is the opposite of a decrease	nongold
53	an organism is a living thing	nongold
54	beneficial means helpful	nongold
55	sound can be used for communication by animals	nongold
56	better means good	nongold
57	communication is a learned behavior	nongold
58	a simple machine is a kind of tool	nongold
59	language is a kind of communication	nongold
60	to enhance means to increase	nongold
61	using tools is a learned characteristic	nongold
62	helping bodily processes has a positive impact on an animal; an animal's health	nongold
63	having a positive impact on health; survival is synonymous with helping to keep healthy	nongold
64	human is similar to individual	nongold
65	a source of something emits; produces; generates; provides that something	nongold
66	an increase is a kind of change	nongold
67	to depend on; to rely on; to need means to require	nongold
68	to be good for means to have a positive impact on	nongold
69	a positive impact is a helpful effect	nongold
70	if something has a negative impact on something else then increasing the amount of that something has a negative impact on that something else	nongold
71	answering questions requires information	nongold
72	an instrument is a piece of equipment	nongold
73	usually means most of the time	nongold
74	if something emits something else then that something increases the amount of that something else	nongold
75	can be means able to be	nongold
76	to add means to increase	nongold
77	society is made of humans	nongold
78	improving the design of something helps that something  to do its function	nongold
79	a complex machine is made of more than one simple machine	nongold
80	tool is similar to appliance	nongold
81	an event is a kind of action	nongold
82	if technology used for a process is improved then the product produced by that process will increase	nongold
83	the assembly line is a kind of invention	nongold
84	a person speaking is a source of sound	nongold
85	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
86	getting something increases the amount of that something	nongold
87	a process is a kind of event	nongold
88	negative impact is the opposite of positive impact	nongold
89	to be used for something means to be required by that something	nongold
90	affected means changed	nongold
91	an animal is a kind of consumer	nongold
92	saving money has a positive impact on a person; a company	nongold
93	a computer controlling a robot is similar to a brain controlling a human body	nongold
94	greater means higher; more in value	nongold
95	material means substance	nongold
96	money usually has a positive impact on a person's life	nongold
97	the function of something is what that something  is used to do	nongold
98	objects are made of materials; substances; matter	nongold
99	a positive impact is  a benefit	nongold
