Question	Plankton are tiny ocean organisms. The role of one type of plankton is to use the energy from the Sun to produce food that other animals eat. Which organism has the same role in the ocean as this type of plankton?	question
Answer	seaweed	answer
0	a plankton is a kind of animal	nongold
1	producer is a kind of role in the food chain process; in an ecosystem	nongold
2	In the food chain process an animal has the role of  consumer which eats producers;other animals for food	nongold
3	In the food chain process some types of plankton have the role of producer	gold
4	seaweed is a kind of plant	gold
5	eating; taking in food is used to get nutrients;energy by animals; living things	nongold
6	a type is synonymous with a kind	nongold
7	producing is a kind of function	nongold
8	a source of something emits; produces; generates; provides that something	nongold
9	a role in the ecosystem is a role in the food chain process	nongold
10	role means function	nongold
11	to produce means to provide	nongold
12	food is a source of energy for animals; plants	nongold
13	purpose means role	nongold
14	plankton live in bodies of water	nongold
15	food is what an animal eats	nongold
16	mussels eat plankton	nongold
17	to eat means to consume food	nongold
18	the function of something is what that something  is used to do	nongold
19	an ocean is a kind of body of water	nongold
20	a producer is a kind of living thing	nongold
21	the sun is the source of energy for life on Earth	nongold
22	a food contains nutrients for living things	nongold
23	if an organism eats something then that something is a source of frood to that organism	nongold
24	a producer produces its own food	gold
25	a plant; living thing requires food for survival	nongold
26	an animal is a kind of living thing	nongold
27	an aquatic animal is a kind of animal	nongold
28	nutrients are a source of energy for living things	nongold
29	a producer is a source of energy for consumers	nongold
30	an animal; living thing requires nutrients for survival	nongold
31	the sun is the source of solar energy called sunlight	gold
32	an organism is a living thing	nongold
33	to be a vehicle for is a kind of function	nongold
34	a predator eats other animals for food	nongold
35	living things eat their food source	nongold
36	the sun transfers solar energy; light energy; heat energy from itself to the planets;Earth through sunlight	nongold
37	sea means ocean	nongold
38	role is similar to importance	nongold
39	the sun is a source of light; light energy called sunlight	nongold
40	an animal is a kind of organism	nongold
41	consumers eat other organisms	nongold
42	an animal needs to eat food for nutrients	nongold
43	part means role	nongold
44	solar energy is a kind of energy	nongold
45	predators eat prey	nongold
46	emit means produce	nongold
47	if an organism makes food for itself then that organism does not need to eat other organisms	nongold
48	predators; carnivores; omnivores eat other animals	nongold
49	clams eat plankton	nongold
50	photosynthesis is a source of; makes food; energy for the plant by converting carbon dioxide, water, and sunlight into carbohydrates	nongold
51	a living thing is a kind of object	nongold
52	to be used for something means to be required by that something	gold
53	if something comes from something else then that something else is a source of that something	gold
54	role means niche	nongold
55	producing is a kind of process	nongold
56	to contribute is similar to produce	nongold
57	sunlight is a kind of solar energy	nongold
58	an animal is a member of an animal species	nongold
59	eating;digestion is when an organism takes in nutrients from food into itself by eating	nongold
60	diet means what an animal eats	nongold
61	aquatic animals; plants live in bodies of water	nongold
62	an ocean is a kind of habitat	nongold
63	make means produce	nongold
64	ocean animal is similar to water animal	nongold
65	green marine algae are a kind of producer	nongold
66	omnivores eat plants; animals	nongold
67	prey is a kind of food for predators	nongold
68	something is used for that something's purpose	nongold
69	to be involved in something means to have a role in something	nongold
70	converting is similar to producing	nongold
71	green plants provide food for themselves; animals; consumers by performing photosynthesis	nongold
72	to provide something means to be the source of that something	nongold
73	food is a kind of object	nongold
74	if an animal eats another animal then that animal is a carnivore or omnivore or predator	nongold
75	where something  comes from is a source of that something	nongold
76	mussels are a kind of aquatic animal	nongold
77	an object; material; substance comes from that object or material's source	nongold
78	a producer is a source of sugar; food energy in an ecosystem	nongold
79	a consumer can not produce its own food	nongold
80	sunlight means solar energy	nongold
81	producing is similar to causing	nongold
82	different is the opposite of the same	nongold
83	resources sometimes are used for energy	nongold
84	if something performs a task then that task is that something's function	nongold
85	an animal is a kind of consumer	nongold
86	aquatic animal means water animal	nongold
87	algae is a kind of living thing	nongold
88	a diatom is a kind of producer	nongold
89	causing is a kind of function	nongold
90	organisms mean life	nongold
91	if something changes , then that something is not the same	nongold
92	to serve as means to be used as	nongold
93	an energy source is a kind of resource	nongold
94	solar energy is a kind of heat energy	nongold
95	cellular respiration is when cells break down; extract energy from food to produce energy	nongold
96	a mussel is a kind of water animal	nongold
97	size is a property of objects and includes ordered values of microscopic; tiny; small; medium; large	nongold
98	eating prey requires catching prey	nongold
99	to prey on an animal means to eat that animal	nongold
