Question	The systems of the human body work together. Which system works with the skeletal system by pulling on the bones to create movement?	question
Answer	muscular	answer
0	muscles push; pull bones to move the bones	gold
1	pulling is a kind of motion	nongold
2	the muscular system is a kind of body; organ system	gold
3	the muscular system contains muscles	gold
4	the skeleton is a part of the skeletal system	nongold
5	skeletal system is made of bones	gold
6	motion; movement means moving; to move	nongold
7	a skeletal system is a part of an animal	nongold
8	the skeletal system is a kind of body system	gold
9	muscular movement helps animals move	nongold
10	limbs are part of an animal	nongold
11	a bone is a part of some animals	nongold
12	an organ system is made of different parts of the body working together	nongold
13	a skeletal system is a part of an animal for providing support; providing shape; providing protection	nongold
14	organ system means body system	nongold
15	a bone is a part of a body	nongold
16	a human is a kind of animal	nongold
17	a body system is a part of the body; an animal	nongold
18	a body system is a kind of object	nongold
19	the skeletal system gives structure to the body in animals	nongold
20	a limb often contains bones	nongold
21	a pull is a kind of force	nongold
22	to work means to function	nongold
23	creating means making	nongold
24	the integumentary system is a kind of body; organ system	nongold
25	to form means to create	nongold
26	creating is similar to causing	nongold
27	to generate means to create	nongold
28	to create means to make	nongold
29	to produce means to create	nongold
30	locomotion means movement	nongold
31	bone is hard	nongold
32	system means a set of objects	nongold
33	to increase is similar to to create	nongold
34	developing means creating; inventing	nongold
35	a force is a kind of push or pull on an object	nongold
36	system is similar to structure	nongold
37	muscle tissue is a kind of tissue	nongold
38	an arm is a kind of limb	nongold
39	an animal is a kind of organism	nongold
40	a structure of something is synonymous with a part of that something	nongold
41	pull is similar to attract	nongold
42	producing thrust causes something; an animal; an object to move	nongold
43	movement is a kind of change	nongold
44	an animal is a kind of living thing	nongold
45	human is a kind of organism	nongold
46	anatomy studies the body structure of organisms	nongold
47	the function of something is what that something  is used to do	nongold
48	a motion is a kind of event; action	nongold
49	a mechanism is a kind of system that performs a function	nongold
50	a body part is a kind of object	nongold
51	converting is similar to producing	nongold
52	can be means able to be	nongold
53	person is synonymous with human	nongold
54	vibration is a kind of motion	nongold
55	to make means to form	nongold
56	products are formed; are produced; are created	nongold
57	a spine is a kind of object	nongold
58	to generate means to form	nongold
59	contracting is a kind of movement	nongold
60	revolving is a kind of motion	nongold
61	if two things perform the same function then those two things are similar	nongold
62	a human is a kind of mammal	nongold
63	make means produce	nongold
64	internal organs are a part of the body	nongold
65	a living thing is a kind of object	nongold
66	breaking a part of the body means breaking a bone in that part of the body	nongold
67	rotation is a kind of motion	nongold
68	a source of something emits; produces; generates; provides that something	nongold
69	an object is made of its parts	nongold
70	creating is a kind of activity	nongold
71	the skeletal system protects internal organs	nongold
72	producing is a kind of function	nongold
73	moving something is a kind of function	nongold
74	a rotation is a kind of movement	nongold
75	pushing is a kind of motion	nongold
76	generate means produce	nongold
77	strength is a property of an object; a material	nongold
78	if something is made of something else , then that something else will be the component of that something	nongold
79	broken bones require healing	nongold
80	a component means a part of	nongold
81	strong means high in strength	nongold
82	if something performs a task then that task is that something's function	nongold
83	form means kind	nongold
84	motion is a source of kinetic energy in an object	nongold
85	an event is a kind of action	nongold
86	form is similar to body	nongold
87	to be formed by is similar to being produced by	nongold
88	not is similar to the opposite of	nongold
89	a mammal is a kind of animal	nongold
90	producing is a kind of process	nongold
91	shaking is a kind of motion	nongold
92	forming is a kind of action	nongold
93	objects are made of materials; substances; matter	nongold
94	structure is a property of an object; a material; a substance	nongold
95	to be made of something means to be formed of that something	nongold
96	an organism is a living thing	nongold
97	rubbing  is a kind of motion	nongold
98	affected means changed	nongold
99	a process is a kind of event	nongold
