Question	A student poured water into a plastic tray. The student then put the tray into the freezer. What property of the water changed as the water froze?	question
Answer	The water took a definite shape.	answer
0	Matter in the solid phase has definite shape	gold
1	definite is the opposite of variable	nongold
2	freezing means matter; a substance changes from a liquid into a solid by decreasing heat energy	gold
3	if something is definite in shape then that something will not change shape easily	nongold
4	freezing causes a solid to form	nongold
5	liquid water cooling causes that liquid water to freeze	gold
6	definite shape means the shape of an object stays the same when moved to different spot	nongold
7	Matter in the liquid phase has variable shape	nongold
8	freezing is a kind of phase change	nongold
9	frozen means solid	nongold
10	a freezer is used for cooling things	gold
11	matter with variable shape changes shape in different container	nongold
12	Matter in the gas phase has variable shape	nongold
13	shape is a kind of physical property	nongold
14	cooling;colder means removing;reducing;decreasing heat;temperature	gold
15	water is a kind of liquid at room temperature	gold
16	freezing means cold temperatures	nongold
17	matter with variable volume and shape assumes; expands to fill; takes the shape and size of its entire container	nongold
18	cycles of freezing and thawing water cause ice wedging	nongold
19	water is in the solid state , called ice , for temperatures between 0; -459; -273 and 273; 32; 0 K; F; C	nongold
20	water is a kind of matter	gold
21	shape is a property of an object	nongold
22	freezing point means temperature at which a liquid freezes; below which a liquid freezes	nongold
23	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
24	liquid is a kind of state of matter	nongold
25	shape is a property of the appearance of an object	nongold
26	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	nongold
27	shape of the parts of something is a property of that something	nongold
28	water is a kind of substance	nongold
29	a freezer; refrigerator is cool; cold in temperature	nongold
30	a phase change is a kind of physical change	nongold
31	temperature is a measure of heat energy	nongold
32	to change into means to form	nongold
33	solid is a kind of state of matter	nongold
34	state means form	nongold
35	phase means state	nongold
36	ice is a kind of solid	nongold
37	cooling means temperature decreases	nongold
38	ice is a kind of water phase	nongold
39	water is a kind of water phase	nongold
40	a student is a kind of human	nongold
41	a liquid is a kind of substance	nongold
42	state of matter at room temperature is a kind of physical property	nongold
43	fixed is similar to definite	nongold
44	a container contains objects; material; substances	nongold
45	ice is a kind of object	nongold
46	temperature changing can cause phase changes	nongold
47	a physical property is a kind of property	nongold
48	to add means to increase	nongold
49	state of matter is a kind of physical property	nongold
50	variable means able to change	nongold
51	state of matter means physical state	nongold
52	water is a kind of object	nongold
53	if a flexible container is pushed on then that container will change shape	nongold
54	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
55	to reduce means to decrease	nongold
56	physical state means state of matter	nongold
57	gas is a kind of state of matter	nongold
58	heat energy can change the state of matter	nongold
59	a solid is a kind of substance	nongold
60	an increase is a kind of change	nongold
61	to be made of something means to be formed of that something	nongold
62	objects are made of materials; substances; matter	nongold
63	ice is a kind of food	nongold
64	a decrease is a kind of change	nongold
65	variability of shape; variability of volume is a property of matter and includes values of variable; definite	gold
66	substances are made of matter	nongold
67	a container is a kind of object	nongold
68	heat means heat energy	nongold
69	changed is the opposite of unchanged	nongold
70	to lower means to decrease	nongold
71	boiling;evaporation means matter; a substance changes from a liquid into a gas by increasing heat energy	nongold
72	a human is a kind of animal	nongold
73	boiling is a kind of phase change	nongold
74	the shape  of an object can be discovered through feeling that object; touching that object	nongold
75	an object is made of its parts	nongold
76	structure is similar to shape	nongold
77	surface area is a property of shape	nongold
78	ability to undergo a phase change is a property of a substance; material	nongold
79	water expanding when it freezes is a physical property of water	nongold
80	if an object is put inside; poured into another object , then two objects are touching	nongold
81	breaking down into pieces is a kind of change in shape	nongold
82	to change means to cause a change	nongold
83	Matter in the liquid phase has definite volume	nongold
84	materials are made of matter	nongold
85	Matter in the solid phase has definite volume	nongold
86	affected means changed	nongold
87	heating means adding heat	nongold
88	heat means temperature increases	nongold
89	ice is cold in temperature	nongold
90	adding heat means increasing temperature	nongold
91	if something undergoes a physical change then the physical properties of that something will change	nongold
92	when water freezes , that water expands	nongold
93	becoming is similar to changing	nongold
94	squeezing an object can cause that object's shape to change	nongold
95	material composition is a kind of chemical property	nongold
96	condensing causes a liquid to form	nongold
97	forming something is a kind of change	nongold
98	structure is a property of an object; a material; a substance	nongold
99	water is in the gas state , called water vapor; steam , for temperatures between 373; 212; 100 and 100000000000 K; F; C	nongold
