Question	When potholders are used to remove hot pans from an oven, the potholders are serving as	question
Answer	insulators.	answer
0	an insulator is insulated	nongold
1	pot;pan;frying pan is made of metal for cooking	nongold
2	a pan;frying pan;pot is used for cooking food by heating food in it on a stove	nongold
3	insulation requires an insulator	nongold
4	insulator means good insulator	nongold
5	a pan;frying pan is a kind of container for cooking; food	gold
6	removing hot objects from a heat source requires thermal insulators	gold
7	an insulator is a kind of material	nongold
8	a thermal insulator can be used to remove hot objects from a heat source	gold
9	a pot is used for cooking food	nongold
10	a pan is a kind of object	nongold
11	an insulator is the opposite of a conductor	nongold
12	a pot is a kind of object	nongold
13	thermal insulation requires covering the conductor with an insulator	nongold
14	pots are used for cooking liquid food usually	nongold
15	a thermal insulator slows; prevents the transfer of heat	nongold
16	to serve as means to be used as	gold
17	if a thermal conductor; an object is exposed to a source of heat then that conductor; that object may become hot; warm	nongold
18	electrical insulation requires wrapping a conductor in an insulator	nongold
19	a pot is a kind of container	nongold
20	an oven is a source of heat	gold
21	plastic is a kind of thermal insulator	nongold
22	a container contains objects; material; substances	nongold
23	a burner is a part of a  stove	nongold
24	metal is a thermal; thermal energy conductor	nongold
25	heating means adding heat	nongold
26	a stove generates heat for cooking usually	nongold
27	a thermal conductor is made of materials that conduct thermal energy	nongold
28	heat energy is synonymous with thermal energy	nongold
29	a stove is used for cooking by generating heat	nongold
30	a hot substance is a source of heat	nongold
31	heating elements are usually a part of an oven	nongold
32	conductivity is a property of a material; substance	nongold
33	a burner is a kind of object; surface	nongold
34	a container is a kind of object	gold
35	a hot; warm something is a source of heat	nongold
36	an oven is a kind of electrical device	nongold
37	to be insulated means to have insulation	nongold
38	an electrical insulator slows; prevents the transfer of; flow of electricity	nongold
39	a thermal energy conductor transfers heat from warmer objects; hotter objects to cooler objects	nongold
40	an electric stove changes electrical energy into heat energy	nongold
41	water is an thermal; thermal energy conductor	nongold
42	heat means heat energy	nongold
43	a hot plate is a source of heat	nongold
44	thermal conduction is when materials conduct heat through those materials through collision of particles	nongold
45	hot means high in heat energy; temperature	nongold
46	heat means the transfer of thermal energy	nongold
47	heat energy  can be used to heat up  an object	nongold
48	plastic is a kind of electrical insulator	nongold
49	if an object is made of a material then that object has the properties of that material	nongold
50	remove means decrease	nongold
51	if a hot object; substance is exposed to; touches a cold object; substance then that object; that substance will likely cool	nongold
52	plastic is usually an electrical insulator	nongold
53	boiling;evaporation means matter; a substance changes from a liquid into a gas by increasing heat energy	nongold
54	cookware is used for cooking	nongold
55	to combust means to catch fire	nongold
56	a source of something emits; produces; generates; provides that something	nongold
57	objects are made of materials; substances; matter	nongold
58	if something is places over a heat source then that something is exposed to that heat source	nongold
59	boiling is when liquids are heated above their boiling point	nongold
60	temperature is a measure of heat energy	nongold
61	if a container contains something then that container touches that something	nongold
62	metal is a kind of material	nongold
63	if too much heat is transferred to an object then that object may burn	nongold
64	if one surface; one substance; one object touches something then one is exposed to that something	nongold
65	thermal conduction is when heat flows from warmer object to cooler object	nongold
66	frying food is a kind of cooking	nongold
67	cooking food requires adding heat energy to the food	nongold
68	a stove is a kind of machine	nongold
69	a source of heat can be used to heat something	nongold
70	a source of heat can be used to heat something	nongold
71	if food is cooked then heat energy is added to that food	nongold
72	metal is an  electrical; electrical energy conductor	nongold
73	if heat is transferred to an object , then the object will get hot	nongold
74	eliminate means remove	nongold
75	food is a kind of substance	nongold
76	household appliances are a kind of electrical device	nongold
77	food is a kind of object	nongold
78	a hot plate is a kind of instrument	nongold
79	a human is a kind of animal	nongold
80	material means substance	nongold
81	fire causes burning	nongold
82	a burner is made of metal	nongold
83	ceramic is a kind of material	nongold
84	when a cooler object touches a warmer object , thermal conduction occurs	nongold
85	boiling point means temperature at which a liquid boils; above which a liquid boils	nongold
86	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
87	the function of something is what that something  is used to do	nongold
88	an object; material; substance comes from that object or material's source	nongold
89	baking is when a human makes food by adding heat	nongold
90	fire transfers heat through waves	nongold
91	to be used for something means to be required by that something	nongold
92	a surface is a part of a material	nongold
93	if liquid is boiling then that liquid is hot	nongold
94	cooking wares require a low thermal expansion material	nongold
95	adding heat means increasing temperature	nongold
96	cooking is a kind of action	nongold
97	if heat is added to a substance then that substance absorbs that heat	nongold
98	conductivity is a measure of how easily electricity travels through a material	nongold
99	being  on something; placed in something; placed over something means touching  that something	nongold
