Question	If you breathe on a mirror, part of the mirror clouds up. What are you actually seeing when you see the mirror cloud up?	question
Answer	Water droplets that formed from cooled water vapor in your breath	answer
0	a droplet is a small amount of liquid	nongold
1	a droplet is a kind of little drop	gold
2	clouds are made of water vapor; rain droplets	nongold
3	a drop is a small amount of liquid	gold
4	a mirror is a kind of reflective object	nongold
5	an image in a mirror is formed by reflecting light	nongold
6	a drop is a kind of liquid small amount	nongold
7	a mirror is used for reflecting light	nongold
8	temperature drop means cooling	nongold
9	breath contains water vapor	gold
10	a mirror reflects light	nongold
11	a cloud is a kind of object	nongold
12	water is a kind of liquid at room temperature	gold
13	temperature is a measure of heat energy	nongold
14	cooling;colder means removing;reducing;decreasing heat;temperature	nongold
15	a mirror has a shiny surface	nongold
16	heat means heat energy	nongold
17	drop means decrease	nongold
18	vapor is synonymous with gas	nongold
19	water is a kind of substance	gold
20	condensation causes clouds to form	nongold
21	to be made of something means to be formed of that something	nongold
22	reflection is a property of light	nongold
23	reflection is when light is reflected from one object; one place to  another object; another place	nongold
24	a glass contains water	nongold
25	liquid is a kind of state of matter	nongold
26	gas is a kind of state of matter	nongold
27	to see means to look	nongold
28	water droplets scatter light	nongold
29	a liquid is a kind of substance	nongold
30	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
31	gas is a kind of substance	nongold
32	water is a kind of matter	nongold
33	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	nongold
34	state means form	nongold
35	sight means to see	nongold
36	temperature drop means temperature decrease	nongold
37	to add means to increase	nongold
38	cooling means temperature decreases	nongold
39	water is in the gas state , called water vapor; steam , for temperatures between 373; 212; 100 and 100000000000 K; F; C	gold
40	an increase is the opposite of a decrease	nongold
41	water is a kind of object	nongold
42	clouds are formed by water vapor rising into colder regions of the atmosphere and condensing	nongold
43	to cause the formation of means to form	nongold
44	heat energy is synonymous with thermal energy	nongold
45	gas is a kind of object	nongold
46	substances are made of matter	nongold
47	objects are made of materials; substances; matter	nongold
48	cloudy means the presence  of clouds in the sky	nongold
49	glass is a kind of solid at room temperature	nongold
50	steam;water vapor is a kind of water above 100 degrees celsius	nongold
51	hot means high in heat energy; temperature	nongold
52	absorbing energy causes objects; materials; substances to heat	nongold
53	high is similar to increase	nongold
54	to be formed by is similar to being produced by	nongold
55	seeing is used for sensing visual things	nongold
56	a surface is a part of an object	nongold
57	sight is a kind of sense	nongold
58	glass is a kind of object	nongold
59	water vapor;steam cooling causes that water vapor;steam to condense	gold
60	eyes are a part of a human for seeing	nongold
61	steam; water vapor is a kind of water phase	nongold
62	to reduce means to decrease	nongold
63	a cloud is a kind of weather	nongold
64	reflection is when particles bounce off a surface	nongold
65	sight means vision	nongold
66	if heat is added to a substance then that substance absorbs that heat	nongold
67	the eyes are part of the head used for seeing	nongold
68	to breathe in means to absorb air	nongold
69	condensation is when matter; a substance changes from a gas into a liquid by decreasing heat energy	nongold
70	heating means adding heat	nongold
71	to change into means to form	nongold
72	low is similar to decrease	nongold
73	moisture means liquid; liquid water	nongold
74	eyes are usually part of an animal for seeing	nongold
75	to view means to see	nongold
76	reflection is when a wave bounces off a surface and travels in the  opposite direction relative to the angle of incidence	nongold
77	form means kind	nongold
78	matter in the liquid state drips	nongold
79	heating is the opposite of cooling	nongold
80	clouds are usually found in the sky	nongold
81	condensing causes a liquid to form	gold
82	beads of water are formed by water vapor condensing	nongold
83	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
84	if a hot object; substance is exposed to; touches a cold object; substance then that object; that substance will likely cool	gold
85	a source of something emits; produces; generates; provides that something	nongold
86	if an object is made of something then the parts of that object are made of that something	nongold
87	a surface is a part of a material	nongold
88	heat means temperature increases	nongold
89	if a material; a substance is a mixture of two or more materials or substances then that material; substance is made; is formed; contains those materials; substances	nongold
90	an part of an object is smaller than the entire object	nongold
91	if heat is absorbed from a source then that heat source will cool	nongold
92	water is a kind of water phase	nongold
93	an increase is a kind of change	nongold
94	can be means able to be	nongold
95	formation of a state of matter is a kind of process	nongold
96	being  on something; placed in something; placed over something means touching  that something	gold
97	solid is a kind of state of matter	nongold
98	glass is a kind of material	nongold
99	to lower means to decrease	nongold
