Question	When a person speaks into a telephone, sound energy is changed mostly into which form of energy?	question
Answer	electrical	answer
0	a telephone is a kind of electrical device for communication	gold
1	speaker converts electrical energy; electricity into vibrations; sound energy	nongold
2	talking is when a human produces sound to communicate	nongold
3	form means kind	gold
4	a person speaking is a source of sound	nongold
5	telephones are used for communication by two people by transmitting sound	nongold
6	person is synonymous with human	nongold
7	human voice is a kind of sound	nongold
8	a person is a kind of animal	nongold
9	electrical devices convert from electrical energy; electricity into other forms of energy	nongold
10	sound means sound energy	nongold
11	sound is a kind of sound energy	gold
12	the encoders in the telephone convert sound energy into electrical energy	gold
13	a telephone is used for communication by humans over long distances	gold
14	sound is a kind of energy	nongold
15	electrical energy is a kind of energy	nongold
16	electricity means electrical energy	nongold
17	speaking is a kind of communication	gold
18	a human is a kind of animal	nongold
19	a telephone is a kind of technology	nongold
20	a telephone is a kind of tool	nongold
21	state means form	nongold
22	an animal is a kind of living thing	nongold
23	energy transformation means one kind of energy changes into another kind of energy	nongold
24	sound can be used for communication by animals	nongold
25	a doorbell converts electrical energy; electricity into sound energy	nongold
26	to convert means to change	gold
27	sound is produced when mechanical energy is transformed into sound energy	nongold
28	electric devices require electrical energy to function	nongold
29	electricity is used as an energy source by electrical devices	nongold
30	the cellular telephone was invented in 1973	nongold
31	a user is a kind of person	nongold
32	when sound reaches the ear , that sound can be heard	nongold
33	electrical signals are made of electrical energy	nongold
34	ringing is a kind of action	nongold
35	two people that are far apart can communicate through a telephone	nongold
36	light is a kind of energy	nongold
37	light is a kind of energy	nongold
38	a living thing is a kind of object	nongold
39	answering questions requires information	nongold
40	a device is a kind of object	nongold
41	an animal is a kind of organism	nongold
42	mostly means being the most	nongold
43	noise means sound	nongold
44	a source of something emits; produces; generates; provides that something	nongold
45	converting is similar to generating	nongold
46	a telephone contians an encoder	nongold
47	forming is similar to converting	nongold
48	to transform means to convert	nongold
49	to change into means to form	nongold
50	to modify means to change	nongold
51	hearing is used for sensing sound by animals	nongold
52	if the component of something changed , then the whole thing will change	nongold
53	hearing is a kind of sense	nongold
54	if something is powered by something else then that something requires a source of that something else	nongold
55	language is a kind of communication	nongold
56	converting is similar to producing	nongold
57	convert is similar to transfer	nongold
58	a hum is a kind of sound	nongold
59	if something transfers something else then that something is a source of something else	nongold
60	sound waves means sound energy	nongold
61	converting is a kind of function	nongold
62	an increase is a kind of change	nongold
63	usually means most of the time	nongold
64	adding something is a kind of change	nongold
65	metal is an  electrical; electrical energy conductor	nongold
66	to turn means to convert	nongold
67	transfer is a kind of change	nongold
68	a bell ringing is a source of sound	nongold
69	vibrations are a source of sound	nongold
70	to turn means to change	nongold
71	where something  comes from is a source of that something	nongold
72	electrical impulses are a kind of electrical energy	nongold
73	sound wave is similar to sound	nongold
74	to input means to add	nongold
75	a machine is a kind of  device	nongold
76	affected means changed	nongold
77	matter; molecules vibrating can cause sound	nongold
78	electrical current means electrical energy	nongold
79	forming something is a kind of change	nongold
80	can be means able to be	nongold
81	electrical devices are used for industrial purposes; household purposes by humans	nongold
82	operating electrical appliances requires electricity	nongold
83	musical instruments make sound when they are played	nongold
84	sound waves transfer energy	nongold
85	light means light energy	nongold
86	objects are made of materials; substances; matter	nongold
87	a change is a kind of event	nongold
88	electric shock occurs when a person contacts a source of electrical energy	nongold
89	a radio converts electrical energy into vibrations; sound energy	nongold
90	acoustic signal is a kind of sound wave	nongold
91	communication has a positive impact on a person's life	nongold
92	to be made of something means to be formed of that something	nongold
93	the function of something is what that something  is used to do	nongold
94	to be formed by is similar to being produced by	nongold
95	to form means to create	nongold
96	a device requires energy to operate	nongold
97	an event is a kind of action	nongold
98	variable means able to change	nongold
99	electricity sometimes is used for heating buildings; substances	nongold
