Question	When a baby shakes a rattle, it makes a noise. Which form of energy was changed to sound energy?	question
Answer	mechanical	answer
0	a rattle is a kind of vibration	nongold
1	a rattle is a kind of object	nongold
2	rattle is similar to vibrate	nongold
3	rattle is a kind of motion	nongold
4	mechanical energy can  cause objects to move	nongold
5	mechanical energy is used to move something by animals	gold
6	mechanical energy is a kind of energy	gold
7	sound is produced when mechanical energy is transformed into sound energy	nongold
8	noise means sound	gold
9	An example of mechanical energy is an object in motion	nongold
10	form means kind	gold
11	sound means sound energy	nongold
12	loud means high in sound energy;sound intensity	nongold
13	kinetic energy is a kind of mechanical energy	nongold
14	shaking is a kind of motion	gold
15	sound is a kind of sound energy	nongold
16	a living thing is a kind of object	nongold
17	an animal is a kind of living thing	nongold
18	vibration is a kind of motion	nongold
19	energy transformation means one kind of energy changes into another kind of energy	nongold
20	sound is a kind of energy	gold
21	state means form	nongold
22	matter; molecules vibrating can cause sound	nongold
23	the kinetic energy of an object can change from kinetic energy to sound energy by hitting another object	nongold
24	to cause means to make	nongold
25	vibrating matter can produce sound	nongold
26	make means produce	gold
27	if an object; a substance makes something then that object; that substance is a source of that thing	nongold
28	a baby is a kind of young animal	gold
29	vibrations are a source of sound	nongold
30	to make means to form	nongold
31	mechanical energy exerted by an object can be used to push or pull another object	nongold
32	a child is a kind of young human	nongold
33	an animal requires energy to move	nongold
34	an animal is a kind of organism	nongold
35	a human is a kind of animal	nongold
36	a simple machine requires mechanical energy to function	nongold
37	a machine is a kind of object	nongold
38	to convert means to change	gold
39	a source of something emits; produces; generates; provides that something	nongold
40	when an animal moves , chemical energy is converted to mechanical energy	nongold
41	baby is similar to immature	nongold
42	an organism is a living thing	nongold
43	a machine is a kind of  device	nongold
44	motion is a source of kinetic energy in an object	nongold
45	a vehicle is a kind of object	nongold
46	when two objects are touched; are contacted; move against each other , sound is produced	nongold
47	intense sound energy can move objects	nongold
48	baby animals become adult animals	nongold
49	motion; movement means moving; to move	gold
50	volume; sound intensity is a property of sound; sound energy and includes ordered values of quiet; normal; loud	nongold
51	musical instruments make sound when they are played	nongold
52	objects are made of materials; substances; matter	nongold
53	newborn is similar to baby	nongold
54	to modify means to change	nongold
55	movement is a kind of change	nongold
56	mechanical force is a kind of mechanical energy	nongold
57	particles in objects are a kind of matter	nongold
58	to be made of something means to be formed of that something	nongold
59	volume means the loudness of a sound	nongold
60	to turn means to change	nongold
61	loud noises can cause animals to startle	nongold
62	material means substance	nongold
63	sound waves means sound energy	nongold
64	a hum is a kind of sound	nongold
65	sound requires matter to travel	nongold
66	becoming is similar to changing	nongold
67	shaking is similar to shifting	nongold
68	sound can be used for communication by animals	nongold
69	affected means changed	nongold
70	sound is a kind of air vibration	nongold
71	oscillation means physical vibration	nongold
72	speaker converts electrical energy; electricity into vibrations; sound energy	nongold
73	a tool is a kind of object	nongold
74	to transform means to convert	nongold
75	a motion is a kind of event; action	nongold
76	solid is a kind of state of matter	nongold
77	motion is when moves an object; something to a direction	nongold
78	a device is a kind of object	nongold
79	An example of an object with kinetic energy is an object in motion	nongold
80	a particle is a kind of object	nongold
81	to change means to become different	nongold
82	variable means able to change	nongold
83	substances are made of matter	nongold
84	newborn means just born	nongold
85	friction converts mechanical energy into heat energy	nongold
86	a surface is a part of an object	nongold
87	as the force with which an object is touched increases , the amount of  mechanical energy converted to sound energy will increase	nongold
88	alteration means change	nongold
89	sound wave is a kind of mechanical wave	nongold
90	pulling is a kind of motion	nongold
91	a fan converts electrical energy into mechanical energy; heat energy; sound energy	nongold
92	locomotion means movement	nongold
93	louder means higher; greater in volume	nongold
94	heat is a kind of energy	nongold
95	to add means to increase	nongold
96	forming something is a kind of change	nongold
97	a baby is the offspring of a parent	nongold
98	a baby is the offspring of a parent	nongold
99	to give off means to be the source of	nongold
