Question	What is the result of cellular respiration?	question
Answer	Energy for cell processes is released.	answer
0	cellular respiration is when a cell converts from oxygen and carbohydrates into carbon dioxide, water, and energy	nongold
1	cellular respiration is a kind of process	nongold
2	respiration releases energy	nongold
3	cellular respiration is when cells break down; extract energy from food to produce energy	gold
4	to cause means to result in	nongold
5	all cells perform cellular respiration	nongold
6	cellular respiration is cellular digestion	nongold
7	to produce means to result in	nongold
8	cellular energy is a kind of chemical energy	nongold
9	result means outcome	nongold
10	a plant cell is a kind of cell	nongold
11	producing is similar to releasing	gold
12	to emit means to release	nongold
13	an animal cell is a kind of cell	nongold
14	cellular respiration is a source of energy for cell activities	nongold
15	product means result	gold
16	a cycle is a kind of process	nongold
17	to be formed by is to be the result of	nongold
18	a source of something emits; produces; generates; provides that something	nongold
19	In the cellular respiration process heat is a by-product in animals	nongold
20	living things require respiration to use energy	nongold
21	cell activity means cell process	gold
22	evaporation is a kind of process	nongold
23	produce is similar to release	nongold
24	if something causes a process then that something is required for that process	nongold
25	converting is similar to releasing	nongold
26	if something releases something else then that something is the source of that something else	nongold
27	to give off means to be the source of	nongold
28	a process usually requires all of the stages in that process	nongold
29	if something is a raw material in a process then that something is required for that process	nongold
30	chemical energy is a kind of energy	nongold
31	maintaining homeostasis requires respiration	nongold
32	nutrients are a source of energy for living things	nongold
33	a process is a kind of event	nongold
34	a cell absorbs nutrients	nongold
35	living things perform biological processes	nongold
36	to exhale means to release	nongold
37	a living thing is made of cells	nongold
38	a plant is made of plant cells	nongold
39	In the cellular respiration; animal respiration process carbon dioxide is a waste product	nongold
40	to add means to increase	nongold
41	food is a source of energy for animals; plants	nongold
42	a reaction is a kind of process	nongold
43	food is a kind of chemical energy	nongold
44	an organism is a living thing	nongold
45	if something is required for a process then that something positively impacts that process	nongold
46	producing is a kind of process	nongold
47	a part of a process means a stage in a process	nongold
48	photosynthesis is a source of; makes food; energy for the plant by converting carbon dioxide, water, and sunlight into carbohydrates	nongold
49	if something is given off of something , then something is the product of something	nongold
50	exergonic chemical reactions only release energy	nongold
51	releasing energy is a kind of function	nongold
52	if something releases something else then that something else decreases in that something	nongold
53	all cells require energy	nongold
54	life means living things	nongold
55	oxygen; glucose is used for providing energy to cells by mitochondrion	nongold
56	change is a kind of process	nongold
57	a step in a process means a stage in a process	nongold
58	high is similar to increase	nongold
59	oxygen is a stage in the carbon dioxide-oxygen cycle process	nongold
60	to be used for something means to be required by that something	nongold
61	photosynthesis is a kind of chemical  process	nongold
62	increase means more	nongold
63	to give is similar to to cause	nongold
64	a human cell is a kind of cell	nongold
65	carbon dioxide is a kind of gas	nongold
66	plant cells can perform photosynthesis	nongold
67	heat is a kind of energy	nongold
68	taking in and releasing means exchanging	nongold
69	an event is a kind of action	nongold
70	an animal is a kind of organism	nongold
71	to depend on; to rely on; to need means to require	nongold
72	a source of something increases the amount of that something	nongold
73	an organism breaks down sugar to release energy	nongold
74	producing is similar to causing	nongold
75	if an event is required for a process then that event must occur before that process can occur	nongold
76	a cell produces carbon dioxide for waste	nongold
77	if something emits something else then that something increases the amount of that something else	nongold
78	the function of something is what that something  is used to do	nongold
79	to cause means to have an effect	nongold
80	nutrients are a kind of matter	nongold
81	heat means heat energy	nongold
82	if something generates energy for something else then that something powers that something else	nongold
83	emit means produce	nongold
84	a result of something is evidence of that something	nongold
85	an animal is a kind of living thing	nongold
86	the respiratory system performs respiration	nongold
87	an increase is a kind of change	nongold
88	metabolism is the sum of all chemical reactions in an animal's body	nongold
89	photosynthesis is a kind of chemical reaction	nongold
90	food contains carbohydrates	nongold
91	to be formed by is similar to being produced by	nongold
92	a component of something means a part of that something	nongold
93	energy transformation means one kind of energy changes into another kind of energy	nongold
94	to be a source of something means to cause that something	nongold
95	plants are a source of oxygen through photosynthesis	nongold
96	growing is a kind of process	nongold
97	the formation of something is a kind of process	nongold
98	cells require oxygen for fuel	nongold
99	a cell is a kind of object	nongold
