Question	An object's hardness, taste, and texture are examples of	question
Answer	properties	answer
0	a kind of something is an example of that something	gold
1	an object has properties	nongold
2	hardness is a kind of physical property	nongold
3	hardness is a property of a material; an object and includes ordered values of malleable; rigid	gold
4	texture is a kind of physical property	nongold
5	soft is a kind of hardness	nongold
6	texture is a property of  surfaces; materials; objects and includes ordered  values of smooth; rough	gold
7	taste is a kind of property	gold
8	texture means how an object feels	nongold
9	hardness is an intensive property	nongold
10	the properties of something are used for describing that something	nongold
11	structure is a property of an object; a material; a substance	nongold
12	objects are made of materials; substances; matter	nongold
13	luster is a property of  an object; a material and includes ordered values of dull; shiny	nongold
14	smooth is a kind of texture	nongold
15	an animal is a kind of living thing	nongold
16	what an object is made of is a kind of characteristic	nongold
17	a property of something is a feature of that something	nongold
18	if an object is made of a material then that object has the properties of that material	nongold
19	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
20	a surface is a part of an object	nongold
21	durability is a property of materials; objects and includes ordered values of durable; not durable	nongold
22	property is similar to measurement	nongold
23	a human is a kind of animal	nongold
24	to be characterized by  a property means to have that property	nongold
25	a type of something is a kind of property of that something	nongold
26	a property is similar to a factor	nongold
27	shape is a property of an object	nongold
28	the texture of an object can sometimes be told by looking at the object	nongold
29	a surface is a kind of object	nongold
30	a type is synonymous with a kind	nongold
31	shape is a kind of physical property	nongold
32	soft is a kind of touch sensation	nongold
33	characteristic means property	nongold
34	hardness is a measure of a mineral's ability to resist scratching	nongold
35	sharpness is a property of shape	nongold
36	high is similar to increase	nongold
37	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
38	composition is a property of an object; matter	nongold
39	durability is a kind of property	nongold
40	thickness is a property of an object and includes ordered  values of thin; thick	nongold
41	substances are made of matter	nongold
42	materials are made of matter	nongold
43	a living thing is a kind of object	nongold
44	a structure is a kind of feature	nongold
45	shape is an extensive property	nongold
46	low is the opposite of high	nongold
47	an object; material; substance comes from that object or material's source	nongold
48	sweet is a kind of flavor	nongold
49	a source of something emits; produces; generates; provides that something	nongold
50	recyclability is a property of a material and includes ordered values of nonrecyclable; recyclable	nongold
51	a body part is a kind of object	nongold
52	material composition is a kind of chemical property	nongold
53	surface type is a kind of characteristic	nongold
54	a surface is a part of a material	nongold
55	moisture means liquid; liquid water	nongold
56	an object is an item	nongold
57	an increase is a kind of change	nongold
58	the luster of an object can be determined by looking at that object	nongold
59	if an object; a substance makes something then that object; that substance is a source of that thing	nongold
60	aspect is similar to property	nongold
61	felt is high in roughness	nongold
62	a tool is a kind of object	nongold
63	low is similar to decrease	nongold
64	food is a kind of object	nongold
65	animals taste flavors	nongold
66	an increase is the opposite of a decrease	nongold
67	classifying is when one sorts something by kind; type	nongold
68	classifying means grouping objects; materials by their properties	nongold
69	a  solution  is a kind of object	nongold
70	counter means reduce; stop; resist	nongold
71	heat means heat energy	nongold
72	to create means to make	nongold
73	down is soft	nongold
74	depth is a property of the shape of an object	nongold
75	an animal is a kind of organism	nongold
76	taste is a kind of sense	nongold
77	liquid is a kind of state of matter	nongold
78	rough is the opposite of smooth	nongold
79	definite is the opposite of variable	nongold
80	an object is made of its parts	nongold
81	color is a property of  an object; a material	nongold
82	what something needs is a property of that something	nongold
83	friction occurs when two object's surfaces move against each other	nongold
84	trait means property	nongold
85	measuring the hardness of minerals requires  scratching those materials	nongold
86	the properties of something can be used to identify; used to describe that something	nongold
87	appearance is a property of objects; materials	nongold
88	friction causes the temperature of an object to increase	nongold
89	solid is a kind of state of matter	nongold
90	chemical composition is a kind of property	nongold
91	to enhance means to increase	nongold
92	surface area is a property of shape	nongold
93	shape of the parts of something is a property of that something	nongold
94	to produce means to create	nongold
95	impact means effect	nongold
96	an part of an object is smaller than the entire object	nongold
97	flatness is a property of a surface; the shape of an object and includes ordered values of uneven; flat	nongold
98	shape is a kind of characteristic	nongold
99	to impact means to affect	nongold
