Question	In animal skin tissue, cell division is responsible for	question
Answer	growth and repair	answer
0	cell division often causes growth; healing	gold
1	to have a function is similar to to be responsible for	nongold
2	an animal cell is a kind of cell	nongold
3	skin is a part of an animal; plant	nongold
4	cell division means cell reproduction	nongold
5	cell division is a kind of process	nongold
6	an animal is a kind of living thing	nongold
7	an animal is a kind of organism	nongold
8	to cause means to be responsible for	gold
9	an animal requires nutrients to grow and heal	nongold
10	cancer is a kind of abnormal cell division	nongold
11	skin is the first; outermost layer around the body of some animals	nongold
12	a cell nucleus is a part of a cell	nongold
13	the body of an animal contains arteries; veins	nongold
14	an animal; living thing requires nutrients for survival	nongold
15	all living things grow	nongold
16	skin is a kind of organ	nongold
17	cells are a part of the body	nongold
18	cell division increases the number of cells in the body	nongold
19	the function of something is what that something  is used to do	nongold
20	cellular respiration is a kind of process	nongold
21	the cell nucleus controls many of the functions of the cell	nongold
22	cancerous cells are formed by abnormal cell division	nongold
23	all cells perform cellular respiration	nongold
24	protein is used to repair  cells by the human body	nongold
25	cells are a smaller level of organization than tissues in living things	nongold
26	growth is a kind of process	nongold
27	to repair means to heal	gold
28	a living thing is made of cells	nongold
29	repairing an organism requires cells working together	nongold
30	living things perform biological processes	nongold
31	an animal is a kind of eukaryote	nongold
32	a human cell is a kind of cell	nongold
33	an organism is a living thing	nongold
34	the parent cell is the original cell	nongold
35	tissue is a kind of group of cells with a common structure that work together to perform a similar function	nongold
36	animals are a part of the biological kingdom Animalia	nongold
37	a body cell means a somatic cell	nongold
38	cell activity means cell process	nongold
39	an organism requires energy for growth; repair	nongold
40	as the structural complexity of a cell increases , the speed with which the cell can divide decreases	nongold
41	tissues are a smaller level of organization than organs in living things	nongold
42	a fungus is a kind of organism	nongold
43	metamorphosis is a kind of process	nongold
44	a cell is very small	nongold
45	breaking down is a kind of function	nongold
46	a source of something emits; produces; generates; provides that something	nongold
47	a part of a living thing is a natural structure	nongold
48	a human is a kind of animal	nongold
49	developing means growing	nongold
50	mitosis produces cells that are identical to the parent cell	nongold
51	the body is a part of an organism	nongold
52	a plant cell is a kind of cell	nongold
53	the nucleus is a kind of cell organelle	nongold
54	a process is a kind of event	nongold
55	to repair means to fix damage	nongold
56	forming is similar to growing	nongold
57	a process usually requires all of the stages in that process	nongold
58	a part of a process means a stage in a process	nongold
59	producing is a kind of function	nongold
60	metamorphosis is a stage in the life cycle process of some animals	nongold
61	an animal; bacterium requires oxygen for survival; to breathe	nongold
62	cellular respiration is when cells break down; extract energy from food to produce energy	nongold
63	the formation of something is a kind of process	nongold
64	organs are made of different types of  cellular tissues	nongold
65	answering questions requires information	nongold
66	if something performs a task then that task is that something's function	nongold
67	if something causes a process then that something is required for that process	nongold
68	growth is a stage in the life cycle process	nongold
69	all living things are made of cells according to the cell theory	nongold
70	converting is a kind of function	nongold
71	the skin is a part of the integumentary system	nongold
72	to be used for something means to be required by that something	nongold
73	a component means a part of	nongold
74	causing is a kind of function	nongold
75	a cell absorbs nutrients	nongold
76	growth means size;number;value;strength increases	nongold
77	a fungus is a kind of living thing	nongold
78	basic life functions occur in the cells of organisms	nongold
79	to be formed by is similar to being produced by	nongold
80	good bacteria grow on the skin; a human's skin	nongold
81	role means function	nongold
82	decomposition is a kind of process	nongold
83	a backbone is a part of a vertebrate animal	nongold
84	growth is a kind of change	nongold
85	the cell is the most basic structural unit of life	nongold
86	an event is a kind of action	nongold
87	forming is a kind of action	nongold
88	the ability to grow is a kind of trait	nongold
89	cellular respiration is when a cell converts from oxygen and carbohydrates into carbon dioxide, water, and energy	nongold
90	a plant is a kind of organism	nongold
91	a component of something means a part of that something	nongold
92	a plant is made of plant cells	nongold
93	protecting is a kind of function	nongold
94	a protozoan is a kind of animal	nongold
95	to be a vehicle for is a kind of function	nongold
96	to split means to break down	nongold
97	metamorphosis means complete metamorphosis	nongold
98	if something is insoluble in something , then they will remain separated	nongold
99	a single-cell organism cannot specialize	nongold
