Question	Feathers, wings, and the hollow bones of birds are examples of	question
Answer	adaptations for flight	answer
0	An example of an adaptation for flight in birds is feathers; wings; hollow bones	gold
1	an adaptation is a kind of characteristic	nongold
2	an adaptation is an adaptive feature	nongold
3	an adaptation; an ability has a positive impact on an animal's; living thing's survival; health; ability to reproduce	nongold
4	a feather is a kind of object	nongold
5	a bird is a kind of living thing	nongold
6	feathers are a part of a bird	nongold
7	wings are a part of a bird	nongold
8	a kind of something is an example of that something	nongold
9	a bird is a kind of animal	nongold
10	adaptations are used for survival	nongold
11	an animal is a kind of living thing	nongold
12	a living thing is a kind of object	nongold
13	a bone is a part of some animals	nongold
14	trait is synonymous with characteristic	nongold
15	well-suited is similar to adapted	nongold
16	a structure of something is synonymous with a part of that something	nongold
17	adaptation is when an organism develops a trait over time for survival	nongold
18	an adaptation is a kind of change	nongold
19	wings are a part of some insects	nongold
20	an organism is a living thing	nongold
21	An example of an adaptation is moving fast	nongold
22	to be used for something means to be required by that something	nongold
23	a bone is a part of a body	nongold
24	nest building is a kind of adaptation	nongold
25	what an object is made of is a kind of characteristic	nongold
26	an animal is a kind of organism	nongold
27	flying is a kind of locomotion	nongold
28	inherited characteristics are the opposite of learned characteristics; acquired characteristics	nongold
29	flying is a kind of motion through air; space	nongold
30	life means living things	nongold
31	a limb often contains bones	nongold
32	characteristic means property	nongold
33	an animal is a member of an animal species	nongold
34	adult birds usually fly	nongold
35	a part of something means a characteristic of something	nongold
36	a part of a living thing is a natural structure	nongold
37	Physical adaptation; structural adaptation is a physical  change in a population over successive generations that  helps individual organisms in that population to  survive; reproduce	nongold
38	trait means property	nongold
39	requiring is similar to needing help	nongold
40	strong beaks; sharp beaks are a kind of adaptation for catching prey	nongold
41	a learned characteristic is a kind of acquired characteristic	nongold
42	living things can all reproduce	nongold
43	if an object is made of something then the parts of that object are made of that something	nongold
44	a structure is a kind of feature	nongold
45	objects are made of materials; substances; matter	nongold
46	An example of a fossil is the bones of an extinct animal	nongold
47	migration is a kind of adaptation	nongold
48	requiring something means needing that something	nongold
49	an object is made of its parts	nongold
50	an inherited characteristic is a kind of characteristic	nongold
51	an adaptation  is  a change in a population over successive generations that  helps  individuals organisms in that population to  survive; reproduce	nongold
52	an animal; living thing requires nutrients for survival	nongold
53	a type is synonymous with a kind	nongold
54	wings are used to fly through air by birds	nongold
55	an increase is the opposite of a decrease	nongold
56	coloration is a kind of adaptation for hiding;camouflage	nongold
57	can be means able to be	nongold
58	high is similar to increase	nongold
59	answering questions requires information	nongold
60	flight is similar to a movement in the air made by an airplane	nongold
61	bones can be fossilized	nongold
62	structure is a property of an object; a material; a substance	nongold
63	a beak is a part of a bird	nongold
64	if a living thing requires something then that something has a positive impact on that living thing	nongold
65	down is a kind of small feather	nongold
66	low is similar to decrease	nongold
67	ability is a kind of characteristic	nongold
68	dying is the opposite of living; surviving	nongold
69	an insect is a kind of animal	nongold
70	species is an inherited characteristic	nongold
71	an object has properties	nongold
72	organisms mean life	nongold
73	a body part is a kind of object	nongold
74	essential means required	nongold
75	to depend on; to rely on; to need means to require	nongold
76	affected means changed	nongold
77	down feathers are a kind of material	nongold
78	the properties of something are used for describing that something	nongold
79	a plant is a kind of living thing	nongold
80	Behavioral adaptation is a behavioral change in a population over successive generations that  helps individual organisms in that population to  survive; reproduce	nongold
81	helping something has a  positive impact on that something	nongold
82	feature is synonymous with characteristic	nongold
83	an part of an object is smaller than the entire object	nongold
84	motion; movement means moving; to move	nongold
85	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
86	to impact means to affect	nongold
87	an animal requires air for survival	nongold
88	bone is hard	nongold
89	all living things have life cycles	nongold
90	a reptile is a kind of animal	nongold
91	the condition of parts of an organism are acquired characteristics	nongold
92	both means two	nongold
93	survival means to survive	nongold
94	survive means live	nongold
95	survive means live	nongold
96	a source of something emits; produces; generates; provides that something	nongold
97	the body is a part of an organism	nongold
98	if the feathers of a bird are a color then that bird is that color	nongold
99	if an object is made of a material then that object has the properties of that material	nongold
