Question	Which group of organisms can show significant trait changes in the shortest period of time?	question
Answer	bacteria	answer
0	bacteria can show significant trait changes in the shortest period of time	gold
1	bacteria is a kind of living thing	nongold
2	length of time means period of time	nongold
3	a bacterium is a kind of organism	gold
4	shortest means the least amount of time	nongold
5	evolution causes significant trait changes in a species	nongold
6	period is similar to amount of time	nongold
7	to belong to a group means to be a kind of something	gold
8	trait is synonymous with characteristic	nongold
9	species means a group of like organisms	nongold
10	an organism is a living thing	nongold
11	bacteria is small; microscopic in size	nongold
12	bacteria have the greatest amount of diversity	nongold
13	bacteria is a kind of pathogen sometimes	nongold
14	species is an inherited characteristic	nongold
15	an increase is a kind of change	nongold
16	an animal is a kind of living thing	nongold
17	an animal is a kind of organism	nongold
18	an increase is the opposite of a decrease	nongold
19	to change means to have an effect	nongold
20	to show means to display	nongold
21	bacteria sometimes cause disease	nongold
22	longest means greatest in length	nongold
23	to belong to a group means to be classified in that group	nongold
24	organisms mean life	nongold
25	inherited characteristics are the opposite of learned characteristics; acquired characteristics	nongold
26	quickly means in a short period of time	nongold
27	an inherited characteristic is a kind of characteristic	nongold
28	affected means changed	nongold
29	a part of something means a characteristic of something	nongold
30	inherited characteristics can change over several generations	nongold
31	a decrease is a kind of change	nongold
32	bacteria; molds; yeast cause food to spoil	nongold
33	genes are able to determine the inherited characteristics of a living thing	nongold
34	a measure of time is a length of time	nongold
35	variable means able to change	nongold
36	shortest means least; smallest in length	nongold
37	bacillus is a kind of rod-shaped bacteria	nongold
38	shorter means decreased length	nongold
39	a bacterium is a kind of decomposer	nongold
40	can be means able to be	nongold
41	high is similar to increase	nongold
42	how long something takes is a kind of measurement of time	nongold
43	trait means property	nongold
44	each is similar to individual	nongold
45	an animal is a member of an animal species	nongold
46	inheriting is when an inherited characteristic is copied; is passed from parent to offspring by genetics;DNA	nongold
47	characteristic means property	nongold
48	long means great in length	nongold
49	to impact means to affect	nongold
50	living things can all reproduce	nongold
51	the ability to grow is a kind of trait	nongold
52	good bacteria have a positive impact on a living thing's survival; health	nongold
53	to change means to become different	nongold
54	increase means more	nongold
55	to cause means to have an effect	nongold
56	change is a kind of impact	nongold
57	to group means to separate	nongold
58	can means having the ability to	nongold
59	together means in a group	nongold
60	little is similar to decrease	nongold
61	a plant is a kind of organism	nongold
62	a living thing is a kind of object	nongold
63	to add means to increase	nongold
64	a change is a kind of event	nongold
65	life means living things	nongold
66	the size of an organism is an inherited characteristic	nongold
67	instantaneously means short in time	nongold
68	to display means to exhibit	nongold
69	to demonstrate means to exhibit	nongold
70	a decomposer is usually a bacterium; fungus	nongold
71	impact means effect	nongold
72	the length of body parts is an inherited characteristic	nongold
73	if something affects a part of something else then that something affects that something else	nongold
74	bacteria is a part of soil	nongold
75	a learned characteristic is a kind of acquired characteristic	nongold
76	low is similar to decrease	nongold
77	traits can be determined by one pair; many pairs of genes in an organism	nongold
78	to change means to cause a change	nongold
79	less is similar to decrease	nongold
80	the condition of parts of an organism are acquired characteristics	nongold
81	an animal; bacterium requires oxygen for survival; to breathe	nongold
82	unchanged means not changed	nongold
83	In the food chain process bacteria have the role of decomposer	nongold
84	bacteria grow in a bacterial culture	nongold
85	an animal; living thing requires nutrients for survival	nongold
86	years are a kind of unit for measuring time	nongold
87	a fungus is a kind of organism	nongold
88	an organism's environment affects that organism's acquired characteristics	nongold
89	having an impact on something means altering that something	nongold
90	if something causes an increase in something else then that something produces that something else	nongold
91	growth is a kind of change	nongold
92	genes is a vehicle for passing inherited characteristics from parent to offspring	nongold
93	bacteria can help digest food in humans	nongold
94	growth means size;number;value;strength increases	nongold
95	to report means to show	nongold
96	grouping means putting; placing in different groups	nongold
97	genetic; hereditary means of genes; heredity	nongold
98	changed is the opposite of unchanged	nongold
99	answering questions requires information	nongold
