Question	What form of energy is being used when a person pushes a wooden block across the floor?	question
Answer	mechanical	answer
0	pushing is a kind of motion	nongold
1	mechanical energy exerted by an object can be used to push or pull another object	nongold
2	an object being pushed across another object causes their surfaces to move against each other	nongold
3	mechanical energy is used to move something by animals	gold
4	mechanical energy is a kind of energy	gold
5	the floor is a kind of object	nongold
6	a person is a kind of animal	nongold
7	a block is a kind of object	gold
8	mechanical energy can  cause objects to move	nongold
9	form means kind	gold
10	An example of mechanical energy is an object in motion	nongold
11	wood is a kind of object	nongold
12	pulling is a kind of motion	nongold
13	a machine is a kind of object	nongold
14	motion; movement means moving; to move	nongold
15	person is synonymous with human	gold
16	a surface is a part of a material	nongold
17	mechanical force is a kind of mechanical energy	nongold
18	a surface is a part of an object	nongold
19	if one surface is moved against; moved over; moved down another surface then those surfaces are touching	nongold
20	push is a kind of force; application of force	nongold
21	kinetic energy is a kind of mechanical energy	nongold
22	pushing an object requires force	nongold
23	friction converts mechanical energy into heat energy	nongold
24	vibration is a kind of motion	nongold
25	ground means floor	nongold
26	a human is a kind of animal	gold
27	friction occurs when two object's surfaces move against each other	nongold
28	a tool is a kind of object	nongold
29	wood has a smooth surface	nongold
30	if an object slides across another object then those objects are touching	nongold
31	a simple machine requires mechanical energy to function	nongold
32	a surface is a kind of object	nongold
33	friction exerts force on moving objects	nongold
34	a room is a kind of object	nongold
35	material means substance	nongold
36	motion is a source of kinetic energy in an object	nongold
37	to be used for something means to be required by that something	nongold
38	state means form	nongold
39	wood is a kind of energy resource	nongold
40	if an object is made of a material then that object has the properties of that material	nongold
41	a wall is a kind of object	nongold
42	wood is a thermal; thermal energy insulator	nongold
43	friction is a kind of force	nongold
44	wood is an thermal; thermal energy insulator	nongold
45	wood is a strong material	nongold
46	pushing something can cause that something  to move	gold
47	wood is a kind of natural material	nongold
48	a force is a kind of push or pull on an object	nongold
49	a wall is a kind of surface	nongold
50	a lever is used for lifting;moving heavy objects	nongold
51	a pull is a kind of force	nongold
52	a kick is a kind of push	nongold
53	friction causes the temperature of an object to increase	nongold
54	metal is a kind of material	nongold
55	a wooden bench is a kind of object	nongold
56	friction causes the speed of an object to decrease	nongold
57	flipping; pushing a switch means using; activating that switch	nongold
58	a machine is a kind of  device	nongold
59	an animal is a kind of organism	nongold
60	friction causes speed to decrease	nongold
61	an animal is a kind of living thing	nongold
62	the floor is at the bottom of a room	nongold
63	counter means reduce; stop; resist	nongold
64	structure is a property of an object; a material; a substance	nongold
65	a lever is a kind of simple machine	nongold
66	an animal requires energy to move	nongold
67	friction acts to counter the motion of two objects when their surfaces are touching	nongold
68	mechanical energy of a system includes the sum of kinetic energy and potential energy  in the system	nongold
69	heat is a kind of energy	nongold
70	flowing liquid can push objects	nongold
71	sliding is a kind of movement	nongold
72	furniture often is made of wood	nongold
73	a living thing is a kind of object	nongold
74	a handle is a part of an object for holding that object	nongold
75	surfaces sometimes cause objects to break	nongold
76	wood is a light material	nongold
77	motion is when moves an object; something to a direction	nongold
78	an part of an object is smaller than the entire object	nongold
79	a handle is a kind of object	nongold
80	rubbing  is a kind of motion	nongold
81	objects are made of materials; substances; matter	nongold
82	a room is a kind of container	nongold
83	a simple machine is a kind of tool	nongold
84	the function of something is what that something  is used to do	nongold
85	arms are a part of a person's body for manipulating objects	nongold
86	sliding is a kind of motion	nongold
87	raising is a kind of motion	nongold
88	a type is synonymous with a kind	nongold
89	rolling is a kind of motion	nongold
90	a table is a kind of object	nongold
91	thermal energy is a kind of energy	nongold
92	contracting is a kind of movement	nongold
93	a source of something emits; produces; generates; provides that something	nongold
94	An example of an object with kinetic energy is an object in motion	nongold
95	human is a kind of organism	nongold
96	being  on something; placed in something; placed over something means touching  that something	nongold
97	striking is a kind of movement	nongold
98	speed is a measure of how fast an object is moving	nongold
99	moving something is a kind of function	nongold
