Question	Which weather event usually includes heavy precipitation, strong winds, and surface air temperatures below 0°C?	question
Answer	blizzard	answer
0	a blizzard is a kind of storm	gold
1	a blizzard is a source of heavy snow	gold
2	storm is a kind of weather; weather event	gold
3	precipitation is a kind of weather	nongold
4	a storm is usually a source of strong winds	gold
5	precipitation is when rain;snow;hail fall from clouds to the Earth;ground	nongold
6	hail is a kind of precipitation; ice	nongold
7	rain is a kind of precipitation	nongold
8	snowstorm is a kind of weather	nongold
9	air temperature is a kind of temperature	nongold
10	a storm is a source of precipitation	nongold
11	rain; snow falls	nongold
12	An example of stormy weather is rain	nongold
13	temperature is a property of weather	nongold
14	weather  usually happens in troposphere	nongold
15	precipitation is a property of weather	nongold
16	the freezing point of water; melting point of water is 32F; 0C; 273K	nongold
17	typically means usually	nongold
18	snow is a kind of precipitation	gold
19	events occur at a specific place; at a specific time; with a specific frequency	nongold
20	extreme means very high in value	nongold
21	something that happens is a kind of event	nongold
22	precipitation is when water falls from the sky	nongold
23	freezing means cold temperatures	nongold
24	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
25	ice is cold in temperature	nongold
26	strong means high in strength	nongold
27	to a  human a air; environment temperature of -273 C to 0 C is considered very cold	nongold
28	a change is a kind of event	nongold
29	to lower means to decrease	nongold
30	to a  human a air; environment temperature of 0 C to 10 C is considered cold	nongold
31	ice is colder than water in temperature	nongold
32	weak means low in strength	nongold
33	amount of water in a body of water increases by storms; rain; glaciers melting; snow melting; ice melting	nongold
34	cooling;colder means removing;reducing;decreasing heat;temperature	nongold
35	water is in the solid state , called ice , for temperatures between 0; -459; -273 and 273; 32; 0 K; F; C	gold
36	high is similar to increase	nongold
37	snow is a kind of ice	gold
38	snowing is when snow fall from clouds to the Earth;ground	nongold
39	icy means made of ice	nongold
40	low is similar to decrease	nongold
41	cold means low in temperature	nongold
42	tornado is a kind of weather	nongold
43	a thunderstorm is a kind of storm	nongold
44	generally means usually	nongold
45	colder; cooler means lower in temperature	nongold
46	temperature is a measure of heat energy	nongold
47	cold is a kind of weather	nongold
48	rainfall means precipitation	nongold
49	frozen means solid	nongold
50	cycles of freezing and thawing water cause ice wedging	nongold
51	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
52	weather is a property of a environment	nongold
53	rainstorm means rain storm	nongold
54	to add means to increase	nongold
55	windy is a kind of weather	nongold
56	intense means extreme	nongold
57	temperature  is a property of air mass and includes ordered values of cold; warm	nongold
58	ice is a kind of solid	nongold
59	freezing point means temperature at which a liquid freezes; below which a liquid freezes	nongold
60	cloudy is a kind of  weather	nongold
61	cold  air is usually high in air pressure	nongold
62	to reduce means to decrease	nongold
63	snow is cold	nongold
64	snowy means a large amount of snow	nongold
65	to happen means to occur	nongold
66	snowfall means the amount of precipitation in snow form	nongold
67	precipitation is a kind of natural occurrence; cause	nongold
68	storms;rain cause bodies of water to increase amount of water they contain	nongold
69	a motion is a kind of event; action	nongold
70	to cause an event is similar to being involved in that event	nongold
71	below means lower down	nongold
72	an increase is the opposite of a decrease	nongold
73	to a  human a air; environment temperature of -450 F to 32 F is considered very cold	nongold
74	usually means most of the time	nongold
75	to change means to cause a change	nongold
76	low means down	nongold
77	an increase is a kind of change	nongold
78	a process is a kind of event	nongold
79	winter has cold temperatures;weather	nongold
80	rainfall means the amount of precipitation	nongold
81	a decrease is a kind of change	nongold
82	weather is  a measure of the condition of the air in a place at a certain time	nongold
83	raining is when rain falls from clouds to the Earth;ground as a liquid	nongold
84	wind means moving air	nongold
85	rain is a kind of water	nongold
86	a type is synonymous with a kind	nongold
87	affected means changed	nongold
88	weather changes from seasons to seasons	nongold
89	event is similar to occurrence	nongold
90	freezing means matter; a substance changes from a liquid into a solid by decreasing heat energy	nongold
91	climate is the usual kind of weather in a location over a period of time	nongold
92	freezing point is similar to melting point	nongold
93	less is similar to decrease	nongold
94	cooler means colder	nongold
95	if weather is stormy then there is a greater chance of rain	nongold
96	wind speed is a property of weather	nongold
97	to a  human a air; environment temperature of 32 F to 50 F is considered cold	nongold
98	ice is found in arctic environments	nongold
99	to limit means to decrease	nongold
