Question	What is a disadvantage of using moving water to produce electricity?	question
Answer	The local ecosystem may be disrupted.	answer
0	a disadvantage is  a negative impact	gold
1	using moving water to produce electricity may disrupt local ecosystems	gold
2	changing an ecosystem is similar to disrupting an ecosystem	gold
3	disrupting is similar to having a negative impact	nongold
4	an environment is similar to an ecosystem	nongold
5	an ecosystem contains a large community of; large numbers of living organisms	nongold
6	advantage has a positive impact on something	nongold
7	generate means produce	nongold
8	electricity means electrical energy	nongold
9	a source of something emits; produces; generates; provides that something	nongold
10	producing renewable electric energy requires renewable resources	nongold
11	producing electricity sometimes requires burning oil	nongold
12	humans changing ecosystems;environments usually has a  negative impact on an ecosystem; organisms living in an ecosystem	gold
13	if something required for a process is not produced then that process is prevented from occurring; cannot occur	nongold
14	a disruption  of an ecosystem can cause an extinction	nongold
15	an environment means an area	nongold
16	hydropower is when falling water produces electricity	nongold
17	disrupting something from reaching something else decreases the availability of that something	nongold
18	organisms are a part of an environment	nongold
19	to produce means to provide	nongold
20	water is a part of an environment	nongold
21	harming something has a  negative impact on; effect on that something	nongold
22	help means advantage	nongold
23	humans cause pollution	nongold
24	a producer is a kind of living thing	nongold
25	pollution has a negative impact on the environment; air quality; water quality; society	nongold
26	local means relating to a certain area	nongold
27	moving something is a kind of function	nongold
28	to produce means to create	nongold
29	a producer is a source of energy for consumers	nongold
30	energy flows in an ecosystem through food chains	nongold
31	converting is similar to producing	nongold
32	tidal energy can be used to produce electricity	nongold
33	electricity is used as an energy source by electrical devices	nongold
34	helping something has a  positive impact on that something	nongold
35	transportation technology is used for moving people; products	nongold
36	causing problems is a kind of negative impact	nongold
37	vegetation means plants	nongold
38	travel means to move	nongold
39	electrical energy is a kind of energy	nongold
40	an organism is a living thing	nongold
41	emit means produce	nongold
42	generating power is a kind of positive impact	nongold
43	producing is a kind of process	nongold
44	to be used for something means to be required by that something	nongold
45	producer is a kind of role in the food chain process; in an ecosystem	nongold
46	a negative impact is a kind of consequence; risk	nongold
47	negative impact is the opposite of positive impact	nongold
48	a body of water is a kind of environment	nongold
49	moving is similar to travelling	nongold
50	using resources decreases those resources	nongold
51	an energy source is a kind of resource	nongold
52	an increase is the opposite of a decrease	nongold
53	to depend on; to rely on; to need means to require	nongold
54	resources sometimes are used for energy	nongold
55	electricity sometimes is used for heating buildings; substances	nongold
56	water is a kind of natural resource	nongold
57	water is a kind of natural resource	nongold
58	an ecosystem is a kind of habitat	nongold
59	to contribute is similar to produce	nongold
60	a river is a kind of flowing body of water	nongold
61	make means produce	nongold
62	oil is used for producing electricity	nongold
63	requiring is similar to needing help	nongold
64	wasting a resource is reducing the amount  of that resource without using that resource	nongold
65	to generate means to create	nongold
66	requiring too much of a resource has a negative impact on the availiability of that resource	nongold
67	damage means harm	nongold
68	organisms mean life	nongold
69	humans building homes; roads in an ecosystem; in an environment causes that ecosystem; that environment to change	nongold
70	using biomass to produce energy is a source of pollution	nongold
71	an environment is a kind of place	nongold
72	change is a kind of impact	nongold
73	the Earth contains many ecosystems	nongold
74	near means local	nongold
75	wasting  a resource harms that resource	nongold
76	processes sometimes produce waste products	nongold
77	if something causes an increase in something else then that something produces that something else	nongold
78	products are formed; are produced; are created	nongold
79	plants are a part of the environment	nongold
80	pollution is a kind of environmental problem	nongold
81	if something causes a process then that something is required for that process	nongold
82	producing is similar to causing	nongold
83	low is similar to decrease	nongold
84	producing is a kind of function	nongold
85	water is a renewable resource	nongold
86	if something is powered by something else then that something requires a source of that something else	nongold
87	less is similar to decrease	nongold
88	motion; movement means moving; to move	nongold
89	if something converts a resource into energy it doesn't use then that something is not using that resource efficiently	nongold
90	an increase is a kind of change	nongold
91	loss of resources has a negative impact on  the organisms in an area	nongold
92	a decrease is a kind of change	nongold
93	green plants are a kind of producer	nongold
94	transportation technology is a kind of system for moving people and products	nongold
95	high is similar to increase	nongold
96	an event is a kind of action	nongold
97	a motion is a kind of event; action	nongold
98	damage has a negative impact on a thing	nongold
99	using renewable resources to generate power reduces greenhouse gases	nongold
