Question	Which term identifies a group of cells that work together to perform a similar function?	question
Answer	tissue	answer
0	tissue is a kind of group of cells with a common structure that work together to perform a similar function	gold
1	something's function can be used to describe; identify that something	nongold
2	to work means to function	nongold
3	the function of something is what that something  is used to do	nongold
4	cells working together requires cells to specialize	nongold
5	to belong to a group means to be a kind of something	nongold
6	if something performs a task then that task is that something's function	nongold
7	if two things perform the same function then those two things are similar	nongold
8	together means in a group	nongold
9	function is similar to purpose	nongold
10	role means function	nongold
11	an organ system is made of different parts of the body working together	nongold
12	the properties of something can be used to identify; used to describe that something	nongold
13	living things perform biological processes	nongold
14	a function is an activity	nongold
15	coming together means forming a group	nongold
16	conducting is a kind of function	nongold
17	to be a vehicle for is a kind of function	nongold
18	all cells perform cellular respiration	nongold
19	cells are a smaller level of organization than tissues in living things	nongold
20	providing is a kind of function	nongold
21	providing structure is a kind of function	nongold
22	organs are made of different types of  cellular tissues	nongold
23	causing is a kind of function	nongold
24	a cell is a kind of object	nongold
25	tissues are a smaller level of organization than organs in living things	nongold
26	a mechanism is a kind of system that performs a function	nongold
27	absorbing is a kind of function	nongold
28	repairing an organism requires cells working together	nongold
29	converting is a kind of function	nongold
30	a cell is very small	nongold
31	classifying means grouping objects; materials by their properties	nongold
32	a function is a kind of characteristic	nongold
33	producing is a kind of function	nongold
34	a living thing is made of cells	nongold
35	breaking down is a kind of function	nongold
36	identifying sometimes requires examining	nongold
37	protecting is a kind of function	nongold
38	to belong to a group means to be classified in that group	nongold
39	a body cell means a somatic cell	nongold
40	cell activity means cell process	nongold
41	to have a function is similar to to be responsible for	nongold
42	identifying is similar to determining	nongold
43	a cell nucleus is a part of a cell	nongold
44	organs are a smaller level of organization than organ systems in living things	nongold
45	destroying is a kind of function	nongold
46	an organism is a living thing	nongold
47	cells are a part of the body	nongold
48	the composition of something can be used to identify that something	nongold
49	breathing is a kind of  function	nongold
50	can be means able to be	nongold
51	a source of something emits; produces; generates; provides that something	nongold
52	living things carry out basic life functions	nongold
53	to identify means to discover	nongold
54	a process is a kind of event	nongold
55	something is used for that something's purpose	nongold
56	to group means to separate	nongold
57	releasing energy is a kind of function	nongold
58	bone cells are a part of the body	nongold
59	attracting is a kind of function; activity	nongold
60	a structure of something is synonymous with a part of that something	nongold
61	an event is a kind of action	nongold
62	moving something is a kind of function	nongold
63	photosynthesizing means performing photosynthesis	nongold
64	transporting is a kind of function	nongold
65	a component of something means a part of that something	nongold
66	answering questions requires information	nongold
67	a type is synonymous with a kind	nongold
68	a component means a part of	nongold
69	all living things are made of cells according to the cell theory	nongold
70	species means a group of like organisms	nongold
71	grouping means putting; placing in different groups	nongold
72	system is similar to structure	nongold
73	providing support is a kind of function	nongold
74	cellular respiration is a kind of process	nongold
75	tissue plasminogen activator is a kind of activator	nongold
76	to be involved in something means to have a role in something	nongold
77	the cell nucleus controls many of the functions of the cell	nongold
78	regulating is a kind of function	nongold
79	pollinating is a kind of function	nongold
80	classifying is when one sorts something by kind; type	nongold
81	mast cells are a kind of white blood cell	nongold
82	composed of means made of	nongold
83	a plant cell is a kind of cell	nongold
84	throat tissue is a kind of bodily tissue	nongold
85	a single-cell organism cannot specialize	nongold
86	bringing oxygen to the body is a kind of function	nongold
87	different cellular tissues are made of different types of  somatic cells	nongold
88	bringing substances to the body is a kind of function	nongold
89	a single-celled organism's organelles are like the organs of a multi-celled organism	nongold
90	transporting nutrients, water, and minerals is a kind of function	nongold
91	a human cell is a kind of cell	nongold
92	a part of a process means a stage in a process	nongold
93	muscle tissue is a kind of tissue	nongold
94	if a cell can not specialize then that cell must perform all life functions	nongold
95	an animal is a kind of living thing	nongold
96	to create means to make	nongold
97	basic life functions occur in the cells of organisms	nongold
98	cancerous cells are formed by abnormal cell division	nongold
99	a brain is a kind of internal organ	nongold
