Question	One example of matter is	question
Answer	water	answer
0	water is a kind of matter	nongold
1	water is a kind of substance	gold
2	water is a kind of liquid at room temperature	nongold
3	water is in the gas state , called water vapor; steam , for temperatures between 373; 212; 100 and 100000000000 K; F; C	nongold
4	water is a kind of object	nongold
5	a kind of something is an example of that something	nongold
6	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	nongold
7	temperature is a measure of heat energy	nongold
8	water is made of hydrogen and oxygen	nongold
9	liquid is a kind of state of matter	nongold
10	substances are made of matter	gold
11	water is an thermal; thermal energy conductor	nongold
12	water is in the solid state , called ice , for temperatures between 0; -459; -273 and 273; 32; 0 K; F; C	nongold
13	water is a kind of natural resource	nongold
14	water is a kind of natural resource	nongold
15	An example of moisture is water vapor in the atmosphere	nongold
16	a body of water is a source of water	nongold
17	heat means heat energy	nongold
18	a body of water contains water	nongold
19	an ocean is a kind of body of water	nongold
20	a liquid is a kind of substance	nongold
21	objects are made of materials; substances; matter	nongold
22	particles in objects are a kind of matter	nongold
23	moisture means liquid; liquid water	nongold
24	solid is a kind of state of matter	nongold
25	water is a kind of compound	nongold
26	water is a part of an environment	nongold
27	water causes refraction of light	nongold
28	water is a kind of polar substance	nongold
29	matter; materials; substances are made of atoms; particles	nongold
30	state of matter is a property of matter and includes ordered values of solid; liquid; gas	nongold
31	material means substance	nongold
32	gas is a kind of state of matter	nongold
33	boiling;evaporation means matter; a substance changes from a liquid into a gas by increasing heat energy	nongold
34	water is a kind of medium for light	nongold
35	state of matter is a kind of physical property	nongold
36	heat is a kind of energy	nongold
37	a molecule of water is made of 2 hydrogen atoms and 1 oxygen atom	nongold
38	steam;water vapor is a kind of water above 100 degrees celsius	nongold
39	a solid is a kind of substance	nongold
40	something that contains water is similar to a body of water	nongold
41	water exists in three states on Earth	nongold
42	if an object; a substance makes something then that object; that substance is a source of that thing	nongold
43	H2O means water	nongold
44	answering questions requires information	nongold
45	gas is a kind of substance	nongold
46	water is a kind of nonliving thing	nongold
47	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
48	a body of water is a kind of environment	nongold
49	vapor is synonymous with gas	nongold
50	state of matter at room temperature is a kind of physical property	nongold
51	a source of something emits; produces; generates; provides that something	nongold
52	to give is similar to to cause	nongold
53	water contains dissolved oxygen	nongold
54	a particle is a kind of object	nongold
55	An example of a substance is a white, powdery surface	nongold
56	a living thing is a kind of object	nongold
57	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
58	solution is a kind of liquid	nongold
59	boiling is when liquids are heated above their boiling point	nongold
60	water vapor is a kind of greenhouse gas	nongold
61	ground water is a kind of water	nongold
62	charge is a property of an object; a material; a substance and includes ordered values of negatively-charged; neutral; positively-charged	nongold
63	all elements are a kind of pure substance	nongold
64	can be means able to be	nongold
65	a component of something means a part of that something	nongold
66	a solution is made of one substance dissolved in another substance	nongold
67	An example of mechanical energy is an object in motion	nongold
68	Earth contains water; ice; (steam, water vapor)	nongold
69	an event is a kind of action	nongold
70	melting means matter; a substance changes from a solid into a liquid by increasing heat energy	nongold
71	state of matter means physical state	nongold
72	a motion is a kind of event; action	nongold
73	Matter in the liquid phase has definite volume	nongold
74	composed of means made of	nongold
75	An example of a chemical property is how a material reacts chemically	nongold
76	sublimation means matter; a substance changes from a solid into a gas by increasing heat energy	nongold
77	freezing means matter; a substance changes from a liquid into a solid by decreasing heat energy	nongold
78	materials are made of matter	nongold
79	a scientific inference is a kind of explanation based on facts that is not a direct observation	nongold
80	air is a kind of matter	nongold
81	dissolving a substance in water causes the water to taste like that substance	nongold
82	seconds are a kind of unit for measuring time	nongold
83	a component means a part of	nongold
84	breath contains water vapor	nongold
85	rain is a kind of water	nongold
86	drinking is a kind of water use	nongold
87	an element is a kind of  substance	nongold
88	phase means state	nongold
89	a solution is formed by one substance being dissolved in another substance	nongold
90	combustibility is a property of matter and includes ordered values of combustible; incombustible	nongold
91	water absorbs light energy	nongold
92	physical state means state of matter	nongold
93	state means form	nongold
94	quantity means amount	nongold
95	a puddle is a kind of body of water	nongold
96	if something; an invention; a discovery is invented; discovered then that something; that invention; that discovery can be used	nongold
97	compressibility is a property of  matter and includes ordered values of compressible; not compressible	nongold
98	an object; material; substance comes from that object or material's source	nongold
99	a process is a kind of event	nongold
