Question	In which environment is white fur color an advantage for survival?	question
Answer	arctic tundra	answer
0	the tundra is a kind of environment	gold
1	an adaptation is an advantage	nongold
2	the arctic is a kind of environment	nongold
3	advantage has a positive impact on something	gold
4	arctic animals live in an arctic environment	nongold
5	white fur is white in color	nongold
6	the arctic environment is white in color from being covered in snow	gold
7	white is a kind of color	gold
8	if an animal's fur is a color then that animal is that color	gold
9	coat means fur coat	nongold
10	coloration is a kind of adaptation for hiding;camouflage	nongold
11	An example of camouflage is when something is; has the same color as its environment	gold
12	color is a kind of physical; visual property	nongold
13	the color of an environment means the color of the things that environment contains	nongold
14	snow is white in color	nongold
15	the tundra environment usually is very cold in temperature	nongold
16	coloration means a thing's color	nongold
17	the tundra is very cold in temperature	nongold
18	fur is often part of an animal	nongold
19	color is a property of  an object; a material	nongold
20	an adaptation; an ability has a positive impact on an animal's; living thing's survival; health; ability to reproduce	gold
21	an environment means an area	nongold
22	help means advantage	nongold
23	a disadvantage is  a negative impact	nongold
24	the color of; coloration of fur is an inherited characteristic	nongold
25	surroundings means environment	nongold
26	cold environments sometimes are white in color from being covered in snow	nongold
27	camouflage is a kind of adaptation for hiding in an environment	gold
28	an animal is a kind of living thing	nongold
29	An example of camouflage is when something changes color in order to have the same color as its environment	nongold
30	fur is usually part of a mammal	nongold
31	black is a kind of color	nongold
32	gray is a combination of black and white	nongold
33	the arctic environment covered in snow	nongold
34	habitat is similar to environment	nongold
35	An example of camouflage is when an organism looks like its environment	nongold
36	trait is synonymous with characteristic	nongold
37	an animal is a kind of organism	nongold
38	if an animal's fur is a certain color then the skin of that animal is probably that same color	nongold
39	snow falls during the winter in the arctic environment	nongold
40	colorless means no color	nongold
41	survival means to survive	nongold
42	camouflage is used for protection; hiding by prey; animals against predators; from predators	nongold
43	coloration means a pattern of colors	nongold
44	when snow falls in an environment in an environment , that environment will become white	nongold
45	hair; fur is  a part of skin for protection; keeping warm	nongold
46	the colors of parts of an organism are inherited characteristics	nongold
47	polar bears live in cold environments	nongold
48	a living thing is a kind of object	nongold
49	an adaptation is a kind of characteristic	nongold
50	survive means live	nongold
51	survive means live	nongold
52	color is an intensive property	nongold
53	camouflage is a kind of protection against predators; from predators; against consumers	nongold
54	the arctic  environment usually is cold in  temperature from being at a northern lattitude	nongold
55	objects in an environment are a part of that environment	nongold
56	green is a kind of color	nongold
57	an organism is a living thing	nongold
58	black is dark in color	nongold
59	white fur is a recessive trait in guinea pig	nongold
60	an environment is a kind of place	nongold
61	trait means property	nongold
62	brown is a kind of color	nongold
63	white fur is a recessive trait in mouse	nongold
64	a wolf is a kind of animal	nongold
65	a plant; living thing requires food for survival	nongold
66	if an animal's skin is a certain color then that animal is that color	nongold
67	a fox is a kind of animal	nongold
68	dark means dark in color	nongold
69	an animal requires a habitat for survival	nongold
70	fur is a covering around the body of an animal	nongold
71	an animal; living thing requires nutrients for survival	nongold
72	a forest environment usually is green in color	nongold
73	feature is synonymous with characteristic	nongold
74	black fur is a dominant trait in mouse	nongold
75	high is similar to increase	nongold
76	adaptation is when an organism develops a trait over time for survival	nongold
77	a region is similar to an environment	nongold
78	a rabbit is a kind of animal	nongold
79	an inherited characteristic is a kind of characteristic	nongold
80	answering questions requires information	nongold
81	inherited characteristics are the opposite of learned characteristics; acquired characteristics	nongold
82	if a living thing requires something then that something has a positive impact on that living thing	nongold
83	an adaptation is an adaptive feature	nongold
84	a human is a kind of animal	nongold
85	a type is synonymous with a kind	nongold
86	fur is a part of a mouse	nongold
87	camouflage can be used for hunting for prey; food	nongold
88	organisms are a part of an environment	nongold
89	black fur is a dominant trait in guinea pig	nongold
90	blue is a kind of color	nongold
91	changes in an environment cause animals; plants to adapt to survive	nongold
92	a rabbit is a kind of mammal	nongold
93	to be fit for an environment means to be able to survive in that environment	nongold
94	snow falls during the winter in some environments	nongold
95	adaptations are used for survival	nongold
96	a predator is a kind of animal	nongold
97	living in an environment causes an organism to adapt to that environment	nongold
98	ice is found in arctic environments	nongold
99	red is a kind of color	nongold
