Question	Which cell structure carries out a function for a cell that is similar to the function that bark carries out for a tree?	question
Answer	cell wall	answer
0	bark is a part of a tree	nongold
1	role means function	nongold
2	the function of something is what that something  is used to do	nongold
3	function is similar to purpose	nongold
4	a cell wall is a part of a plant cell for supporting and protecting the cell membrane	nongold
5	a tree is a kind of plant	nongold
6	a tree is a kind of living thing	nongold
7	a plant cell is a kind of cell	nongold
8	a cell membrane is a kind of cell structure	nongold
9	an animal cell is a kind of cell	nongold
10	a plant is made of plant cells	nongold
11	a cell wall is the outermost structure of a plant cell	gold
12	a structure of something is synonymous with a part of that something	nongold
13	to be a vehicle for is a kind of function	nongold
14	system is similar to structure	nongold
15	causing is a kind of function	nongold
16	a living thing is made of cells	nongold
17	providing structure is a kind of function	nongold
18	a plant is a kind of living thing	nongold
19	a tree contains wood	nongold
20	a plant is a kind of organism	nongold
21	living things carry out basic life functions	nongold
22	a  cell wall provides support; protection; shape; structure for  a plant cell	gold
23	producing is a kind of function	nongold
24	if two things perform the same function then those two things are similar	nongold
25	an animal is a kind of living thing	nongold
26	a wall is a kind of object	nongold
27	the cell membrane is a part of a cell	nongold
28	providing is a kind of function	nongold
29	the cell membrane is the membrane around the cell of all living things	nongold
30	something is used for that something's purpose	nongold
31	if something performs a task then that task is that something's function	nongold
32	converting is a kind of function	nongold
33	bark is a kind of sound	nongold
34	a human cell is a kind of cell	nongold
35	an organism is a living thing	nongold
36	a leaf is a part of a tree	nongold
37	a cell is very small	nongold
38	tissue is a kind of group of cells with a common structure that work together to perform a similar function	nongold
39	an oak is a kind of tree	nongold
40	a wall is a kind of surface	nongold
41	a cell is a kind of object	nongold
42	a plant cell is box-like in shape	nongold
43	a living thing is a kind of object	nongold
44	a source of something emits; produces; generates; provides that something	nongold
45	an animal is a kind of organism	nongold
46	a chloroplast is a kind of plant cell structure	nongold
47	roots are a part of a plant; tree	nongold
48	a cell absorbs nutrients	nongold
49	a part of a living thing is a natural structure	nongold
50	a tree is a kind of habitat	nongold
51	all living things are made of cells according to the cell theory	nongold
52	room contains walls	nongold
53	structure is a property of an object; a material; a substance	nongold
54	basic life functions occur in the cells of organisms	nongold
55	the cell is the most basic structural unit of life	nongold
56	organs are made of different types of  cellular tissues	nongold
57	absorbing is a kind of function	nongold
58	pollinating is a kind of function	nongold
59	to have a function is similar to to be responsible for	nongold
60	a leaf is a kind of plant organ	nongold
61	a branch is a part of a tree	nongold
62	something's function can be used to describe; identify that something	nongold
63	purpose means role	nongold
64	a fungus is a kind of living thing	nongold
65	bark is a protective covering around the trunk of; branches of a tree	gold
66	a function is an activity	nongold
67	not is similar to the opposite of	nongold
68	transporting is a kind of function	nongold
69	an insect is a kind of animal	nongold
70	a leaf is a part of a  green plant	nongold
71	a single-cell organism cannot specialize	nongold
72	special tissues in plants transport food; water; minerals throughout the plant	nongold
73	a stem is often a part of plant	nongold
74	moving something is a kind of function	nongold
75	plant parts are made of plants	nongold
76	vegetation means plants	nongold
77	contains means located in	nongold
78	a fungus is a kind of organism	nongold
79	the cell wall causes the plant cell to be  more rigid than the animal cell	nongold
80	an animal; living thing requires nutrients for survival	nongold
81	made up of means contains; made of	nongold
82	protecting is a kind of function	gold
83	breaking down is a kind of function	nongold
84	a plant cell contains chloroplasts	nongold
85	destroying is a kind of function	nongold
86	if a cell can not specialize then that cell must perform all life functions	nongold
87	to contain means to have inside	nongold
88	can be means able to be	nongold
89	a mammal is a kind of animal	nongold
90	a plant; living thing requires food for survival	nongold
91	a human is a kind of animal	nongold
92	the cell membrane allows materials to enter and leave the cell	nongold
93	a tree is a kind of matter	nongold
94	a decomposer is a kind of living thing	nongold
95	cell activity means cell process	nongold
96	all cells perform cellular respiration	nongold
97	to carry means to move something	nongold
98	made of is similar to contains	nongold
99	conducting is a kind of function	nongold
