Question	A wet towel will dry when it is left in the Sun. Which process occurs to make this happen?	question
Answer	evaporation	answer
0	left in the sun means exposed to the sun	gold
1	if an object; something is in the sunlight then that object; that something will absorb solar energy	nongold
2	evaporation is a kind of process	gold
3	the sun causes water to evaporate more quickly by adding heat	nongold
4	dry means low in amount of water; wetness; moisture	nongold
5	to be in the sun means to be in the sunlight	nongold
6	boiling;evaporation means matter; a substance changes from a liquid into a gas by increasing heat energy	gold
7	drying means amount of water; amount of liquid; wetness decreases	nongold
8	sunlight produces heat	nongold
9	being in the sun is synonymous with being in the sunlight	nongold
10	if an object; a substance; a location absorbs solar energy then that object; that substance will increase in temperature	nongold
11	wet is the opposite of dry	gold
12	a towel is a kind of object	gold
13	the sun is the source of solar energy called sunlight	nongold
14	to happen means to occur	nongold
15	the sun is a source of radiation; heat called sunlight	gold
16	absorbing sunlight causes objects to heat	nongold
17	evaporation; boiling can be used for separating a solution by allowing the solvent to evaporate	nongold
18	the sunlight occurs during the day	nongold
19	sunlight is a kind of light	nongold
20	heating means adding heat	nongold
21	a wet object is a source of water	gold
22	temperature is a measure of heat energy	gold
23	heat means heat energy	nongold
24	sunlight means solar energy	nongold
25	sunshine means sunlight	nongold
26	the sun is a source of light; light energy called sunlight	nongold
27	sunlight is a kind of solar energy	nongold
28	heat energy is synonymous with thermal energy	nongold
29	evaporation is allowing a liquid  to evaporate to separate any solid that was mixed with it	nongold
30	An example of evaporation is a body of water drying up by absorbing heat energy	nongold
31	water is a kind of liquid at room temperature	gold
32	adding heat means increasing temperature	gold
33	water is an thermal; thermal energy conductor	nongold
34	evaporation causes amount of water to decrease	nongold
35	the sun transfers solar energy; light energy; heat energy from itself to the planets;Earth through sunlight	nongold
36	heat means the transfer of thermal energy	nongold
37	solar energy is a kind of heat energy	nongold
38	if something is outside during the day then that something will receive sunlight	nongold
39	evaporation can be used for separating a mixture of a liquid and a solid	nongold
40	evaporating is a kind of phase change	nongold
41	to cause means to make	nongold
42	a source of something emits; produces; generates; provides that something	nongold
43	washing clothes requires water use	nongold
44	to receive sunlight means to absorb sunlight	nongold
45	moisture means liquid; liquid water	nongold
46	water is a kind of substance	gold
47	a liquid is a kind of substance	nongold
48	conductivity is a property of a material; substance	nongold
49	a part of a process means a stage in a process	nongold
50	a process is a kind of event	nongold
51	moist means high in moisture	nongold
52	if a thermal conductor; an object is exposed to a source of heat then that conductor; that object may become hot; warm	gold
53	heat means temperature increases	nongold
54	an event is a kind of action	nongold
55	conduction is a kind of process	nongold
56	a vehicle for something allows; enables that something to occur	nongold
57	evaporation is a stage in the water cycle process	nongold
58	make means produce	nongold
59	hot means high in heat energy; temperature	gold
60	if an object; a substance makes something then that object; that substance is a source of that thing	nongold
61	receiving sunlight  is synonymous with absorbing sunlight	nongold
62	a hand dryer produces heat	nongold
63	solar radiation means solar energy	nongold
64	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	nongold
65	evaporation is when water is drawn back up into the air in the water cycle	nongold
66	events occur at a specific place; at a specific time; with a specific frequency	nongold
67	pasteurization is a kind of process	nongold
68	the sun setting is a kind of event	nongold
69	solar power means solar energy	nongold
70	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
71	if an event is required for a process then that event must occur before that process can occur	nongold
72	if heat is added to a substance then that substance absorbs that heat	nongold
73	to add means to increase	nongold
74	process is similar to method	nongold
75	as the sun sets , the temperature will decrease	nongold
76	material means substance	nongold
77	a bath  is a kind of container	nongold
78	an object; material; substance comes from that object or material's source	nongold
79	when a cooler object touches a warmer object , thermal conduction occurs	nongold
80	change is a kind of process	nongold
81	a thermal energy conductor transfers heat from warmer objects; hotter objects to cooler objects	nongold
82	a sunny day has  lots of sunlight	nongold
83	thermal conduction is when heat flows from warmer object to cooler object	nongold
84	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
85	warm means medium heat energy; temperature	nongold
86	something that happens is a kind of event	nongold
87	if it is night then the sun has set	nongold
88	a step in a process means a stage in a process	nongold
89	cooling is a kind of process	nongold
90	to pass means to occur	nongold
91	the Sun is a kind of star	nongold
92	absorbing energy causes objects; materials; substances to heat	nongold
93	thermal conduction is when materials conduct heat through those materials through collision of particles	nongold
94	if one surface; one substance; one object touches something then one is exposed to that something	nongold
95	if a liquid disappears then that liquid probably evaporated	nongold
96	washing out means being moved from  by water	nongold
97	if an object is made of a material then that object has the properties of that material	nongold
98	cooling;colder means removing;reducing;decreasing heat;temperature	nongold
99	warm; becoming warm means heat is added	nongold
