Question	Which of the following best describes the purpose of cellular respiration?	question
Answer	to provide energy for cell activities	answer
0	cellular respiration is a source of energy for cell activities	gold
1	cellular respiration is when cells break down; extract energy from food to produce energy	nongold
2	cellular respiration is when a cell converts from oxygen and carbohydrates into carbon dioxide, water, and energy	nongold
3	cellular respiration is a kind of process	nongold
4	respiration releases energy	nongold
5	action means activity	nongold
6	all cells perform cellular respiration	nongold
7	cell activity means cell process	nongold
8	living things require respiration to use energy	nongold
9	providing is a kind of function	gold
10	purpose means role	nongold
11	a function is an activity	nongold
12	something is used for that something's purpose	nongold
13	function is similar to purpose	gold
14	reproducing is a kind of activity	nongold
15	a source of something emits; produces; generates; provides that something	nongold
16	to provide something means to be the source of that something	gold
17	the function of something is what that something  is used to do	nongold
18	being used for is similar to providing	nongold
19	cellular respiration is cellular digestion	nongold
20	maintaining homeostasis requires respiration	nongold
21	providing something means making;delivering something	nongold
22	if something performs a task then that task is that something's function	nongold
23	the respiratory system performs respiration	nongold
24	an event is a kind of action	nongold
25	to be a vehicle for is a kind of function	nongold
26	to provide means to supply	nongold
27	a motion is a kind of event; action	nongold
28	oxygen; glucose is used for providing energy to cells by mitochondrion	nongold
29	to be used for something means to be required by that something	nongold
30	if something is required then that something must be provided	nongold
31	to power means to provide energy for	nongold
32	to produce means to provide	nongold
33	the properties of something are used for describing that something	nongold
34	adding is a kind of activity	nongold
35	something's function can be used to describe; identify that something	nongold
36	all cells require energy	nongold
37	nutrients are a source of energy for living things	nongold
38	creating is a kind of activity	nongold
39	In the cellular respiration process heat is a by-product in animals	nongold
40	all cells take in energy	nongold
41	producing is a kind of function	nongold
42	provide is similar to give; make	nongold
43	revolving is a kind of action	nongold
44	attracting is a kind of function; activity	nongold
45	if something causes a process then that something is required for that process	nongold
46	causing is a kind of function	nongold
47	basic life functions occur in the cells of organisms	nongold
48	cellular energy is a kind of chemical energy	nongold
49	food is a source of energy for animals; plants	nongold
50	releasing energy is a kind of function	nongold
51	being active requires energy	nongold
52	In the cellular respiration; animal respiration process carbon dioxide is a waste product	nongold
53	containing something is similar to providing that something	nongold
54	to depend on; to rely on; to need means to require	nongold
55	aerobic respiration requires oxygen	nongold
56	if something contains something , then something is able to provide something	nongold
57	rest is a kind of activity	nongold
58	a process is a kind of event	nongold
59	forming is a kind of action	nongold
60	providing structure is a kind of function	nongold
61	a cell is very small	nongold
62	undertaking is similar to doing	nongold
63	food contains carbohydrates	nongold
64	converting is a kind of function	nongold
65	providing support is a kind of function	nongold
66	to work means to function	nongold
67	a cell is a kind of object	nongold
68	combustion is a kind of activity	nongold
69	mixing is a kind of activity	nongold
70	high is similar to increase	nongold
71	to be involved in something means to have a role in something	nongold
72	a living thing is made of cells	nongold
73	living things perform biological processes	nongold
74	potential energy means stored energy	nongold
75	resources sometimes are used for energy	nongold
76	to add means to increase	nongold
77	a producer is a kind of living thing	nongold
78	growing is a kind of activity	nongold
79	an organism is a living thing	nongold
80	to serve as means to be used as	nongold
81	a part of a process means a stage in a process	nongold
82	to contribute is similar to produce	nongold
83	cells are a part of the body	nongold
84	carbohydrates are a vehicle for storing;transporting energy	nongold
85	a cell nucleus is a part of a cell	nongold
86	products are formed; are produced; are created	nongold
87	events occur at a specific place; at a specific time; with a specific frequency	nongold
88	converting is similar to producing	nongold
89	requiring something means needing that something	nongold
90	the cell is the smallest unit of an organism that can perform all of the processes of life	nongold
91	the cell membrane is a part of a cell	nongold
92	can be means able to be	nongold
93	becoming is a kind of action	nongold
94	a process usually requires all of the stages in that process	nongold
95	a component means a part of	nongold
96	to cause an event is similar to being involved in that event	nongold
97	flowing is a kind of action	nongold
98	best means most positive	nongold
99	to be required means to be necessary	nongold
