Question	Where will a sidewalk feel hottest on a warm, clear day?	question
Answer	In direct sunlight	answer
0	being in the sun is synonymous with being in the sunlight	nongold
1	sidewalk means pavement	nongold
2	a sidewalk is located outside	gold
3	the sidewalk is a kind of object	gold
4	to be in the sun means to be in the sunlight	nongold
5	hot means high in heat energy; temperature	gold
6	sunlight means solar energy	nongold
7	if an object; something is in the sunlight then that object; that something will absorb solar energy	gold
8	warm means medium heat energy; temperature	gold
9	asphalt is a smooth surface	nongold
10	sunlight is a kind of solar energy	nongold
11	warmer means greater; higher in temperature; warmth	nongold
12	temperature is a measure of heat energy	nongold
13	cooling;colder means removing;reducing;decreasing heat;temperature	nongold
14	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
15	warm means warm temperature	nongold
16	if an object; a substance; a location absorbs solar energy then that object; that substance will increase in temperature	gold
17	heat means heat energy	nongold
18	if an object is hot then the surfaces of that object are hot	nongold
19	asphalt is a kind of road surface	nongold
20	sunlight is a kind of light	nongold
21	warm is similar to hot	nongold
22	an increase is the opposite of a decrease	nongold
23	warm is the opposite of cool	nongold
24	a hot; warm something is a source of heat	nongold
25	clear weather means sunny; not cloudy; not rainy weather	gold
26	colder; cooler means lower in temperature	nongold
27	if a thermal conductor; an object is exposed to a source of heat then that conductor; that object may become hot; warm	nongold
28	low is similar to decrease	nongold
29	hot is the opposite of  cold	nongold
30	the sunlight occurs during the day	nongold
31	to reduce means to decrease	nongold
32	sunlight produces heat	nongold
33	to lower means to decrease	nongold
34	staying cool is the opposite of becoming hot	nongold
35	high is similar to increase	nongold
36	if a hot object; substance is exposed to; touches a cold object; substance then that object; that substance will likely cool	nongold
37	heating means adding heat	gold
38	the sun is the source of solar energy called sunlight	nongold
39	a sunny day has  lots of sunlight	gold
40	less is similar to decrease	nongold
41	absorbing sunlight causes objects to heat	gold
42	the sun is a source of light; light energy called sunlight	nongold
43	an object moving from a cool place to a warm place causes the object's temperature to increase	nongold
44	person is synonymous with human	nongold
45	if a tree is located near a sidewalk then the roots of that tree might crack the sidewalk	nongold
46	sunshine means sunlight	nongold
47	receiving sunlight  is synonymous with absorbing sunlight	nongold
48	solar energy is a kind of heat energy	nongold
49	if one object absorbs more energy than another object , then the  object will be warmer	nongold
50	near; close is the opposite of far; away	nongold
51	solar energy can warm up  the air	nongold
52	heat energy is synonymous with thermal energy	nongold
53	when object is in direct light then that object is not shaded	nongold
54	temperature is a property of weather	nongold
55	cold means low in temperature	nongold
56	place is synonymous with location	nongold
57	to add means to increase	nongold
58	to receive sunlight means to absorb sunlight	nongold
59	the night has cooler temperatures than the day	nongold
60	cool means cold	nongold
61	an environment is a kind of place	nongold
62	a surface is a part of an object	nongold
63	warm up means increase temperature	nongold
64	keeping warm is the opposite of becoming  cold	nongold
65	to get hot means become hot	nongold
66	intensity of sunlight is similar to amount of sunlight	nongold
67	adding heat means increasing temperature	gold
68	if an object is placed in a substance; in a location that is colder then that object will cool to the same temperature of that substance; of that location	nongold
69	if someone walks on a surface then that someone touches that surface	nongold
70	as the sunlight absorbed by the object increases ,  the temperature of the object  will increase more	nongold
71	warm; becoming warm means heat is added	nongold
72	as temperature during the day increases , the temperature in an environment will increase	nongold
73	a state is a kind of place	nongold
74	increase means more	nongold
75	moving an object from a cool place to a  warm place causes the object's temperature to increase	nongold
76	a road is a kind of object	nongold
77	staying warm means keeping warm	nongold
78	amount of sunlight causes changing weather patterns	nongold
79	as the sun sets , the temperature will decrease	nongold
80	a surface is a kind of object	nongold
81	an environment means an area	nongold
82	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
83	heat has a great impact on weather	nongold
84	dry means low in amount of water; wetness; moisture	nongold
85	counter means reduce; stop; resist	nongold
86	if heat is conducted to an object then that object will become hot	nongold
87	shade means low sunlight	nongold
88	extreme means very high in value	nongold
89	a hot substance is a source of heat	nongold
90	an increase is a kind of change	nongold
91	daylight is when the sun shines on a location	nongold
92	if something is outside during the day then that something will receive sunlight	gold
93	furthest; farthest means greatest; most; highest in distance	nongold
94	keeping cool means not increasing temperature	nongold
95	feeling is when an living thing senses through touch	nongold
96	summer has hot temperatures; weather	nongold
97	daylight means sunlight	nongold
98	a car is a kind of object	nongold
99	closer means lower; less; a decrease in distance	nongold
