Question	Which device converts kinetic energy into electrical energy?	question
Answer	generator	answer
0	a generator converts kinetic energy into electrical energy; electricity	gold
1	a generator is a kind of  device	gold
2	kinetic energy is a kind of mechanical energy	nongold
3	device means tool	nongold
4	instrument means device	nongold
5	electrical devices convert from electrical energy; electricity into other forms of energy	nongold
6	converting is similar to generating	nongold
7	moving changes potential energy; stored energy into kinetic energy and heat energy	nongold
8	hydropower converts kinetic energy into electric energy	nongold
9	a source of something emits; produces; generates; provides that something	nongold
10	comet striking a planet converts kinetic energy into thermal energy	nongold
11	electrical energy is a kind of energy	nongold
12	An example of an object with kinetic energy is an object in motion	nongold
13	motion is a source of kinetic energy in an object	nongold
14	a device is a kind of object	nongold
15	mechanical energy of a system includes the sum of kinetic energy and potential energy  in the system	nongold
16	a internal combustion engine; car engine; automobile engine usually converts fuel into kinetic energy and heat energy through combustion	nongold
17	changes potential energy into kinetic energy through motion	nongold
18	converting is similar to producing	nongold
19	a machine is a kind of  device	nongold
20	mechanical energy is a kind of energy	nongold
21	electricity means electrical energy	nongold
22	temperature is a measure of kinetic energy of molecules	nongold
23	generate means produce	nongold
24	a battery converts chemical energy into electrical energy for powering electrical devices	nongold
25	when an animal moves , chemical energy is converted to mechanical energy	nongold
26	particles in a gas have more kinetic energy than particles in a liquid	nongold
27	forming is similar to converting	nongold
28	to convert means to change	nongold
29	particles in a liquid have more kinetic energy than particles in a solid	nongold
30	motion; movement means moving; to move	nongold
31	a fan converts electrical energy into mechanical energy; heat energy; sound energy	nongold
32	as the amount of heat energy of a substance; of an object increases , the amount of kinetic energy will increase	nongold
33	to turn means to convert	nongold
34	emit means produce	nongold
35	An example of mechanical energy is an object in motion	nongold
36	the kinetic energy of an object can change from kinetic energy to sound energy by hitting another object	nongold
37	if something generates energy for something else then that something powers that something else	nongold
38	pulling is a kind of motion	nongold
39	the formation of lightning converts mechanical energy into electrical energy	nongold
40	to transform means to convert	nongold
41	speaker converts electrical energy; electricity into vibrations; sound energy	nongold
42	heat is a kind of energy	nongold
43	energy conversion is similar to energy transformation	nongold
44	as the  amount of heat energy of a substance; of an object decreases , the amount of kinetic energy will decrease	nongold
45	a motion is a kind of event; action	nongold
46	to generate means to create	nongold
47	electric devices require electrical energy to function	nongold
48	a particle is a kind of object	nongold
49	to produce means to create	nongold
50	electricity is made of moving charges; moving charged particles	nongold
51	electricity is used as an energy source by electrical devices	nongold
52	make means produce	nongold
53	converting is similar to releasing	nongold
54	sliding is a kind of motion	nongold
55	an increase is a kind of change	nongold
56	convert is similar to transfer	nongold
57	as an object moves faster , the kinetic energy of that object will increase	nongold
58	if something transfers something else then that something is a source of something else	nongold
59	to be formed by is similar to being produced by	nongold
60	causing is similar to generating	nongold
61	to produce means to provide	nongold
62	sliding is a kind of movement	nongold
63	objects are made of materials; substances; matter	nongold
64	a device requires energy to operate	nongold
65	form means kind	nongold
66	energy transformation means one kind of energy changes into another kind of energy	nongold
67	sound is produced when mechanical energy is transformed into sound energy	nongold
68	converting is a kind of function	nongold
69	a process is a kind of event	nongold
70	active transport converts chemical energy into mechanical energy	nongold
71	to create means to make	nongold
72	a heat engine converts heat energy into mechanical energy	nongold
73	a rotation is a kind of movement	nongold
74	matter; materials; substances are made of atoms; particles	nongold
75	shaking is a kind of motion	nongold
76	a molecule is a kind of particle	nongold
77	an electric motor converts electrical energy into mechanical energy	nongold
78	answering questions requires information	nongold
79	high is similar to increase	nongold
80	movement is a kind of change	nongold
81	can be means able to be	nongold
82	a firecracker converts chemical energy into sound energy and light energy and heat energy	nongold
83	substances are made of matter	nongold
84	an event is a kind of action	nongold
85	materials are made of matter	nongold
86	metal is an  electrical; electrical energy conductor	nongold
87	a human is a kind of animal	nongold
88	an animal is a kind of living thing	nongold
89	vibration is a kind of motion	nongold
90	light is a kind of energy	nongold
91	light is a kind of energy	nongold
92	heat means heat energy	nongold
93	produce is similar to release	nongold
94	to generate means to form	nongold
95	rolling is a kind of motion	nongold
96	if an object; a substance makes something then that object; that substance is a source of that thing	nongold
97	to emit means to release	nongold
98	products are formed; are produced; are created	nongold
99	stopping a moving object changes kinetic energy into potential energy	nongold
