Question	Sir Isaac Newton determined that white light is made up of all the colors of the rainbow. What did he use to discover this phenomenon?	question
Answer	a prism	answer
0	a prism is a kind of object	nongold
1	a prism is used for refracting light	nongold
2	a prism refracts light	gold
3	a prism is made of glass	nongold
4	the rainbow is made of all different colors in visible light	gold
5	a rainbow is formed by refraction of light by separating light; splitting light into all different colors	nongold
6	a prism is a kind of tool for refracting light	gold
7	white light is made of all colors of visible light combined	gold
8	sunlight is made of all colors in the rainbow	nongold
9	to be made of something means to be formed of that something	nongold
10	made up of means contains; made of	nongold
11	the color of an object can be discovered by looking at that object	nongold
12	to discover means to make a discovery	nongold
13	discovering something usually requires seeing that something	nongold
14	to be made of means to consist of	nongold
15	white is a kind of color	nongold
16	composed of means made of	nongold
17	if something; an invention; a discovery is invented; discovered then that something; that invention; that discovery can be used	nongold
18	an object is made of its parts	nongold
19	if an object is white then that object reflects all visible light	nongold
20	color is a kind of physical; visual property	nongold
21	a white object reflects all visible light	nongold
22	color is a property of  an object; a material	nongold
23	to discover means to find	nongold
24	all the other means the rest of	nongold
25	if an object is made of something then the parts of that object are made of that something	nongold
26	light is made of photons	nongold
27	refracting sunlight; light causes sunlight; light to split into different colors	gold
28	if something is made of something else then that something can be broken down into that something else	gold
29	the shape  of an object can be discovered through feeling that object; touching that object	nongold
30	if an object reflects a light of a certain color then the object appears to be that color	nongold
31	objects are made of materials; substances; matter	nongold
32	the parts of something make up that something	nongold
33	if something is made of something; a material then that something contains that something; that material	nongold
34	visible light is a kind of  light	nongold
35	composition is a property of an object; matter	nongold
36	to identify means to discover	nongold
37	visible light is made of lights of different colors including violet, blue, green, yellow, orange, red light	nongold
38	light is a kind of wave	nongold
39	determine is similar to cause	nongold
40	according to is similar to be determined by	nongold
41	can be means able to be	nongold
42	sunlight is a kind of light	nongold
43	if something is made of something else , then that something else will be the component of that something	nongold
44	refraction of light can split light into lights of different color	nongold
45	to illuminate means to light up	nongold
46	glass; objects made of glass cause refraction of light	nongold
47	a source of something emits; produces; generates; provides that something	nongold
48	new means different from the former one	nongold
49	N means newton	nongold
50	matter; materials; substances are made of atoms; particles	nongold
51	substances are made of matter	nongold
52	structure is a property of an object; a material; a substance	nongold
53	UV light is a kind of light	nongold
54	green is a kind of color	nongold
55	refraction is a property of light	nongold
56	refraction is when light passes from one medium to another medium	nongold
57	making discoveries requires observing	nongold
58	made of is similar to contains	nongold
59	all elements are a kind of pure substance	nongold
60	form means kind	nongold
61	if something is a part of something else then that something else contains that something	nongold
62	determining often requires measuring; observing	nongold
63	to make means to form	nongold
64	classifying means grouping objects; materials by their properties	nongold
65	materials are made of matter	nongold
66	coloration means a thing's color	nongold
67	color is an intensive property	nongold
68	a living thing is a kind of object	nongold
69	matter is made of molecules	nongold
70	if an object is black then that object absorbs all visible light; heat	nongold
71	to reflect light means to scatter light	nongold
72	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
73	if something is a source of something else then that something usually contains that something else	nongold
74	bright means bright; light in color	nongold
75	make means produce	nongold
76	an object has properties	nongold
77	composition means the (materials, substances) of which something is composed	nongold
78	a physical property is a kind of property	nongold
79	to be a combination of means to be made of	nongold
80	something is used for that something's purpose	nongold
81	light means light energy	nongold
82	to make means to invent	nongold
83	if two things are made from the same objects; material then those two things are similar	nongold
84	substances are made of elements	nongold
85	made of is similar to is built from	nongold
86	if something is a part of something then that something can be found in that something	nongold
87	particles in objects are a kind of matter	nongold
88	the color of an environment means the color of the things that environment contains	nongold
89	to be found in means to be contained in	nongold
90	not is similar to the opposite of	nongold
91	stars can be classified by temperature; color; chemical composition; brightness	nongold
92	to be formed by is similar to being produced by	nongold
93	if an object is translucent , then some light will scatter	nongold
94	the properties of something are used for describing that something	nongold
95	if an object is made of a material then that object has the properties of that material	nongold
96	an event is a kind of action	nongold
97	state of matter is a property of matter and includes ordered values of solid; liquid; gas	nongold
98	classifying is when one sorts something by kind; type	nongold
99	the function of something is what that something  is used to do	nongold
