Question	Which set of descriptions correctly states the difference between a population and a community?	question
Answer	Population: one type of organism in an area Community: many types of organisms in an area	answer
0	a community is made of many types of organisms in an area	gold
1	a population is made of one type of organism in an area	gold
2	a type is synonymous with a kind	nongold
3	an environment means an area	nongold
4	variety means different kinds; different types	nongold
5	a type of something is a kind of property of that something	nongold
6	classifying is when one sorts something by kind; type	nongold
7	an organism is a living thing	nongold
8	an animal is a kind of organism	nongold
9	an animal is a kind of living thing	nongold
10	an environment is similar to an ecosystem	nongold
11	an ecosystem contains a large community of; large numbers of living organisms	nongold
12	the properties of something are used for describing that something	nongold
13	a description sometimes provides information	nongold
14	organisms are a part of an environment	nongold
15	life means living things	nongold
16	organisms mean life	nongold
17	an environment is a kind of place	nongold
18	classifying means grouping objects; materials by their properties	nongold
19	area is similar to location	nongold
20	a change is a kind of difference	nongold
21	a living thing is a kind of object	nongold
22	a region is similar to an environment	nongold
23	the location of an object can be used to describe that object	nongold
24	a structure of something is synonymous with a part of that something	nongold
25	humans changing ecosystems;environments usually has a  negative impact on an ecosystem; organisms living in an ecosystem	nongold
26	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
27	an animal is a member of an animal species	nongold
28	a kind of something is an example of that something	nongold
29	animals; living things live and feed in their habitats; near their habitats	nongold
30	an ecosystem is a kind of habitat	nongold
31	category means kind	nongold
32	many means high in number	nongold
33	vegetation means plants	nongold
34	society is made of humans	nongold
35	each is similar to individual	nongold
36	an ecosystem contains nonliving things	nongold
37	a population is all of the interbreeding members  of a certain species in an ecosystem	nongold
38	harming an environment causes harm to the living things; to the organisms in that environment	nongold
39	to tell the difference between things means to classify those things	nongold
40	form means kind	nongold
41	a plant is a kind of organism	nongold
42	information is used to describe something	nongold
43	the properties of something can be used to identify; used to describe that something	nongold
44	measuring is used for describing an object	nongold
45	something's function can be used to describe; identify that something	nongold
46	a source of something emits; produces; generates; provides that something	nongold
47	a state is a kind of place	nongold
48	to belong to a class means to be a kind of something	nongold
49	objects in an environment are a part of that environment	nongold
50	a human is a kind of animal	nongold
51	a region is a kind of location	nongold
52	if a living thing requires something then that something has a positive impact on that living thing	nongold
53	a living thing is made of cells	nongold
54	a part of something is present in that something	nongold
55	a component of something means a part of that something	nongold
56	an animal; living thing requires nutrients for survival	nongold
57	answering questions requires information	nongold
58	how many means what number	nongold
59	the Earth contains many ecosystems	nongold
60	a part of something means a characteristic of something	nongold
61	a fungus is a kind of organism	nongold
62	another means different	nongold
63	state means form	nongold
64	An example of an environment is a forest; a river; a grassland; an ocean	nongold
65	species means a group of like organisms	nongold
66	an increase is a kind of change	nongold
67	plants are a part of the environment	nongold
68	size difference is a kind of difference	nongold
69	a natural ecosystem contains native living things only	nongold
70	to change means to become different	nongold
71	a kind of something is classified as that something	nongold
72	a plant is a kind of living thing	nongold
73	a structure is a kind of feature	nongold
74	a component means a part of	nongold
75	a part of a living thing is a natural structure	nongold
76	living in an environment causes an organism to adapt to that environment	nongold
77	a bacterium is a kind of organism	nongold
78	to belong to a group means to be a kind of something	nongold
79	larger is a kind of difference	nongold
80	to create means to make	nongold
81	an animal; bacterium requires oxygen for survival; to breathe	nongold
82	humans building homes; roads in an ecosystem; in an environment causes that ecosystem; that environment to change	nongold
83	area; space is a kind of resource	nongold
84	to produce means to create	nongold
85	an insect is a kind of animal	nongold
86	aspect of something is similar to part of something	nongold
87	can be means able to be	nongold
88	definite is the opposite of variable	nongold
89	a producer is a kind of living thing	nongold
90	nonliving; non-living; die is the opposite of living; alive; live	nongold
91	most means over 50% of something	nongold
92	harming an animal species causes that animal's population to decrease	nongold
93	an part of an object is smaller than the entire object	nongold
94	if an animal's; organisms habitat no longer exists; ceases to exist then that animal; that organism will die	nongold
95	a worm is a kind of animal	nongold
96	harming something has a  negative impact on; effect on that something	nongold
97	a plant is a member of a plant species	nongold
98	if something required by something else is in a place then that something else may be in that place	nongold
99	human is a kind of organism	nongold
